Farm Size,SCC,LtSCC,SPC,LtSPC,PBC,LtPBC,MPN,log10MPN,left,right
Medium,277,2.44,1800,3.26,100,2,0.13,-0.89,0.13,0.13
Medium,49000,4.69,320,2.51,20,1.3,0.01,-2,NA,0.01
High,60000,4.78,5600000,6.75,8500000,6.93,16,1.2,16,16
Medium,70000,4.85,24000,4.38,1300,,0.02,-1.7,0.02,0.02
High,71000,4.85,830,2.92,220,2.34,0.07,-1.15,0.07,0.07
Low,72000,4.86,72,1.86,0,0,0.08,-1.1,0.08,0.08
Low,78000,4.89,570,2.76,82,1.91,0.02,-1.7,0.02,0.02
Low,81000,4.91,660,2.82,41,1.61,0.01,-2,NA,0.01
Medium,84000,4.92,16000,4.2,970,2.99,0.05,-1.3,0.05,0.05
Low,86000,4.93,84000,4.92,86000,4.93,0.02,-1.7,0.02,0.02
Medium,90000,4.95,3100,3.49,620,2.79,0.05,-1.3,0.05,0.05
Low,106000,5.03,1000,3,540,,0.05,-1.3,0.05,0.05
Low,110000,5.04,4800,3.68,41,1.61,0.01,-2,NA,0.01
Low,121000,5.08,1700,3.23,.,.,0.14,-0.85,0.14,0.14
Medium,125000,5.1,380,2.58,61,1.79,0.08,-1.1,0.08,0.08
Medium,126000,5.1,2200,3.34,2200,3.34,0.07,-1.15,0.07,0.07
Medium,129000,5.11,1000,3,92,1.96,0.07,-1.15,0.07,0.07
Medium,129000,5.11,7900,3.9,1400,3.15,0.11,-0.96,0.11,0.11
Low,131000,5.12,2100,3.32,20,1.3,0.02,-1.7,0.02,0.02
Medium,146000,5.16,45000,4.65,24000,4.38,9.2,0.96,9.2,9.2
Low,150000,5.18,3000,3.48,1000,3,0.01,-2,NA,0.01
High,156000,5.19,16000,4.2,16000,4.2,1.8,0.26,1.8,1.8
 High,166000,5.22,2900,3.46,2900,3.46,0.7,-0.15,0.7,0.7
High,167000,5.22,14000,4.15,2000,3.3,0.14,-0.85,0.14,0.14
Medium,168000,5.23,1400,3.15,780,2.89,0.23,-0.64,0.23,0.23
Medium,175000,5.24,6000,3.78,2200,3.34,0.04,-1.4,0.04,0.04
Medium,181000,5.26,2600,3.41,430,2.63,1.3,0.11,1.3,1.3
Low,186000,5.27,12000,4.08,230,2.36,0.08,-1.1,0.08,0.08
High,194000,5.29,4900,3.69,1300,3.11,0.79,-0.1,0.79,0.79
Medium,197000,5.29,80000,4.9,16000,4.2,0.33,-0.48,0.33,0.33
Medium,198000,5.3,14000,4.15,940,2.97,0.23,-0.64,0.23,0.23
Low,200000,5.3,2400,3.38,2600,3.41,0.02,-1.7,0.02,0.02
Medium,200000,5.3,610,2.79,470,2.67,5.4,0.73,5.4,5.4
Low,200000,5.3,4000,3.6,120,2.08,0.49,-0.31,0.49,0.49
Low,202000,5.31,1100,3.04,630,2.8,0.01,-2,NA,0.01
Medium,204000,5.31,3600,3.56,7200,3.86,0.01,-2,NA,0.01
Low,217000,5.34,16000,4.2,2600,3.41,0.01,-2,NA,0.01
Medium,220000,5.34,1600,3.2,280,2.45,0.23,-0.64,0.23,0.23
Low,221000,5.34,120000,5.08,500,2.7,0.02,-1.7,0.02,0.02
High,232000,5.37,5600,3.75,4300,3.63,0.02,-1.7,0.02,0.02
High,234000,5.37,3000,3.48,2700,3.43,9.2,0.96,9.2,9.2
Medium,235000,5.37,810,2.91,82,1.91,0.07,-1.15,0.07,0.07
Low,235000,5.37,38000,4.58,3900,3.59,0.13,-0.89,0.13,0.13
Medium,236000,5.37,2000,3.3,20,1.3,0.49,-0.31,0.49,0.49
Low,237000,5.37,7800,3.89,1200,3.08,0.11,-0.96,0.11,0.11
Medium,239000,5.38,1300,3.11,100,2,24,1.38,24,NA
Medium,247000,5.39,3100,3.49,320,,0.17,-0.77,0.17,0.17
Low,250000,5.4,19000,4.28,0,0,0.33,-0.48,0.33,0.33
Low,259000,5.41,1200,3.08,.,.,0.01,-2,NA,0.01
Medium,261000,5.42,6300,3.8,120,2.08,0.33,-0.48,0.33,0.33
Medium,264000,5.42,5900,3.77,1400,3.15,0.11,-0.96,0.11,0.11
Low,276000,5.44,2100,3.32,.,.,0.02,-1.7,0.02,0.02
Medium,279000,5.45,3800,3.58,20,1.3,0.33,-0.48,0.33,0.33
Low,287000,5.46,3800,3.58,51,1.71,0.02,-1.7,0.02,0.02
 Medium,289000,5.46,3200,3.51,280,,0.17,-0.77,0.17,0.17
Low,289000,5.46,19000,4.28,130,2.11,0.11,-0.96,0.11,0.11
Low,297000,5.47,1800,3.26,10,1,0.08,-1.1,0.08,0.08
Low,297000,5.47,3000,3.48,61,1.79,0.01,-2,NA,0.01
Medium,311000,5.49,1200,3.08,72,,1.7,0.23,1.7,1.7
Low,320000,5.51,4600,3.66,810,2.91,0.01,-2,NA,0.01
Medium,322000,5.51,2500,3.4,900,2.95,0.33,-0.48,0.33,0.33
High,327000,5.51,45000,4.65,31000,4.49,0.49,-0.31,0.49,0.49
High,327000,5.51,24000,4.38,170,2.23,2.2,0.34,2.2,2.2
Medium,330000,5.52,700000,5.85,860000,5.93,0.01,-2,NA,0.01
Medium,332000,5.52,72000,4.86,1700,3.23,0.33,-0.48,0.33,0.33
Medium,334000,5.52,3800,3.58,2600,3.41,0.49,-0.31,0.49,0.49
Low,345000,5.54,2400,3.38,320,2.51,0.07,-1.15,0.07,0.07
Low,351000,5.55,37000,4.57,100,2,0.17,-0.77,0.17,0.17
High,361000,5.56,4200,3.62,1200,,0.49,-0.31,0.49,0.49
Low,371000,5.57,16000,4.2,720,2.86,0.23,-0.64,0.23,0.23
Low,408000,5.61,8700,3.94,51,1.71,0.01,-2,NA,0.01
Low,465000,5.67,2500,3.4,220,2.34,0.01,-2,NA,0.01
High,474000,5.68,17000,4.23,14000,4.15,16,1.2,16,16
Medium,478000,5.68,1800,3.26,100,2,0.94,-0.03,0.94,0.94
Medium,480000,5.68,10000,4,420,2.62,0.07,-1.15,0.07,0.07
High,496000,5.7,3700,3.57,840,2.92,1.7,0.23,1.7,1.7
Low,499000,5.7,2000,3.3,1100,3.04,0.33,-0.48,0.33,0.33
High,528000,5.72,13000,4.11,150,2.18,1.1,0.04,1.1,1.1
Medium,554000,5.74,2900,3.46,360,2.56,0.13,-0.89,0.13,0.13
High,559000,5.75,25000,4.4,41000,4.61,1.3,0.11,1.3,1.3
