"","day","n_total","n_exceed20000","per_exceed20000"
"1",1,100000,0,0
"2",2,100000,0,0
"3",3,100000,7,0.007
"4",4,100000,36,0.036
"5",5,100000,223,0.223
"6",6,100000,614,0.614
"7",7,100000,1316,1.316
"8",8,100000,2160,2.16
"9",9,100000,3141,3.141
"10",10,100000,4290,4.29
"11",11,100000,5661,5.661
"12",12,100000,7144,7.144
"13",13,100000,8878,8.878
"14",14,100000,10696,10.696
"15",15,100000,12623,12.623
"16",16,100000,14656,14.656
"17",17,100000,16842,16.842
"18",18,100000,19072,19.072
"19",19,100000,21440,21.44
"20",20,100000,23833,23.833
"21",21,100000,26233,26.233
"22",22,100000,28750,28.75
"23",23,100000,31129,31.129
"24",24,100000,33644,33.644
"25",25,100000,36046,36.046
"26",26,100000,38395,38.395
"27",27,100000,40705,40.705
"28",28,100000,43090,43.09
"29",29,100000,45276,45.276
"30",30,100000,47462,47.462
"31",31,100000,49660,49.66
"32",32,100000,51850,51.85
"33",33,100000,53840,53.84
"34",34,100000,55866,55.866
"35",35,100000,57714,57.714
