"","day","mean","sd","n"
"1",1,-1.05649204142212,1.11667521937065,100000
"2",2,-1.03368296154141,1.12498721493531,100000
"3",3,-0.97666065994875,1.15496902284254,100000
"4",4,-0.885946966493858,1.21789576478031,100000
"5",5,-0.768592060818734,1.3141641747422,100000
"6",6,-0.629650028738366,1.43608239914327,100000
"7",7,-0.472646591954904,1.57408568346517,100000
"8",8,-0.301316859398588,1.71646363484489,100000
"9",9,-0.119409926149068,1.85551592530928,100000
"10",10,0.0703216072320966,1.98771482896706,100000
"11",11,0.266671456863012,2.11166910237979,100000
"12",12,0.466473330111706,2.2260099019406,100000
"13",13,0.667502755364912,2.33108605808693,100000
"14",14,0.868418718056037,2.42624901860699,100000
"15",15,1.06760477945901,2.51165555499035,100000
"16",16,1.26404237744505,2.58718699947404,100000
"17",17,1.45727717017281,2.65377525161052,100000
"18",18,1.64654349369887,2.7121896345671,100000
"19",19,1.83142680626943,2.76295035085618,100000
"20",20,2.01141808274733,2.80705414109742,100000
"21",21,2.18628028725729,2.84446807560838,100000
"22",22,2.35581664829519,2.87554706950953,100000
"23",23,2.51992925738237,2.90048106822304,100000
"24",24,2.67859332684395,2.92031859083079,100000
"25",25,2.83170654514311,2.93536044283602,100000
"26",26,2.97933444878729,2.9461084570677,100000
"27",27,3.12116596212716,2.95235772768049,100000
"28",28,3.25744491417038,2.95501614199556,100000
"29",29,3.38840567340692,2.95441262095196,100000
"30",30,3.51395218923113,2.95064035981638,100000
"31",31,3.6341658050925,2.9441073882883,100000
"32",32,3.7490718868422,2.93499778391372,100000
"33",33,3.85885937913511,2.92390103164247,100000
"34",34,3.96377549329734,2.91121876552922,100000
"35",35,4.06378972235574,2.89694904868906,100000
