FSL,Genus,Species,project,sample ident,sampleid num,Isolate Source Very Specific,rpoB allelic type
FSL R5-0163,Bacillus,weihenstephanensis,U.S. milk study, ,37741,heat treated 2% fat milk,3
FSL R5-0920,Bacillus,weihenstephanensis,HTST pastuerization temperatures, ,36406,heat treated 2% fat milk,3
FSL P2-0169,Bacillus,weihenstephanensis,Watters Project,1-004,45709,Laboratory Heat Treated Raw Milk,3
FSL P2-0253,Bacillus,weihenstephanensis,Watters Project,1-005B,46635,Laboratory Heat Treated Raw Milk,3
FSL P2-0311,Bacillus,weihenstephanensis,Watters Project,1-009A,47864,Laboratory Heat Treated Raw Milk,3
FSL P2-0351,Bacillus,weihenstephanensis,Watters Project,1-017,47871,Laboratory Heat Treated Raw Milk,3
FSL P2-0364,Bacillus,weihenstephanensis,Watters Project,1-018,47872,Laboratory Heat Treated Raw Milk,3
FSL P4-0117,Bacillus,weihenstephanensis,Watters Project,1-025,48278,Laboratory Heat Treated Raw Milk,3
FSL F4-0079,Bacillus,weihenstephanensis,Pasteurized fluid milk spoilage,1C-32,20741,pasteurized 2% fat milk,3
FSL P2-0039,Bacillus,weihenstephanensis,Watters Project,2-033,45699,Laboratory Heat Treated Raw Milk,3
FSL P2-0078,Bacillus,weihenstephanensis,Watters Project,2-034,45703,Laboratory Heat Treated Raw Milk,3
FSL P2-0431,Bacillus,weihenstephanensis,Watters Project,2-041A,47882,Laboratory Heat Treated Raw Milk,3
FSL P4-0058,Bacillus,weihenstephanensis,Watters Project,2-049,48274,Laboratory Heat Treated Raw Milk,3
FSL P4-0229,Bacillus,weihenstephanensis,Watters Project,3-068,48289,Laboratory Heat Treated Raw Milk,3
FSL P4-0379,Bacillus,weihenstephanensis,Watters Project,3-070,48713,Laboratory Heat Treated Raw Milk,3
FSL H7-0673,Bacillus,weihenstephanensis,Fluid Milk Shelf Life,31 - D 12,28796,Raw milk,3
FSL H7-0904,Bacillus,weihenstephanensis,Fluid Milk Shelf Life,31 - D 16,28854,Raw milk,3
FSL H8-0090,Bacillus,weihenstephanensis,Fluid Milk Shelf Life,31 - D 18,28919,Raw milk,3
FSL H7-0612,Bacillus,weihenstephanensis,Fluid Milk Shelf Life,31 - D 9,28779,Raw milk,3
FSL H7-0676,Bacillus,weihenstephanensis,Fluid Milk Shelf Life,32 - D 12,28797,Raw milk,3
FSL H7-0908,Bacillus,weihenstephanensis,Fluid Milk Shelf Life,32 - D 16,28855,Raw milk,3
FSL H7-0687,Bacillus,weihenstephanensis,Fluid Milk Shelf Life,36 - D 12,28801,Pasteurized 2% milk,3
FSL H7-0920,Bacillus,weihenstephanensis,Fluid Milk Shelf Life,36 - D 16,28859,Pasteurized 2% milk,3
FSL H8-0108,Bacillus,weihenstephanensis,Fluid Milk Shelf Life,36 - D 18,28924,Pasteurized 2% milk,3
FSL H7-0691,Bacillus,weihenstephanensis,Fluid Milk Shelf Life,37 - D 12,28802,Pasteurized 2% milk,3
FSL P2-0464,Bacillus,weihenstephanensis,Watters Project,4-099A,47887,Laboratory Heat Treated Raw Milk,3
FSL P2-0501,Bacillus,weihenstephanensis,Watters Project,4-102,47890,Laboratory Heat Treated Raw Milk,3
FSL P2-0516,Bacillus,weihenstephanensis,Watters Project,4-103,47891,Laboratory Heat Treated Raw Milk,3
FSL P2-0534,Bacillus,weihenstephanensis,Watters Project,4-104,47892,Laboratory Heat Treated Raw Milk,3
FSL P4-0068,Bacillus,weihenstephanensis,Watters Project,4-113,48275,Laboratory Heat Treated Raw Milk,3
FSL P4-0132,Bacillus,weihenstephanensis,Watters Project,4-117,48282,Laboratory Heat Treated Raw Milk,3
FSL P4-0271,Bacillus,weihenstephanensis,Watters Project,4-124,48703,Laboratory Heat Treated Raw Milk,3
FSL P4-0243,Bacillus,weihenstephanensis,Watters Project,4-125,48294,Laboratory Heat Treated Raw Milk,3
FSL P4-0289,Bacillus,weihenstephanensis,Watters Project,4-128,48706,Laboratory Heat Treated Raw Milk,3
FSL P4-0435,Bacillus,weihenstephanensis,Watters Project,4-130,48708,Laboratory Heat Treated Raw Milk,3
FSL P4-0401,Bacillus,weihenstephanensis,Watters Project,4-136,48720,Laboratory Heat Treated Raw Milk,3
FSL P4-0409,Bacillus,weihenstephanensis,Watters Project,4-140,48716,Laboratory Heat Treated Raw Milk,3
FSL P4-0501,Bacillus,weihenstephanensis,Watters Project,4-145,48738,Laboratory Heat Treated Raw Milk,3
FSL J3-0124,Bacillus,weihenstephanensis,Sensory Defects,400_42,60491,Pasteurized Milk,3
FSL J3-0156,Bacillus,weihenstephanensis,Sensory Defects,401_13-1,60504,Pasteurized Milk,3
FSL E2-0208,Bacillus,weihenstephanensis,VSL Spoilage Characterization,419-23,70742,Pasteurized skim milk,3
FSL H8-0066,Bacillus,weihenstephanensis,Fluid Milk Shelf Life,62 - D 12,28911,Pasteurized 2% milk,3
