ST,lag,mu,N0,Nmax,modelname
75,0,0.0731,2.6457,9.0528,gompertz
36,0,0.1098,2.7322,8.9138,gompertz
9,0,0.1062,3.258,8.1463,gompertz
102,0,0.0584,3.1428,7.8252,gompertz
41,3,0.0693,3.1627,8.2256,baranyi
100,7.1,0.1439,3.233,8.0248,gompertz
24,8.2,0.073,3.2175,7.8691,buchanan
56,8.4,0.1196,3.4938,8.2578,baranyi
11,12.1,0.1039,3.1097,8.2662,gompertz
52,12.2,0.0886,2.663,8.3797,gompertz
92,12.6,0.133,2.7765,8.8913,gompertz
2,19.5,0.0888,3.2505,7.1267,baranyi
6,24.6,0.0832,3.0111,7.7365,gompertz
17,25.2,0.0782,2.911,9.1106,gompertz
81,29.9,0.0803,3.2624,9.1391,gompertz
48,34.9,0.0813,2.9058,8.5137,baranyi
