Hour,Isolate,LogCount,Count
0,FSL R10-0531,2.936039145,8.63E+02
0,FSL R10-0531,2.974668571,9.43E+02
0,FSL R10-1099,2.925819997,8.43E+02
0,FSL R10-1099,3.018574038,1.04E+03
0,FSL R10-1113,3.323759986,2.11E+03
0,FSL R10-1113,3.347893676,2.23E+03
0,FSL R10-0941,3.315407926,2.07E+03
0,FSL R10-0941,3.363268558,2.31E+03
0,FSL R10-0054,3.216384544,1.65E+03
0,FSL R10-0054,3.266358528,1.85E+03
0,FSL R10-0151,3.237069141,1.73E+03
0,FSL R10-0151,3.194665297,1.57E+03
0,FSL R10-0553,2.603600705,4.01E+02
0,FSL R10-0553,2.733934481,5.42E+02
4,FSL R10-0531,2.925819997,8.43E+02
4,FSL R10-0531,2.94602338,8.83E+02
4,FSL R10-1099,3.128645495,1.34E+03
4,FSL R10-1099,2.955783201,9.03E+02
4,FSL R10-1113,3.343963388,2.21E+03
4,FSL R10-1113,3.351788713,2.25E+03
4,FSL R10-0941,3.183384305,1.53E+03
4,FSL R10-0941,3.14766874,1.40E+03
4,FSL R10-0054,3.216384544,1.65E+03
4,FSL R10-0054,3.247053375,1.77E+03
4,FSL R10-0151,3.31117088,2.05E+03
4,FSL R10-0151,3.280294311,1.91E+03
4,FSL R10-0553,2.882354309,7.63E+02
4,FSL R10-0553,2.858873217,7.23E+02
8,FSL R10-0531,3.018574038,1.04E+03
8,FSL R10-0531,2.94602338,8.83E+02
8,FSL R10-1099,3.065998705,1.16E+03
8,FSL R10-1099,3.073422711,1.18E+03
8,FSL R10-1113,3.423144635,2.65E+03
8,FSL R10-1113,3.331954501,2.15E+03
8,FSL R10-0941,3.128645495,1.34E+03
8,FSL R10-0054,3.347893676,2.23E+03
8,FSL R10-0054,3.339997208,2.19E+03
8,FSL R10-0151,3.128645495,1.34E+03
8,FSL R10-0151,3.205660696,1.61E+03
8,FSL R10-0553,2.870772421,7.43E+02
8,FSL R10-0553,2.882354309,7.63E+02
12,FSL R10-0531,2.936039145,8.63E+02
12,FSL R10-0531,2.846638744,7.02E+02
12,FSL R10-1099,3.0015407,1.00E+03
12,FSL R10-1099,2.846638744,7.02E+02
12,FSL R10-1113,3.363268558,2.31E+03
12,FSL R10-1113,3.284841931,1.93E+03
12,FSL R10-0941,3.363268558,2.31E+03
12,FSL R10-0941,3.0015407,1.00E+03
12,FSL R10-0054,3.343963388,2.21E+03
12,FSL R10-0054,3.392475825,2.47E+03
12,FSL R10-0151,3.171802417,1.49E+03
12,FSL R10-0151,3.115484071,1.30E+03
12,FSL R10-0553,2.936039145,8.63E+02
12,FSL R10-0553,2.882354309,7.63E+02
24,FSL R10-0531,3.042933393,1.10E+03
24,FSL R10-0531,3.080721938,1.20E+03
24,FSL R10-1099,3.289342425,1.95E+03
24,FSL R10-1099,3.284841931,1.93E+03
24,FSL R10-1113,3.562642097,3.65E+03
24,FSL R10-1113,3.501227772,3.17E+03
24,FSL R10-0941,3.548083371,3.53E+03
24,FSL R10-0941,3.506690692,3.21E+03
24,FSL R10-0054,3.909555011,8.12E+03
24,FSL R10-0054,3.901841586,7.98E+03
24,FSL R10-0151,4.013079027,1.03E+04
24,FSL R10-0151,3.819250361,6.60E+03
24,FSL R10-0553,3.579032514,3.79E+03
24,FSL R10-0553,3.302570696,2.01E+03
36,FSL R10-0531,3.200197776,1.59E+03
36,FSL R10-0531,3.165893567,1.47E+03
36,FSL R10-1099,3.466923562,2.93E+03
36,FSL R10-1099,3.451789807,2.83E+03
36,FSL R10-1113,3.762427428,5.79E+03
36,FSL R10-1113,3.778471799,6.00E+03
36,FSL R10-0941,4.374452724,2.37E+04
36,FSL R10-0941,4.374452724,2.37E+04
36,FSL R10-0054,4.10831547,1.28E+04
36,FSL R10-0054,4.058627692,1.14E+04
36,FSL R10-0151,3.947868725,8.87E+03
36,FSL R10-0151,4.043320555,1.10E+04
36,FSL R10-0553,3.522678803,3.33E+03
