,,,,,,,,,,,,,normalized,normalized log
Hour,Isolate,LogCount,Count,Biorep,normalize concentration,normalize log,,0,FSL R10-0084,3.406374411,2.55E+03,2,1.00,0
0,FSL R10-0084,4.047198215,1.11E+04,1,1.00,0,,0,FSL R10-0084,3.41316043,2.59E+03,2,1.00,0
0,FSL R10-0084,4.052950552,1.13E+04,1,1.00,0,,0,FSL R10-0084,3.280294311,1.91E+03,3,1.00,0
0,FSL R10-0990,3.194665297,1.57E+03,1,1.00,0,,0,FSL R10-0084,3.280294311,1.91E+03,3,1.00,0
0,FSL R10-0990,3.153829039,1.43E+03,1,1.00,0,,4,FSL R10-0084,3.569742425,3.71E+03,2,1.46,0.163368014
0,FSL R10-3286,3.883849585,7.65E+03,1,1.00,0,,4,FSL R10-0084,3.585871927,3.85E+03,2,1.49,0.172711497
0,FSL R10-3286,3.904534189,8.03E+03,1,1.00,0,,4,FSL R10-0084,3.423144635,2.65E+03,3,1.39,0.142850323
0,FSL R10-2381,3.858402482,7.22E+03,1,1.00,0,,4,FSL R10-0084,3.406374411,2.55E+03,3,1.34,0.1260801
0,FSL R10-2381,3.815133789,6.53E+03,1,1.00,0,,8,FSL R10-0084,3.718223776,5.23E+03,2,2.05,0.311849365
4,FSL R10-0084,4.064231577,1.16E+04,1,1.05,0.01913501,,8,FSL R10-0084,3.658596562,4.56E+03,2,1.76,0.245436131
4,FSL R10-0084,4.077032742,1.19E+04,1,1.05,0.022468518,,8,FSL R10-0084,3.555423722,3.59E+03,3,1.88,0.275129411
4,FSL R10-0990,3.010140884,1.02E+03,1,0.65,-0.187299481,,8,FSL R10-0084,3.583604069,3.83E+03,3,2.01,0.303309758
4,FSL R10-0990,3.042933393,1.10E+03,1,0.77,-0.113943352,,12,FSL R10-0084,3.83137098,6.78E+03,2,2.66,0.424996569
4,FSL R10-3286,3.82332828,6.66E+03,1,0.87,-0.060187206,,12,FSL R10-0084,3.825352953,6.69E+03,2,2.58,0.412192523
4,FSL R10-3286,3.933061827,8.57E+03,1,1.07,0.028265277,,12,FSL R10-0084,3.569742425,3.71E+03,3,1.95,0.289448114
4,FSL R10-2381,3.843162523,6.97E+03,1,0.97,-0.015304419,,12,FSL R10-0084,3.66240618,4.60E+03,3,2.41,0.382111869
4,FSL R10-2381,3.782949108,6.07E+03,1,0.93,-0.03172449,,24,FSL R10-0084,4.502075308,3.18E+04,2,12.47,1.095700897
8,FSL R10-0084,4.278454429,1.90E+04,1,1.71,0.233430622,,24,FSL R10-0084,4.47039398,2.95E+04,2,11.41,1.057233549
8,FSL R10-0084,4.242409369,1.75E+04,1,1.55,0.189959605,,24,FSL R10-0084,4.330886187,2.14E+04,3,11.24,1.050591876
8,FSL R10-0990,3.108750659,1.28E+03,1,0.82,-0.088689683,,24,FSL R10-0084,4.262802523,1.83E+04,3,9.61,0.982508212
8,FSL R10-0990,3.189061428,1.55E+03,1,1.08,0.034995661,,36,FSL R10-0084,4.777253516,5.99E+04,2,23.49,1.370879105
8,FSL R10-3286,3.930544168,8.52E+03,1,1.11,0.04677816,,36,FSL R10-0084,4.779563603,6.02E+04,2,23.25,1.366403173
8,FSL R10-3286,3.942988954,8.77E+03,1,1.09,0.038284048,,36,FSL R10-0084,4.658067097,4.55E+04,3,23.87,1.377772786
8,FSL R10-2381,3.782949108,6.07E+03,1,0.84,-0.075348506,,36,FSL R10-0084,4.670089845,4.68E+04,3,24.54,1.389795534
8,FSL R10-2381,3.710398447,5.13E+03,1,0.79,-0.104795816,,48,FSL R10-0084,5.753450577,5.67E+05,2,222.37,2.347076166
12,FSL R10-0084,4.376132442,2.38E+04,1,2.14,0.331253978,,48,FSL R10-0084,5.842996329,6.97E+05,2,269.05,2.429835898
12,FSL R10-0084,4.383738493,2.42E+04,1,2.14,0.330736922,,48,FSL R10-0084,5.629733511,4.26E+05,3,223.58,2.3494392
12,FSL R10-0990,3.108750659,1.28E+03,1,0.82,-0.088689683,,48,FSL R10-0084,5.608055951,4.06E+05,3,212.70,2.32776164
12,FSL R10-0990,2.983811936,9.63E+02,1,0.67,-0.17170975,,60,FSL R10-0084,5.926084282,8.43E+05,2,330.91,2.519709871
12,FSL R10-3286,4.052950552,1.13E+04,1,1.48,0.169417008,,60,FSL R10-0084,5.912922834,8.18E+05,2,316.05,2.499762404
12,FSL R10-3286,4.039407999,1.09E+04,1,1.36,0.132710953,,60,FSL R10-0084,5.789809564,6.16E+05,3,323.23,2.509515253
12,FSL R10-2381,3.720801182,5.26E+03,1,0.73,-0.137551453,,60,FSL R10-0084,5.887706035,7.72E+05,3,404.96,2.607411724
