Hour,Isolate,LogCount,Count,,
0,FSL R10-0084,4.047198215,1.11E+04,,
0,FSL R10-0084,4.052950552,1.13E+04,,
0,FSL R10-0990,3.194665297,1.57E+03,,
0,FSL R10-0990,3.153829039,1.43E+03,,
0,FSL R10-3286,3.883849585,7.65E+03,,
0,FSL R10-3286,3.904534189,8.03E+03,,
0,FSL R10-2381,3.858402482,7.22E+03,,
0,FSL R10-2381,3.815133789,6.53E+03,,
4,FSL R10-0084,4.064231577,1.16E+04,,
4,FSL R10-0084,4.077032742,1.19E+04,,
4,FSL R10-0990,3.010140884,1.02E+03,,
4,FSL R10-0990,3.042933393,1.10E+03,,
4,FSL R10-3286,3.82332828,6.66E+03,,
4,FSL R10-3286,3.933061827,8.57E+03,,
4,FSL R10-2381,3.843162523,6.97E+03,,
4,FSL R10-2381,3.782949108,6.07E+03,,
8,FSL R10-0084,4.278454429,1.90E+04,,
8,FSL R10-0084,4.242409369,1.75E+04,,
8,FSL R10-0990,3.108750659,1.28E+03,,
8,FSL R10-0990,3.189061428,1.55E+03,,
8,FSL R10-3286,3.930544168,8.52E+03,,
8,FSL R10-3286,3.942988954,8.77E+03,,
8,FSL R10-2381,3.782949108,6.07E+03,,
8,FSL R10-2381,3.710398447,5.13E+03,,
12,FSL R10-0084,4.376132442,2.38E+04,,
12,FSL R10-0084,4.383738493,2.42E+04,,
12,FSL R10-0990,3.108750659,1.28E+03,,
12,FSL R10-0990,2.983811936,9.63E+02,,
12,FSL R10-3286,4.052950552,1.13E+04,,
12,FSL R10-3286,4.039407999,1.09E+04,,
12,FSL R10-2381,3.720801182,5.26E+03,,
12,FSL R10-2381,3.624789982,4.21E+03,,
24,FSL R10-0084,4.711078127,5.14E+04,,
24,FSL R10-0084,4.664120092,4.61E+04,,
24,FSL R10-0990,3.159903213,1.45E+03,,
24,FSL R10-0990,2.882354309,7.63E+02,,
24,FSL R10-3286,4.344301761,2.21E+04,,
24,FSL R10-3286,4.304557254,2.02E+04,,
24,FSL R10-2381,3.863982353,7.31E+03,,
24,FSL R10-2381,3.876729861,7.53E+03,,
48,FSL R10-0084,5.637791142,4.34E+05,,
48,FSL R10-0084,5.661104132,4.58E+05,,
