Hour,Isolate,LOG Count,Concentration,AVG Concentration
0,FSL R10-0587,4.096910013,1.25E+04,
0,FSL R10-0587,4.103803721,1.27E+04,
0,FSL R10-0587,4.064457989,1.16E+04,
0,FSL R10-0587,4.113943352,1.30E+04,
0,FSL R10-0587,4.176091259,1.50E+04,
0,FSL R10-0587,4.278753601,1.90E+04,
0,FSL R10-1587,3.285557309,1.93E+03,
0,FSL R10-1587,3.285557309,1.93E+03,
0,FSL R10-1587,3.247973266,1.77E+03,
0,FSL R10-1587,3.340444115,2.19E+03,
0,FSL R10-1587,3.294466226,1.97E+03,
0,FSL R10-1587,3.336459734,2.17E+03,
4,FSL R10-0587,3.571708832,3.73E+03,
4,FSL R10-0587,3.564666064,3.67E+03,
4,FSL R10-0587,3.281033367,1.91E+03,
4,FSL R10-0587,3.227886705,1.69E+03,
4,FSL R10-0587,3.049218023,1.12E+03,
4,FSL R10-0587,3.184691431,1.53E+03,
4,FSL R10-1587,3.382017043,2.41E+03,
4,FSL R10-1587,3.336459734,2.17E+03,
4,FSL R10-1587,3.36361198,2.31E+03,
4,FSL R10-1587,3.303196057,2.01E+03,
4,FSL R10-1587,3.498310554,3.15E+03,
4,FSL R10-1587,3.57863921,3.79E+03,
8,FSL R10-0587,2.992553518,9.83E+02,
8,FSL R10-0587,3.071882007,1.18E+03,
8,FSL R10-0587,3.008600172,1.02E+03,
8,FSL R10-0587,2.965201701,9.23E+02,
8,FSL R10-0587,3.484299839,3.05E+03,
8,FSL R10-0587,3.247973266,1.77E+03,
8,FSL R10-1587,3.403120521,2.53E+03,
8,FSL R10-1587,3.495544338,3.13E+03,
8,FSL R10-1587,3.340444115,2.19E+03,
8,FSL R10-1587,3.525044807,3.35E+03,
8,FSL R10-1587,3.545307116,3.51E+03,
8,FSL R10-1587,3.580924976,3.81E+03,
12,FSL R10-0587,2.833784375,6.82E+02,
12,FSL R10-0587,3,1.00E+03,
12,FSL R10-0587,2.945960704,8.83E+02,
12,FSL R10-0587,2.807535028,6.42E+02,
12,FSL R10-0587,3.243038049,1.75E+03,
12,FSL R10-0587,3.46686762,2.93E+03,
12,FSL R10-1587,3.396199347,2.49E+03,
12,FSL R10-1587,3.519827994,3.31E+03,
12,FSL R10-1587,3.445604203,2.79E+03,
12,FSL R10-1587,3.564666064,3.67E+03,
12,FSL R10-1587,3.702430536,5.04E+03,
12,FSL R10-1587,3.712649702,5.16E+03,
24,FSL R10-0587,3.374748346,2.37E+03,
24,FSL R10-0587,3.371067862,2.35E+03,
24,FSL R10-0587,3.484299839,3.05E+03,
24,FSL R10-0587,3.432969291,2.71E+03,
24,FSL R10-0587,3.352182518,2.25E+03,
24,FSL R10-0587,3.344392274,2.21E+03,
24,FSL R10-1587,4.178976947,1.51E+04,
24,FSL R10-1587,4.170261715,1.48E+04,
24,FSL R10-1587,4.021189299,1.05E+04,
24,FSL R10-1587,4.033423755,1.08E+04,
24,FSL R10-1587,4.271841607,1.87E+04,
24,FSL R10-1587,4.243038049,1.75E+04,
36,FSL R10-0587,2.506505032,3.21E+02,
36,FSL R10-0587,3.409933123,2.57E+03,
36,FSL R10-0587,2.882524538,7.63E+02,
36,FSL R10-0587,2.859138297,7.23E+02,
36,FSL R10-0587,2.936010796,8.63E+02,
36,FSL R10-0587,3.041392685,1.10E+03,
36,FSL R10-1587,4.250420002,1.78E+04,
36,FSL R10-1587,4.264817823,1.84E+04,
36,FSL R10-1587,4.245512668,1.76E+04,
36,FSL R10-1587,4.243038049,1.75E+04,
36,FSL R10-1587,4.480006943,3.02E+04,
36,FSL R10-1587,4.382017043,2.41E+04,
48,FSL R10-0587,3.344392274,2.21E+03,
48,FSL R10-0587,3.303196057,2.01E+03,
48,FSL R10-0587,3.557507202,3.61E+03,
48,FSL R10-0587,3.303196057,2.01E+03,
48,FSL R10-0587,3.416640507,2.61E+03,
48,FSL R10-0587,3.303196057,2.01E+03,
48,FSL R10-1587,4.629409599,4.26E+04,
48,FSL R10-1587,4.684845362,4.84E+04,
48,FSL R10-1587,4.62838893,4.25E+04,
48,FSL R10-1587,4.586587305,3.86E+04,
48,FSL R10-1587,4.875639937,7.51E+04,
48,FSL R10-1587,4.921686475,8.35E+04,
60,FSL R10-0587,2.779596491,6.02E+02,
60,FSL R10-0587,3,1.00E+03,
60,FSL R10-0587,2.904715545,8.03E+02,
60,FSL R10-0587,3.303196057,2.01E+03,
60,FSL R10-0587,3.079181246,1.20E+03,
60,FSL R10-0587,3.303196057,2.01E+03,
60,FSL R10-1587,3.743509765,5.54E+03,
60,FSL R10-1587,3.77815125,6.00E+03,
60,FSL R10-1587,3.773786445,5.94E+03,
60,FSL R10-1587,4.075546961,1.19E+04,
60,FSL R10-1587,4.133538908,1.36E+04,
60,FSL R10-1587,4.195899652,1.57E+04,
72,FSL R10-0587,3.344392274,2.21E+03,
72,FSL R10-0587,3.603144373,4.01E+03,
72,FSL R10-0587,3.382017043,2.41E+03,
72,FSL R10-0587,3.146128036,1.40E+03,
72,FSL R10-0587,3.344392274,2.21E+03,
72,FSL R10-0587,3.206825876,1.61E+03,
72,FSL R10-1587,5.056904851,1.14E+05,
72,FSL R10-1587,5.075546961,1.19E+05,
72,FSL R10-1587,4.992111488,9.82E+04,
72,FSL R10-1587,5.033423755,1.08E+05,
72,FSL R10-1587,5.117271296,1.31E+05,
72,FSL R10-1587,5.204119983,1.60E+05,
96,FSL R10-0587,3.475671188,2.99E+03,
96,FSL R10-0587,3.509202522,3.23E+03,
96,FSL R10-0587,3.298853076,1.99E+03,
96,FSL R10-0587,3.382017043,2.41E+03,
96,FSL R10-0587,3.571708832,3.73E+03,
96,FSL R10-0587,3.547774705,3.53E+03,
96,FSL R10-1587,5.971275849,9.36E+05,
96,FSL R10-1587,5.910624405,8.14E+05,
96,FSL R10-1587,5.73479983,5.43E+05,
96,FSL R10-1587,5.612783857,4.10E+05,
96,FSL R10-1587,5.856124444,7.18E+05,
96,FSL R10-1587,5.86332286,7.30E+05,
120,FSL R10-0587,3.816903839,6.56E+03,
120,FSL R10-0587,3.59439255,3.93E+03,
120,FSL R10-0587,3.495544338,3.13E+03,
120,FSL R10-0587,3.547774705,3.53E+03,
120,FSL R10-0587,3.831229694,6.78E+03,
120,FSL R10-0587,3.85672889,7.19E+03,
120,FSL R10-1587,6.271841607,1.87E+06,
120,FSL R10-1587,6.225309282,1.68E+06,
120,FSL R10-1587,6.26245109,1.83E+06,
120,FSL R10-1587,6.264817823,1.84E+06,
120,FSL R10-1587,6.201397124,1.59E+06,
120,FSL R10-1587,6.214843848,1.64E+06,
144,FSL R10-0587,3.635483747,4.32E+03,
144,FSL R10-0587,3.613841822,4.11E+03,
144,FSL R10-0587,4.326335861,2.12E+04,
144,FSL R10-0587,4.354108439,2.26E+04,
144,FSL R10-0587,3.23299611,1.71E+03,
144,FSL R10-0587,3.527629901,3.37E+03,
144,FSL R10-1587,6.309630167,2.04E+06,
144,FSL R10-1587,6.290034611,1.95E+06,
144,FSL R10-1587,6.269512944,1.86E+06,
144,FSL R10-1587,6.283301229,1.92E+06,
144,FSL R10-1587,6.198657087,1.58E+06,
144,FSL R10-1587,6.041392685,1.10E+06,
168,FSL R10-0587,3.915399835,8.23E+03,
168,FSL R10-0587,3.833784375,6.82E+03,
168,FSL R10-0587,4.673941999,4.72E+04,
168,FSL R10-0587,4.697229343,4.98E+04,
168,FSL R10-0587,3.532754379,3.41E+03,
168,FSL R10-0587,3.557507202,3.61E+03,
168,FSL R10-1587,6.91750551,8.27E+06,
168,FSL R10-1587,6.976808337,9.48E+06,
168,FSL R10-1587,6.783903579,6.08E+06,
168,FSL R10-1587,6.73479983,5.43E+06,
168,FSL R10-1587,6.979092901,9.53E+06,
168,FSL R10-1587,6.979092901,9.53E+06,
192,FSL R10-0587,4.243038049,1.75E+04,
192,FSL R10-0587,4.227886705,1.69E+04,
192,FSL R10-0587,5.190331698,1.55E+05,
192,FSL R10-0587,5.247973266,1.77E+05,
192,FSL R10-0587,3.664641976,4.62E+03,
192,FSL R10-0587,3.793790385,6.22E+03,
192,FSL R10-1587,7.071882007,1.18E+07,
192,FSL R10-1587,7.068185862,1.17E+07,
192,FSL R10-1587,7.029383778,1.07E+07,
192,FSL R10-1587,7.029383778,1.07E+07,
192,FSL R10-1587,7.053078443,1.13E+07,
192,FSL R10-1587,7.021189299,1.05E+07,
216,FSL R10-0587,4.707570176,5.10E+04,
216,FSL R10-0587,4.600972896,3.99E+04,
216,FSL R10-0587,5.472756449,2.97E+05,
216,FSL R10-0587,5.488550717,3.08E+05,
216,FSL R10-0587,3.904715545,8.03E+03,
216,FSL R10-0587,3.859138297,7.23E+03,
216,FSL R10-1587,7.338456494,2.18E+07,
216,FSL R10-1587,7.359835482,2.29E+07,
216,FSL R10-1587,7.31386722,2.06E+07,
216,FSL R10-1587,7.260071388,1.82E+07,
216,FSL R10-1587,7.303196057,2.01E+07,
216,FSL R10-1587,7.328379603,2.13E+07,
240,FSL R10-0587,5.298853076,1.99E+05,
