Hour,Isolate,LOG concentration,Concentration
0,FSL R10-0056,3.506690692,3.21E+03
0,FSL R10-0056,3.522678803,3.33E+03
0,FSL R10-0056,3.498470342,3.15E+03
0,FSL R10-0056,3.506690692,3.21E+03
0,FSL R10-0056,3.601423776,3.99E+03
0,FSL R10-0056,3.525287182,3.35E+03
0,FSL R10-0084,3.406374411,2.55E+03
0,FSL R10-0084,3.41316043,2.59E+03
0,FSL R10-0084,3.280294311,1.91E+03
0,FSL R10-0084,3.280294311,1.91E+03
0,FSL R10-0084,4.047198215,1.11E+04
0,FSL R10-0084,4.052950552,1.13E+04
0,FSL R10-0701,3.567388524,3.69E+03
0,FSL R10-0701,3.61006675,4.07E+03
0,FSL R10-0701,3.562642097,3.65E+03
0,FSL R10-0701,3.520054632,3.31E+03
0,FSL R10-0701,3.47575696,2.99E+03
0,FSL R10-0701,3.495695292,3.13E+03
0,FSL R10-0908,3.594826782,3.93E+03
0,FSL R10-0908,3.548083371,3.53E+03
0,FSL R10-0908,3.67914765,4.78E+03
0,FSL R10-0908,3.699740363,5.01E+03
0,FSL R10-0908,3.492902397,3.11E+03
0,FSL R10-0908,3.550543966,3.55E+03
0,FSL R10-0990,3.211055719,1.63E+03
0,FSL R10-0990,3.128645495,1.34E+03
0,FSL R10-0990,2.983811936,9.63E+02
0,FSL R10-0990,3.05844558,1.14E+03
0,FSL R10-0990,3.194665297,1.57E+03
0,FSL R10-0990,3.153829039,1.43E+03
0,FSL R10-1181,3.194665297,1.57E+03
0,FSL R10-1181,3.177631951,1.51E+03
0,FSL R10-1181,3.331954501,2.15E+03
0,FSL R10-1181,3.275698567,1.89E+03
0,FSL R10-1181,3.306892063,2.03E+03
0,FSL R10-1181,3.275698567,1.89E+03
0,FSL R10-1344,2.936039145,8.63E+02
0,FSL R10-1344,2.764968709,5.82E+02
0,FSL R10-1344,2.870772421,7.43E+02
0,FSL R10-1344,2.983811936,9.63E+02
0,FSL R10-1344,2.779691942,6.02E+02
0,FSL R10-1344,2.955783201,9.03E+02
0,FSL R10-1432,3.266358528,1.85E+03
0,FSL R10-1432,3.315407926,2.07E+03
0,FSL R10-1432,3.335994472,2.17E+03
0,FSL R10-1432,3.392475825,2.47E+03
0,FSL R10-1432,3.426422339,2.67E+03
0,FSL R10-1432,3.41316043,2.59E+03
0,FSL R10-2381,3.018574038,1.04E+03
0,FSL R10-2381,3.073422711,1.18E+03
0,FSL R10-2381,3.010140884,1.02E+03
0,FSL R10-2381,2.925819997,8.43E+02
