Isolate,Bio_Replicate,lag,mumax,LOG10N0,LOG10Nmax,BIC_b,BIC_g,BIC_ba
FSL R10-0054,1,2.695718964,0.079317821,3.241370378,8.172843934,24.01101741,-14.30592871,2.338630265
FSL R10-0054,2,10.27086566,0.0933178,3.35109955,8.094163141,7.721922407,-22.99643988,1.724582277
FSL R10-0054,3,18.27051068,0.080393239,3.41311302,8.095183519,30.65311746,23.58141489,29.77738038
FSL R10-0151,1,8.000187483,0.072799811,3.238940365,7.856544109,22.80057416,25.23668856,22.20201232
FSL R10-0151,2,11.99833254,0.075875713,3.252637354,7.876391084,14.68534721,17.02247435,17.08192695
FSL R10-0151,3,7.998755428,0.071020744,3.234115225,7.874326387,11.98521091,15.70309867,12.64923017
FSL R10-0531,1,29.88678013,0.07939551,2.965348171,8.508867683,-55.31912761,-17.72652523,-46.03661303
FSL R10-0531,2,31.7749302,0.077639324,2.951800424,8.497106536,-28.41574167,-16.66448722,-39.57507612
FSL R10-0531,3,31.90197789,0.072663863,2.920901759,8.446345266,-32.33753248,-30.87588585,-55.38319827
FSL R10-0553,1,7.008128585,0.07671478,2.769690645,8.047096396,9.825950883,-38.75383824,-3.938137448
FSL R10-0553,2,7.228144417,0.073882872,2.925755552,7.988424186,27.16030959,2.161649664,17.41045821
FSL R10-0553,3,3.957318933,0.06764543,2.808144411,8.051254568,6.501688475,-30.79941906,-3.898457752
FSL R10-0941,1,8.559944472,0.069718347,3.227674989,8.402169178,27.61735616,19.34257079,25.12166769
FSL R10-0941,2,4.383210021,0.06461453,3.371006892,8.410226066,29.14094153,23.06270299,23.72487608
FSL R10-0941,3,4.00005944,0.062121476,3.381145832,8.418427815,34.6786501,24.05705938,25.21604833
FSL R10-1099,1,17.85791602,0.069172851,3.002052949,8.570111371,-55.31912761,-17.72652523,-46.03661303
FSL R10-1099,2,18.68862801,0.065619602,3.116086061,8.54185197,-28.41574167,-16.66448722,-39.57507612
FSL R10-1099,3,17.81994214,0.061413021,3.071652851,8.560399197,-32.33753248,-30.87588585,-55.38319827
FSL R10-1113,1,18.7164199,0.068489998,3.346326944,8.694744789,-5.613372601,-16.24455073,-12.97858255
FSL R10-1113,2,19.40585788,0.066842237,3.312651168,8.716118494,-16.74805968,-38.77952971,-27.43406915
FSL R10-1113,3,27.39517064,0.064470433,3.450614387,8.626436062,-30.08597183,-54.93507457,-52.78251588
