Day,Isolate,LogCount,Count
0,J3-0122,3.555094449,3.59E+03
0,J3-0153,3.611723308,4.09E+03
0,R5-0808,3.136720567,1.37E+03
0,R7-0277,4.004321374,1.01E+04
0,A5-0030,3.053078443,1.13E+03
0,H8-0237,3.556302501,3.60E+03
0,J3-0123,3.240549248,1.74E+03
0,H8-0287,3.36361198,2.31E+03
1,J3-0122,3.558708571,3.62E+03
1,J3-0153,3.615950052,4.13E+03
1,R5-0808,3.359835482,2.29E+03
1,R7-0277,3.822168079,6.64E+03
1,A5-0030,2.699837726,5.01E+02
1,H8-0237,3.478566496,3.01E+03
1,J3-0123,2.682145076,4.81E+02
1,H8-0287,3.33243846,2.15E+03
2,J3-0122,3.556302501,3.60E+03
2,J3-0153,3.949390007,8.90E+03
2,R5-0808,3.451786436,2.83E+03
2,R7-0277,3.671172843,4.69E+03
2,A5-0030,3,1.00E+03
2,H8-0237,3.46834733,2.94E+03
2,J3-0123,3.025305865,1.06E+03
2,H8-0287,3.267171728,1.85E+03
3,J3-0122,3.478566496,3.01E+03
3,J3-0153,4.527629901,3.37E+04
3,R5-0808,3.409933123,2.57E+03
3,R7-0277,3.932980822,8.57E+03
3,A5-0030,3.064457989,1.16E+03
3,H8-0237,3.981818607,9.59E+03
3,J3-0123,2.995635195,9.90E+02
3,H8-0287,3.404833717,2.54E+03
4,J3-0122,3.522444234,3.33E+03
4,J3-0153,4.931966115,8.55E+04
4,R5-0808,3.480006943,3.02E+03
4,R7-0277,4.029383778,1.07E+04
4,A5-0030,3.025305865,1.06E+03
4,H8-0237,4.152288344,1.42E+04
4,J3-0123,3.136720567,1.37E+03
4,H8-0287,3.416640507,2.61E+03
5,J3-0122,3.517195898,3.29E+03
5,J3-0153,5.198657087,1.58E+05
5,R5-0808,4.176091259,1.50E+04
5,R7-0277,4.10720997,1.28E+04
5,A5-0030,3.008600172,1.02E+03
5,H8-0237,4.322219295,2.10E+04
5,J3-0123,3.149219113,1.41E+03
5,H8-0287,3.447158031,2.80E+03
6,J3-0122,3.041392685,1.10E+03
6,J3-0153,5.462397998,2.90E+05
6,R5-0808,3.906335042,8.06E+03
6,R7-0277,4.447158031,2.80E+04
6,A5-0030,3.255272505,1.80E+03
6,H8-0237,4.57863921,3.79E+04
6,J3-0123,3.240549248,1.74E+03
6,H8-0287,3.600972896,3.99E+03
7,J3-0122,3.682145076,4.81E+03
7,J3-0153,5.51851394,3.30E+05
7,R5-0808,4.204119983,1.60E+04
7,R7-0277,4.586587305,3.86E+04
7,A5-0030,3.681241237,4.80E+03
7,H8-0237,4.809559715,6.45E+04
7,J3-0123,3.419955748,2.63E+03
7,H8-0287,3.611723308,4.09E+03
9,J3-0122,3.716837723,5.21E+03
9,J3-0153,5.544068044,3.50E+05
9,R5-0808,3.418301291,2.62E+03
9,R7-0277,4.667452953,4.65E+04
9,A5-0030,4.190331698,1.55E+04
9,H8-0237,5.481442629,3.03E+05
9,J3-0123,3.841984805,6.95E+03
9,H8-0287,3.514547753,3.27E+03
11,J3-0122,3.653212514,4.50E+03
11,J3-0153,4.902002891,7.98E+04
11,R5-0808,3.598790507,3.97E+03
11,R7-0277,4.835690571,6.85E+04
11,A5-0030,5.181843588,1.52E+05
11,H8-0237,6.123851641,1.33E+06
11,J3-0123,4.841984805,6.95E+04
11,H8-0287,3.939019776,8.69E+03
13,J3-0122,3.716837723,5.21E+03
13,J3-0153,4.187520721,1.54E+04
13,R5-0808,3.214843848,1.64E+03
13,R7-0277,4.780317312,6.03E+04
13,A5-0030,6.136720567,1.37E+06
13,H8-0237,3.336459734,2.17E+03
13,J3-0123,5.536558443,3.44E+05
13,H8-0287,4.361727836,2.30E+04
15,J3-0122,3.514547753,3.27E+03
15,J3-0153,3.514547753,3.27E+03
15,R5-0808,3.607455023,4.05E+03
15,R7-0277,4.643452676,4.40E+04
15,A5-0030,6.465382851,2.92E+06
15,H8-0237,6.285557309,1.93E+06
15,J3-0123,5.938019097,8.67E+05
15,H8-0287,5.025305865,1.06E+05
17,J3-0122,3.672097858,4.70E+03
17,J3-0153,3.089905111,1.23E+03
17,R5-0808,3.426511261,2.67E+03
17,R7-0277,4.895974732,7.87E+04
17,A5-0030,6.992111488,9.82E+06
17,H8-0237,6.737192643,5.46E+06
17,J3-0123,6.276461804,1.89E+06
17,H8-0287,6.582063363,3.82E+06
19,J3-0122,3.716003344,5.20E+03
19,J3-0153,3,1.00E+03
19,R5-0808,3.604226053,4.02E+03
19,R7-0277,4.740362689,5.50E+04
19,A5-0030,8.86923172,7.40E+08
19,H8-0237,6.831229694,6.78E+06
19,J3-0123,6.421603927,2.64E+06
19,H8-0287,6.629409599,4.26E+06
21,J3-0122,3.653212514,4.50E+03
21,J3-0153,2.565847819,3.68E+02
21,R5-0808,3.505149978,3.20E+03
21,R7-0277,5.301029996,2.00E+05
21,H8-0237,6.214843848,1.64E+06
21,J3-0123,6.385606274,2.43E+06
21,H8-0287,5.912222057,8.17E+05
23,J3-0122,3.28780173,1.94E+03
23,J3-0153,2.662757832,4.60E+02
23,R5-0808,3.542825427,3.49E+03
23,R7-0277,6.519827994,3.31E+06
23,A5-0030,7.505149978,3.20E+07
23,H8-0237,7.514547753,3.27E+07
23,J3-0123,6.534026106,3.42E+06
23,H8-0287,7.198657087,1.58E+07
25,J3-0122,3.424881637,2.66E+03
25,J3-0153,2.841984805,6.95E+02
25,R5-0808,3.584331224,3.84E+03
25,R7-0277,7.127104798,1.34E+07
25,A5-0030,7.075546961,1.19E+07
25,H8-0237,5.918554531,8.29E+05
25,J3-0123,6.227886705,1.69E+06
25,H8-0287,5.527629901,3.37E+05
27,J3-0122,3.515873844,3.28E+03
27,J3-0153,2.632457292,4.29E+02
27,R5-0808,3.56937391,3.71E+03
27,R7-0277,7.602059991,4.00E+07
27,A5-0030,7.511883361,3.25E+07
27,H8-0237,7.753583059,5.67E+07
27,J3-0123,6.587710965,3.87E+06
27,H8-0287,6.898725182,7.92E+06
29,A5-0030,7.489958479,3.09E+07
29,H8-0237,7.970346876,9.34E+07
29,J3-0123,6.643452676,4.40E+06
29,H8-0287,7.103803721,1.27E+07
29,R5-0808,3.465382851,2.92E+03
29,R7-0277,7.806179974,6.40E+07
31,H8-0237,8.120573931,1.32E+08
