"","Plant_VSLNumber_SampleID","CVTA_D10","CVTA_D14","CVTA_D17","CVTA_D21","CVTA_D7","CVTA_DI","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI"
"1","Byrne Dairy_434_62",1,1,1,1,1,1,1.91381385238372,NA,NA,NA,2.42488163663107,NA
"2","Byrne Dairy_434_62-1",1,5.60205999132796,2,1.49136169383427,1,1,2.0899051114394,5.60205999132796,2.00860017176192,NA,2.2405492482826,NA
"3","Byrne Dairy_434_62-2",NA,3,2,1,NA,1,NA,NA,NA,NA,NA,2.26481782300954
"4","Byrne Dairy_434_63",2.26481782300954,1,1,1,1,1,2.18752072083646,NA,NA,NA,2.54157924394658,NA
"5","Byrne Dairy_434_63-2",1,1,1,1,1,1,1.61278385671974,NA,2.38916608436453,NA,2.12385164096709,2.35218251811136
"6","Byrne Dairy_437_22",1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA
"7","Byrne Dairy_437_22-1",1,1,1,1,1,1,NA,NA,NA,5.60205999132796,NA,NA
"8","Byrne Dairy_437_22-2",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"9","Byrne Dairy_437_23",NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA
"10","Byrne Dairy_437_23-2",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"11","Byrne Dairy_439_52",1,1,1,1,1,1,1.96378782734556,2.45788189673399,NA,NA,1.96378782734556,2.00860017176192
"12","Byrne Dairy_439_52-1",1,1,5.60205999132796,1,1,1,1.70757017609794,NA,5.60205999132796,NA,2.05307844348342,2.28780172993023
"13","Byrne Dairy_439_52-2",NA,NA,5.3096301674259,NA,NA,1,NA,NA,5.78746047451842,NA,NA,2.2405492482826
"14","Byrne Dairy_439_53",1,1,1,1,1,0,1.49136169383427,NA,NA,NA,2.1846914308176,2.2405492482826
"15","Byrne Dairy_439_53-1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1.32221929473392
"16","Byrne Dairy_439_53-2",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2.33243845991561
"17","Byrne Dairy_442_22",NA,NA,5,1,NA,1,NA,NA,5,NA,NA,NA
"18","Byrne Dairy_442_22-1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2.15836249209525
"19","Byrne Dairy_442_22-2",1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"20","Byrne Dairy_442_23",2.58994960132571,1,NA,NA,1,1,NA,NA,NA,NA,2.63346845557959,2.42488163663107
"21","Byrne Dairy_442_23-1",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"22","Byrne Dairy_442_23-2",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"23","Byrne Dairy_457_21",1.30102999566398,1.30102999566398,1.30102999566398,1.30102999566398,1.30102999566398,1.30102999566398,NA,1.30102999566398,NA,NA,2.23044892137827,2.30102999566398
"24","Byrne Dairy_457_22",1.30102999566398,1.30102999566398,1.30102999566398,1.30102999566398,1.30102999566398,NA,2.46239799789896,2,NA,NA,2.07918124604762,2.38021124171161
"25","Byrne Dairy_457_22-1",NA,NA,NA,NA,1.30102999566398,1.30102999566398,NA,NA,NA,NA,2.38021124171161,2.38021124171161
"26","Byrne Dairy_457_22-2",NA,NA,NA,NA,5.60205999132796,1.30102999566398,NA,NA,NA,NA,5.60205999132796,2.54406804435028
"27","Byrne Dairy_457_22-3",8.60205999132796,NA,8.30102999566398,NA,1.30102999566398,1.30102999566398,NA,NA,NA,NA,5.60205999132796,NA
"28","Byrne Dairy_457_23",1.30102999566398,1.30102999566398,NA,1.30102999566398,1.30102999566398,1.30102999566398,2.23044892137827,NA,2.11394335230684,NA,2.47712125471966,2.25527250510331
"29","Byrne Dairy_457_23-1",1.30102999566398,1.30102999566398,3.30102999566398,2.30102999566398,1.30102999566398,2,2.38021124171161,NA,4.30102999566398,NA,2.49136169383427,NA
"30","Byrne Dairy_457_23-2",NA,NA,NA,NA,2.30102999566398,NA,NA,NA,NA,NA,NA,2.51851393987789
"31","Byrne Dairy_457_23-3",1.30102999566398,1.30102999566398,1.30102999566398,1.30102999566398,1.30102999566398,1.30102999566398,2.23044892137827,2.11394335230684,2.17609125905568,NA,2.34242268082221,NA
"32","Byrne Dairy_457_23-4",1.30102999566398,2.55630250076729,NA,NA,1.30102999566398,1.30102999566398,2.30102999566398,NA,NA,NA,2.34242268082221,2.47712125471966
"33","Byrne Dairy_457_24",1.30102999566398,1.30102999566398,2.25527250510331,5.60205999132796,1.30102999566398,1.30102999566398,2.20411998265592,2.11394335230684,NA,NA,2.47712125471966,2.47712125471966
"34","Byrne Dairy_457_24-1",1.30102999566398,1.30102999566398,4.07918124604763,2.30102999566398,1.30102999566398,1.30102999566398,2.43136376415899,NA,NA,NA,2.54406804435028,2.39794000867204
"35","Cornell Dairy_434_72",NA,NA,NA,NA,5.60205999132796,1,NA,NA,NA,NA,5.60205999132796,2.2148438480477
"36","Cornell Dairy_434_72-1",NA,NA,NA,NA,5.60205999132796,1,NA,NA,NA,NA,5.60205999132796,2.12385164096709
"37","Cornell Dairy_434_73",NA,NA,NA,NA,5.60205999132796,1,NA,NA,NA,NA,5.60205999132796,2.0899051114394
"38","Cornell Dairy_434_73-1",NA,NA,NA,NA,5.60205999132796,1,NA,NA,NA,NA,5.60205999132796,NA
"39","Cornell Dairy_437_32",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"40","Cornell Dairy_437_32-1",NA,1.32221929473392,1,NA,1,1,NA,NA,NA,NA,NA,NA
"41","Cornell Dairy_437_33",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"42","Cornell Dairy_437_33-1",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"43","Cornell Dairy_439_62",1,1,1,1,1,1,2.38916608436453,2.56584781867352,NA,NA,2.52762990087134,2.51454775266029
"44","Cornell Dairy_439_62-1",1,1,1,1,1,1,2.39093510710338,2.58883172559421,NA,NA,NA,2.52891670027765
"45","Cornell Dairy_439_63",NA,3,1,1,NA,1,NA,3,2.42488163663107,NA,NA,2.39093510710338
"46","Cornell Dairy_439_63-1",1,1,1,1,1,1,2.44090908206522,2.2405492482826,NA,NA,2.48713837547719,2.31175386105575
"47","Cornell Dairy_442_32",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"48","Cornell Dairy_442_32-1",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"49","Cornell Dairy_442_33",1,1,1,1,1,1,NA,NA,NA,2.44090908206522,NA,NA
"50","Cornell Dairy_442_33-1",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"51","Garelick Farms_435_42",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"52","Garelick Farms_435_42-1",1,1,1,3.15228834438306,1,1,NA,NA,NA,NA,NA,NA
"53","Garelick Farms_435_42-2",NA,2,2,1,NA,1,NA,NA,NA,NA,NA,NA
"54","Garelick Farms_435_43",1,1,1,1,1,1,2.2405492482826,2.12385164096709,NA,NA,2.34242268082221,2.41497334797082
"55","Garelick Farms_435_43-1",1,1,1,3.35983548233989,1,1,2.0899051114394,NA,NA,5.60205999132796,2.29003461136252,2.39093510710338
"56","Garelick Farms_435_43-2",2.2148438480477,1,1,1,1,1,2.58994960132571,NA,4.01283722470517,NA,2.35218251811136,2.47275644931721
"57","Garelick Farms_437_72",NA,1,1,1,NA,1,NA,NA,NA,NA,NA,2.58994960132571
"58","Garelick Farms_437_72-1",NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,2.51454775266029
"59","Garelick Farms_437_72-2",NA,1,NA,1,2.51454775266029,1,NA,NA,NA,NA,2.40823996531185,2.44090908206522
"60","Garelick Farms_437_73",NA,3.00860017176192,NA,3.00860017176192,NA,1,NA,NA,NA,NA,NA,2.54157924394658
"61","Garelick Farms_437_73-1",1,NA,NA,NA,1,1,2.42488163663107,NA,NA,NA,2.42488163663107,NA
"62","Garelick Farms_437_73-2",NA,1,1,1,NA,1,NA,NA,NA,NA,NA,2.52891670027765
"63","Garelick Farms_440_42",1,1,NA,NA,1,1,2.48713837547719,NA,NA,NA,2.2148438480477,2.15533603746506
"64","Garelick Farms_440_42-1",1,1.32221929473392,2.78746047451842,1,1,1,2.38916608436453,NA,NA,NA,2.05307844348342,2.05307844348342
"65","Garelick Farms_440_42-2",1,1,1,1,1,1,2.38916608436453,NA,NA,NA,2.1846914308176,2.00860017176192
"66","Garelick Farms_440_43",1,1,1,1,1,1,1.96378782734556,2.31175386105575,5.17026171539496,NA,2.0899051114394,1.70757017609794
"67","Garelick Farms_440_43-1",1,1,1,1,1,1,1.49136169383427,NA,3.61172330800734,NA,1.96378782734556,2.18752072083646
"68","Garelick Farms_440_43-2",NA,NA,NA,NA,NA,1,NA,NA,NA,5.3096301674259,2.05307844348342,2.33243845991561
"69","Garelick Farms_442_72",1,1.96378782734556,1,1,1,1,2.47275644931721,NA,NA,NA,2.45788189673399,NA
"70","Garelick Farms_442_72-1",1,1,1,1,1,1,2.55388302664387,NA,NA,NA,2.48713837547719,2.50105926221775
"71","Garelick Farms_442_72-2",1,1,1,1,1,1,2.31175386105575,NA,NA,NA,2.37106786227174,2.56584781867352
"72","Garelick Farms_442_73",1,5.60205999132796,1,1,1,1,2.45636603312904,5.60205999132796,2.2148438480477,NA,2.45636603312904,2.45636603312904
"73","Garelick Farms_442_73-1",1,1,1,5.60205999132796,1,1,2.37106786227174,2.26481782300954,2.26481782300954,5.60205999132796,2.45788189673399,NA
"74","Garelick Farms_442_73-2",1,1,NA,1,1,1,2.28780172993023,2.40823996531185,NA,2.15533603746506,2.56584781867352,2.55388302664387
"75","Garelick Farms_458_11",1.30102999566398,1.30102999566398,1.30102999566398,2.30102999566398,1.30102999566398,1.30102999566398,NA,NA,NA,NA,NA,NA
