Plant,VSL Number,SampleID,Day,16S ST
Upstate Rochester,434,22,D7,9
Upstate Rochester,434,22,D10,9
Upstate Rochester,434,22,D14,6
Upstate Rochester,434,22,D14,9
Upstate Rochester,434,22,D17,9
Upstate Rochester,434,22,D21,9
Upstate Rochester,434,22-1,D7,9
Upstate Rochester,434,22-1,D10,9
Upstate Rochester,434,22-1,D14,9
Upstate Rochester,434,22-1,D17,9
Upstate Rochester,434,22-1,D21,9
Upstate Rochester,434,23,D7,16
Upstate Rochester,434,23,D10,16
Upstate Rochester,434,23,D14,21
Upstate Rochester,434,23,D17,23
Upstate Rochester,434,23,D21,7
Upstate Rochester,434,23,D21,21
Upstate Rochester,434,23-2,D14,19
Upstate Rochester,434,23-2,D14,21
Upstate Rochester,434,23-2,D17,20
Upstate Rochester,434,23-2,D17,22
Upstate Rochester,434,23-2,D21,16
Upstate Rochester,434,23-2,D21,23
Upstate Rochester,436,83-2,D14,2
Upstate Rochester,436,83-2,D21,56
Upstate Rochester,439,22-2,D17,16
Upstate Rochester,439,23-2,D7,9
Upstate Rochester,439,23-2,D7,83
Upstate Rochester,439,23-2,D10,9
Upstate Rochester,439,23-2,D14,83
Upstate Rochester,439,23-2,D17,83
Upstate Rochester,439,23-2,D21,83
Upstate Rochester,441,82-2,D14,16
Upstate Rochester,441,82-2,D17,16
Upstate Rochester,441,82-2,D21,16
Upstate Rochester,441,83,D14,109
Upstate Rochester,441,83-2,D7,11
Upstate Rochester,441,83-2,D7,43
Upstate Rochester,441,83-2,D7,110
Upstate Rochester,441,83-2,D10,11
Upstate Rochester,441,83-2,D10,43
Upstate Rochester,441,83-2,D10,110
Upstate Rochester,441,83-2,D14,17
Upstate Rochester,441,83-2,D14,111
Upstate Rochester,441,83-2,D17,11
Upstate Rochester,441,83-2,D17,13
Upstate Rochester,441,83-2,D17,110
Upstate Rochester,441,83-2,D21,16
Upstate Rochester,441,83-2,D21,43
Upstate Rochester,441,83-2,D21,110
Upstate Rochester,Aim2_Prelim,P33-3,D10,127
Upstate Rochester,Aim2_Prelim,P33-3,D14,2
Upstate Rochester,Aim2_Prelim,P33-3,D14,128
Upstate Rochester,Aim2_Prelim,P33-3,D17,128
Upstate Rochester,458,22,D21,100
Upstate Rochester,458,22-1,D14,52
Upstate Rochester,458,22-1,D17,11
Upstate Rochester,458,22-1,D17,52
Upstate Rochester,458,22-1,D17,56
Upstate Rochester,458,23,D7,147
Upstate Rochester,458,23,D10,147
Upstate Rochester,458,23,D14,147
Upstate Rochester,458,23-1,D14,52
Upstate Rochester,458,23-2,D17,11
Upstate Rochester,458,23-2,D17,52
Upstate Rochester,458,23-2,D21,9
Upstate Rochester,458,23-2,D21,52
Upstate Rochester,458,24,D10,30
Upstate Rochester,458,24,D17,30
Upstate Rochester,458,24,D21,30
Stewart's,435,12-1,D7,33
Stewart's,435,12-1,D7,35
Stewart's,435,12-1,D10,33
Stewart's,435,12-1,D10,51
Stewart's,435,12-1,D21,34
Stewart's,435,13-1,D7,33
Stewart's,435,13-1,D7,36
Stewart's,435,13-1,D10,16
Stewart's,435,13-1,D10,33
Stewart's,435,13-1,D10,36
Stewart's,435,13-1,D10,37
Stewart's,435,13-1,D14,13
Stewart's,435,13-1,D14,33
Stewart's,435,13-1,D14,36
Stewart's,435,13-1,D14,38
Stewart's,435,13-1,D14,39
Stewart's,435,13-1,D17,13
Stewart's,435,13-1,D17,33
Stewart's,435,13-1,D17,38
Stewart's,435,13-1,D17,40
Stewart's,435,13-1,D21,16
Stewart's,435,13-1,D21,38
Stewart's,435,13-1,D21,40
Stewart's,437,82-1,D10,3
Stewart's,437,82-1,D10,6
Stewart's,437,82-1,D14,2
Stewart's,437,82-1,D14,6
Stewart's,437,82-1,D21,6
Stewart's,440,15,D7,33
Stewart's,440,15,D10,33
Stewart's,440,15,D14,1
Stewart's,440,15,D14,41
Stewart's,440,15,D17,1
Stewart's,440,15,D21,1
Stewart's,440,15-1,D7,33
Stewart's,440,15-1,D10,33
Stewart's,440,15-1,D14,33
Stewart's,440,15-1,D17,33
Stewart's,440,15-1,D21,33
Stewart's,440,15-2,D7,1
Stewart's,440,15-2,D10,1
Stewart's,440,15-2,D17,1
Stewart's,440,15-2,D21,1
Stewart's,442,83,D14,51
Stewart's,442,85,D7,39
Stewart's,442,85,D7,121
Stewart's,442,85,D10,39
Stewart's,442,85,D10,97
Stewart's,442,85,D10,121
Stewart's,442,85,D14,13
Stewart's,442,85,D14,100
Stewart's,442,85,D17,9
Stewart's,442,85,D21,22
Stewart's,442,85-1,D14,13
Stewart's,442,85-2,D7,13
Stewart's,442,85-2,D10,13
Stewart's,442,85-2,D14,13
Stewart's,442,85-2,D17,13
Stewart's,442,85-2,D21,13
Byrne Dairy,434,62-1,D14,13
Byrne Dairy,434,62-2,D7,16
Byrne Dairy,434,62-2,D10,16
Byrne Dairy,434,63,D10,16
Byrne Dairy,434,65,D7,26
Byrne Dairy,434,65,D10,26
Byrne Dairy,434,65,D10,28
Byrne Dairy,434,65,D14,25
Byrne Dairy,434,65,D17,26
Byrne Dairy,434,65,D21,18
Byrne Dairy,434,65,D21,25
Byrne Dairy,434,65,D21,27
Byrne Dairy,434,65,D21,29
Byrne Dairy,434,65-1,DI,31
Byrne Dairy,434,65-1,D7,30
Byrne Dairy,434,65-1,D14,11
Byrne Dairy,434,65-1,D14,32
Byrne Dairy,434,65-1,D17,13
Byrne Dairy,434,65-1,D17,16
Byrne Dairy,434,65-1,D21,13
Byrne Dairy,434,65-1,D21,25
Byrne Dairy,434,65-2,D14,25
Byrne Dairy,437,22,D21,23
Byrne Dairy,437,22-2,D7,13
Byrne Dairy,437,22-2,D10,13
Byrne Dairy,437,22-2,D10,60
Byrne Dairy,437,22-2,D14,9
Byrne Dairy,437,22-2,D14,61
Byrne Dairy,437,22-2,D17,9
Byrne Dairy,437,22-2,D17,62
Byrne Dairy,437,22-2,D17,63
Byrne Dairy,437,22-2,D21,9
Byrne Dairy,437,22-2,D21,16
Byrne Dairy,437,23,D10,13
Byrne Dairy,437,23-2,D7,13
Byrne Dairy,437,23-2,D7,68
Byrne Dairy,437,23-2,D10,13
Byrne Dairy,437,23-2,D10,64
Byrne Dairy,437,23-2,D14,13
Byrne Dairy,437,23-2,D14,65
Byrne Dairy,437,23-2,D17,13
Byrne Dairy,437,23-2,D17,23
Byrne Dairy,437,23-2,D17,66
Byrne Dairy,437,23-2,D21,13
Byrne Dairy,437,23-2,D21,16
Byrne Dairy,437,23-2,D21,66
Byrne Dairy,437,23-2,D21,67
Byrne Dairy,437,25,D21,69
Byrne Dairy,437,25-2,D7,70
Byrne Dairy,437,25-2,D17,70
Byrne Dairy,437,25-2,D21,70
Byrne Dairy,439,52-1,D17,54
Byrne Dairy,439,52-2,D7,56
Byrne Dairy,439,52-2,D10,56
Byrne Dairy,439,52-2,D10,65
Byrne Dairy,439,52-2,D10,75
Byrne Dairy,439,52-2,D10,89
Byrne Dairy,439,52-2,D14,51
Byrne Dairy,439,52-2,D17,90
Byrne Dairy,439,52-2,D21,13
Byrne Dairy,439,53-1,D7,16
Byrne Dairy,439,53-1,D7,17
Byrne Dairy,439,53-1,D7,67
Byrne Dairy,439,53-1,D10,13
Byrne Dairy,439,53-1,D10,16
Byrne Dairy,439,53-1,D10,17
Byrne Dairy,439,53-1,D14,16
Byrne Dairy,439,53-1,D14,67
Byrne Dairy,439,53-1,D17,14
Byrne Dairy,439,53-1,D17,16
Byrne Dairy,439,53-1,D21,16
Byrne Dairy,439,53-2,DI,18
Byrne Dairy,439,53-2,D7,13
Byrne Dairy,439,53-2,D7,16
Byrne Dairy,439,53-2,D7,18
Byrne Dairy,439,53-2,D7,52
Byrne Dairy,439,53-2,D7,94
Byrne Dairy,439,53-2,D7,96
Byrne Dairy,439,53-2,D7,99
Byrne Dairy,439,53-2,D10,13
Byrne Dairy,439,53-2,D10,56
Byrne Dairy,439,53-2,D10,83
Byrne Dairy,439,53-2,D10,91
Byrne Dairy,439,53-2,D10,92
Byrne Dairy,439,53-2,D10,93
Byrne Dairy,439,53-2,D10,94
Byrne Dairy,439,53-2,D14,13
Byrne Dairy,439,53-2,D14,95
Byrne Dairy,439,53-2,D14,96
Byrne Dairy,439,53-2,D17,13
Byrne Dairy,439,53-2,D17,23
Byrne Dairy,439,53-2,D17,96
Byrne Dairy,439,53-2,D17,97
Byrne Dairy,439,53-2,D21,13
Byrne Dairy,439,53-2,D21,36
Byrne Dairy,439,53-2,D21,83
Byrne Dairy,439,53-2,D21,94
Byrne Dairy,439,53-2,D21,98
Byrne Dairy,439,55-1,D17,23
Byrne Dairy,439,55-1,D21,41
Byrne Dairy,442,22,D7,11
Byrne Dairy,442,22,D7,14
Byrne Dairy,442,22,D10,14
Byrne Dairy,442,22,D14,11
Byrne Dairy,442,22-1,D7,13
Byrne Dairy,442,22-1,D10,13
Byrne Dairy,442,22-1,D10,114
Byrne Dairy,442,22-1,D14,13
Byrne Dairy,442,22-1,D14,16
Byrne Dairy,442,22-1,D17,16
Byrne Dairy,442,22-1,D21,13
Byrne Dairy,442,22-1,D21,16
Byrne Dairy,442,22-2,D14,115
Byrne Dairy,442,22-2,D17,115
Byrne Dairy,442,22-2,D21,16
Byrne Dairy,442,23,D17,9
Byrne Dairy,442,23,D21,116
Byrne Dairy,442,23-1,D7,3
Byrne Dairy,442,23-1,D7,117
Byrne Dairy,442,23-1,D10,16
Byrne Dairy,442,23-1,D10,117
Byrne Dairy,442,23-1,D14,117
Byrne Dairy,442,23-1,D17,117
Byrne Dairy,442,23-1,D21,117
Byrne Dairy,442,23-2,D7,23
Byrne Dairy,442,23-2,D10,16
Byrne Dairy,442,23-2,D10,23
Byrne Dairy,442,23-2,D14,16
Byrne Dairy,442,23-2,D14,23
Byrne Dairy,442,23-2,D17,16
Byrne Dairy,442,23-2,D17,23
Byrne Dairy,442,23-2,D21,23
Byrne Dairy,442,25,D7,13
Byrne Dairy,442,25,D7,14
Byrne Dairy,442,25,D10,13
Byrne Dairy,442,25,D10,14
Byrne Dairy,442,25-1,D7,13
Byrne Dairy,442,25-1,D10,13
Byrne Dairy,442,25-1,D10,118
Byrne Dairy,442,25-1,D14,13
Byrne Dairy,442,25-1,D17,13
