ID,milkType,size,container,projectNumber,plantID,dateProcessed,dateInitial,DIgreaterthanlessthan,DIdatavalue,DIcountability,D7greaterthanlessthan,D7datavalue,D7countability,D10greaterthanlessthan,D10datavalue,D10countability,D14greaterthanlessthan,D14datavalue,D14countability
3676,Homogenized,½ Gal,Plastic,428,33-08,1/5/2015,1/7/2015,,2.50,E,,20,E,,1100,,,550000,
3693,Homogenized,½ Gal,Plastic,429,36-5385,1/29/2015,2/4/2015,,31.00,E,,,,,400000,E,,360000000,
3694,2%,½ Gal,Plastic,429,36-5385,1/31/2015,2/4/2015,,2.50,E,,10,E,,68000,,,120000000,
3716,Homogenized,qt,Glass,429,36-5673,2/3/2015,2/4/2015,,2.50,E,,29000,,,22000000,,,140000000,
3717,2%,qt,Glass,429,36-5673,2/3/2015,2/4/2015,,2.50,E,,170000,,,14000000,,,130000000,
3718,Skim,qt,Glass,429,36-5673,2/3/2015,2/4/2015,,2.50,E,,100000,,,31000000,,,240000000,
3721,2%,½ Gal,Plastic,430,36-1007,2/23/2015,2/25/2015,,2.50,E,,4900,,,9700000,,,130000000,
3722,Skim,½ Gal,Plastic,430,36-1007,2/23/2015,2/25/2015,,2.50,E,,580,,,400000,E,,150000000,
3726,2%,½ Gal,Plastic,430,36-1661,2/24/2015,2/25/2015,,2.50,E,,3100,,,2600000,,,140000,
3727,Skim,½ Gal,Plastic,430,36-1661,2/24/2015,2/25/2015,,2.50,E,,400000,E,,370000000,,,570000000,
3743,Homogenized,½ Gal,Plastic,430,36-2107,2/23/2015,2/25/2015,,2.50,E,,21000,,,11000000,,,31000,
3744,2%,½ Gal,Plastic,430,36-2107,2/23/2015,2/25/2015,,2.50,E,,20,E,,15000,,,3800,
3745,Skim,½ Gal,Plastic,430,36-2107,2/23/2015,2/25/2015,,2.50,E,,17000,,,14000000,,,2100000000,
3774,Homogenized,½ Gal,Plastic,431,36-2985,4/6/2015,4/8/2015,,2.50,E,,400000,E,,58000000,,,44000000,
3775,2%,½ Gal,Plastic,431,36-2985,4/6/2015,4/8/2015,,2.50,E,,41000,,,16000000,,,140000000,
3776,Skim,½ Gal,Plastic,431,36-2985,4/7/2015,4/8/2015,,2.50,E,,400000,E,,120000000,,,8500000000,
3781,Creamline,½ Gal,Plastic,431,36-8430,4/7/2015,4/8/2015,,51.00,E,,400000,E,,250000000,,,200000000,
3782,Skim Creamline,½ Gal,Plastic,431,36-8430,4/7/2015,4/8/2015,,2.50,E,,140000,,,110000000,,,3800000000,
3789,Creamline,½ Gal,Plastic,431,36-1132,4/6/2015,4/8/2015,,2.50,E,,78000,,,41000000,,,1200000000,
3790,Skim,½ Gal,Plastic,431,36-1132,4/7/2015,4/8/2015,,2.50,E,,400000,E,,120000000,,,130000000,
3833,2%,½ Gal,Plastic,433,33-08,7/13/2015,7/16/2015,,2.50,E,,10,E,,3100,,,94000,
3838,2%,½ Gal,Plastic,433,23-03,7/13/2015,7/16/2015,,2.50,E,,4800,,,11000000,,,290000000,
3846,Homogenized,½ Gal,Plastic,434,36-5385,8/1/2015,8/5/2015,,31.00,E,,1700,,,8100000,,,360000000,
3848,Skim,½ Gal,Plastic,434,36-5385,8/1/2015,8/5/2015,,2.50,E,,590,,,4800000,,,150000000,
3851,Homogenized,½ Gal,Plastic,434,36-1880,8/3/2015,8/5/2015,,2.50,E,,2600,,,4600000,,,4000000,
3852,2%,½ Gal,Plastic,434,36-1880,8/3/2015,8/5/2015,,2.50,E,,3600,,,150000000,,,1700000000,
3853,Skim,½ Gal,Plastic,434,36-1880,8/3/2015,8/5/2015,,2.50,E,,240,E,,130000,,,86000000,
3854,1%,½ Gal,Plastic,434,36-1880,8/3/2015,8/5/2015,,2.50,E,,5400,,,8000,E,,520000000,
3857,Homogenized,½ Gal,Plastic,434,36-4739,8/3/2015,8/5/2015,,2.50,E,,51,E,,44000,,,140000000,
3858,2%,½ Gal,Plastic,434,36-4739,8/3/2015,8/5/2015,,2.50,E,,36000,,,30000000,,,100000000,
3859,Skim,½ Gal,Plastic,434,36-4739,8/3/2015,8/5/2015,,2.50,E,,17000,,,26000000,,,6700000,
3860,1%,½ Gal,Plastic,434,36-4739,8/3/2015,8/5/2015,,2.50,E,,72000,,,41000000,,,160000000,
3862,Homogenized,qt,Glass,434,36-5673,8/4/2015,8/5/2015,,2.50,E,,20,E,,180000000,,,130000000,
3863,2%,qt,Glass,434,36-5673,8/4/2015,8/5/2015,,2.50,E,,20,E,,120000000,,,320000000,
3864,Skim,qt,Glass,434,36-5673,8/4/2015,8/5/2015,,5.00,E,,20,E,,200000000,,,350000000,
3961,Skim,½ Gal,Plastic,438,23-03,1/11/2016,1/14/2016,,5.00,E,,2400,,,280000,,,1600000,
4102,2%,½ Gal,Plastic,442,36-3661,5/24/2016,5/25/2016,,2.50,E,,4400000,,,120000000,,,460000000,
4121,Creamline,½ Gal,Plastic,443,36-1255,7/11/2016,7/13/2016,,2.50,E,,120,E,,46000,,,2400000,
4122,Skim Creamline,½ Gal,Plastic,443,36-1255,7/11/2016,7/13/2016,,2.50,E,,82,E,,22000,,,290000,
4134,Skim,½ Pint,Paper,443,36-1880,7/11/2016,7/13/2016,,2.50,E,,3200,,,14000000,,,290000000,
4138,Skim Creamline,½ Gal,Plastic,443,36-8430,7/12/2016,7/13/2016,,2.50,E,,23000,,,26000000,,,930000000,
4139,1% Creamline,½ Gal,Plastic,443,36-8430,7/12/2016,7/13/2016,,2.50,E,,2900000,,,2100000,,,15000000000,
4141,2%,½ Gal,Plastic,443,36-1348,7/11/2016,7/13/2016,,2.50,E,,280000,,,68000000,,,97000000,
4146,Homogenized,½ Gal,Plastic,444,36-2107,8/8/2016,8/10/2016,,2.50,E,,4200,,,1200000,,,100000,M
4149,2%,½ Gal,Paper,444,36-2107,8/8/2016,8/10/2016,,2.50,E,,82,E,,400000,E,,270000000,
4153,Skim,½ Gal,Plastic,444,36-8832,8/9/2016,8/10/2016,,2.50,E,,310000,,,36000000,,,3000000000,
4173,2%,Gal,Plastic,445,36-3661,8/30/2016,8/31/2016,,2.50,E,,400000,E,,46000000,,,2500000000,
4175,2%,½ Gal,Glass,445,36-3661,8/29/2016,8/31/2016,,2.50,E,,400000,E,,22000000,,,600000000,
4176,Skim,½ Pint,Paper,445,36-3661,8/29/2016,8/31/2016,,31.00,E,,60000,,,23000000,,,700000000,
4184,Skim,8 oz,Paper,445,33-08,8/29/2016,9/1/2016,,2.50,E,,15000,,,1300000,,,94000000,
4197,2%,½ Gal,Plastic,445,36-2985,8/30/2016,8/31/2016,,2.50,E,,400000,E,,46000000,,,2100000000,
4199,1%,½ Gal,Plastic,445,36-2985,8/29/2016,8/31/2016,,2.50,E,,400000,E,,32000000,,,41000000,
4201,Homogenized,qt,Paper,445,36-2985,8/29/2016,8/31/2016,,31.00,E,,400000,E,,93000000,,,860000000,
4202,2%,½ Pint,Paper,445,36-2985,8/30/2016,8/31/2016,,2.50,E,,400000,E,,50000000,,,780000000,
4203,Skim,½ Pint,Paper,445,36-2985,8/29/2016,8/31/2016,,2.50,E,,1500,,,11000,,,5400000,
4204,Skim,qt,Paper,445,36-2985,8/29/2016,8/31/2016,,2.50,E,,400000,E,,81000000,,,290000000,
4206,Creamline,½ Gal,Plastic,445,36-1296,8/28/2016,8/31/2016,,190.00,E,,,,,400000,E,,400000000,E
4210,2%,½ Gal,Plastic,446,36-8185,9/26/2016,9/28/2016,,2.50,E,,53000,,,28000000,,,830000000,
4211,Skim,½ Gal,Plastic,446,36-8185,9/26/2016,9/28/2016,,2.50,E,,31,E,,4100,,,130000,
4212,1%,½ Gal,Plastic,446,36-8185,9/26/2016,9/28/2016,,2.50,E,,11000,,,18000000,,,1500000000,
4213,2%,qt,Plastic,446,36-8185,9/26/2016,9/28/2016,,2.50,E,,150000,,,15000000,,,93000000,
