Hours_Post_Inoculation,CFU_per_mL,Strain
0,3866666.667,R8-2349
1,2733333.333,R8-2349
2,14066666.67,R8-2349
3,158666666.7,R8-2349
4,1040000000,R8-2349
5,2933333333,R8-2349
6,6533333333,R8-2349
7,7600000000,R8-2349
8,12133333333,R8-2349
0,2666666.667,R8-4084
1,3200000,R8-4084
2,13800000,R8-4084
3,142666666.7,R8-4084
4,766666666.7,R8-4084
5,2933333333,R8-4084
6,5666666667,R8-4084
7,6333333333,R8-4084
8,7600000000,R8-4084
0,1786666.667,S5-0395
1,3200000,S5-0395
2,17000000,S5-0395
3,148000000,S5-0395
4,1020000000,S5-0395
5,4333333333,S5-0395
6,5733333333,S5-0395
7,7266666667,S5-0395
8,12600000000,S5-0395
