Condition,Strain,Dilution,Raw,CFU/mL in 10ml,Day,tnt.cnt.no_growth,Replicate,,,,,,,,
21C,5506,6,2120000000,2.12E+05,Inoculum,cnt,1,,checked,,,,,,
21C,0008,6,1280000000,1.28E+05,Inoculum,cnt,1,,,,,,,,
21C,031,6,2400000000,2.40E+05,Inoculum,cnt,1,,,,,,,,
21C,0506,6,1820000000,1.82E+05,Inoculum,cnt,1,,,,,,,,
21C,5411,5,2160000000,2.16E+05,Inoculum,cnt,1,,,,,,,,
21C,5506,0,17700,1.77E+05,0,cnt,1,,,,,,,,
21C,0008,0,5900,5.90E+04,0,cnt,1,,,,,,,,
21C,031,0,9110,9.11E+04,0,cnt,1,,,,,,,,
21C,0506,0,12800,1.28E+05,0,cnt,1,,,,,,,,
21C,5411,0,10600,1.06E+05,0,cnt,1,,,,,,,,
21C,APC,0,10.2,1.02E+02,0,cnt,1,,checked,,,,,,
21C,MOX,0,0,0.00E+00,0,cnt,1,,,,,,,,
21C,LMPM,0,0,0.00E+00,0,cnt,1,,,,,,,,
21C,5506,1,40800,4.08E+05,1,cnt,1,,,,,,,,
21C,0008,1,40600,4.06E+05,1,cnt,1,,,,,,,,
21C,031,1,26900,2.69E+05,1,cnt,1,,,,,,,,
21C,0506,1,36400,3.64E+05,1,cnt,1,,,,,,,,
21C,5411,0,12600,1.26E+05,1,cnt,1,,,,,,,,
21C,APC,0,40.9,4.09E+02,1,cnt,1,,,,,,,,
21C,MOX,0,0,0.00E+00,1,cnt,1,,,,,,,,
21C,LMPM,0,0,0.00E+00,1,cnt,1,,,,,,,,
21C,5506,2,1870000,1.87E+07,3,cnt,1,,,,,,,,
21C,0008,1,20700,2.07E+05,3,cnt,1,,,,,,,,
21C,031,2,1350000,1.35E+07,3,cnt,1,,,,,,,,
21C,0506,1,280000,2.80E+06,3,cnt,1,,,,,,,,
21C,5411,1,109000,1.09E+06,3,cnt,1,,,,,,,,
21C,APC,0,20.4,2.04E+02,3,cnt,1,,,,,,,,
21C,MOX,0,0,0.00E+00,3,cnt,1,,,,,,,,
21C,LMPM,0,0,0.00E+00,3,cnt,1,,,,,,,,
21C,5506,2,9330000,9.33E+07,4,cnt,1,,,,,,,,
21C,0008,2,4890000,4.89E+07,4,cnt,1,,checked,,,,,,
21C,031,0,8480,8.48E+04,4,cnt,1,,,,,,,,
21C,0506,2,3740000,3.74E+07,4,cnt,1,,,,,,,,
21C,5411,2,552000,5.52E+06,4,cnt,1,,,,,,,,
21C,APC,0,0,0.00E+00,4,cnt,1,,,,,,,,
21C,MOX,0,0,0.00E+00,4,cnt,1,,,,,,,,
21C,LMPM,0,0,0.00E+00,4,cnt,1,,,,,,,,
21C,5506,3,63300000,6.33E+08,7,cnt,1,,,,,,,,
21C,0008,3,14100000,1.41E+08,7,cnt,1,,,,,,,,
21C,031,3,1840000,1.84E+07,7,cnt,1,,,,,,,,
21C,0506,3,5320000,5.32E+07,7,cnt,1,,checked,,,,,,
21C,5411,3,6645000,6.65E+07,7,cnt,1,,,,,,,,
21C,APC,0,0,0.00E+00,7,cnt,1,,,,,,,,
21C,MOX,0,0,0.00E+00,7,cnt,1,,,,,,,,
21C,LMPM,0,0,0.00E+00,7,cnt,1,,,,,,,,
21C,5506,6,2170000000,2.17E+05,Inoculum,cnt,2,,,,,,,,
21C,0008,6,1080000000,1.08E+05,Inoculum,cnt,2,,,,,,,,
21C,031,5,201000000,2.01E+04,Inoculum,cnt,2,,,,,,,,
21C,0506,6,1850000000,1.85E+05,Inoculum,cnt,2,,,,,,,,
21C,5411,6,1840000000,1.84E+05,Inoculum,cnt,2,,,,,,,,
21C,5506,1,12600,1.26E+05,0,cnt,2,,checked,,,,,,
21C,0008,1,21600,2.16E+05,0,cnt,2,,,,,,,,
21C,031,1,17400,1.74E+05,0,cnt,2,,,,,,,,
21C,0506,1,12100,1.21E+05,0,cnt,2,,,,,,,,
21C,5411,0,4240,4.24E+04,0,cnt,2,,,,,,,,
21C,APC,0,130,1.30E+03,0,cnt,2,,,,,,,,
21C,MOX,0,10,1.00E+02,0,cnt,2,,,,,,,,
21C,LMPM,0,0,0.00E+00,0,cnt,2,,,,,,,,
21C,5506,1,154000,1.54E+06,1,cnt,2,,,,,,,,
21C,0008,1,47300,4.73E+05,1,cnt,2,,,,,,,,
21C,031,1,53600,5.36E+05,1,cnt,2,,checked,,,,,,
21C,0506,1,70800,7.08E+05,1,cnt,2,,,,,,,,
21C,5411,1,33200,3.32E+05,1,cnt,2,,,,,,,,
21C,APC,1,311000,3.11E+06,1,cnt,2,,,,,,,,
21C,MOX,0,0,0.00E+00,1,cnt,2,,,,,,,,
21C,LMPM,0,0,0.00E+00,1,cnt,2,,,,,,,,
21C,5506,2,58000,5.80E+05,3,cnt,2,,,,,,,,
21C,0008,3,3720000,3.72E+07,3,cnt,2,,,,,,,,
21C,031,1,42600,4.26E+05,3,cnt,2,,,,,,,,
21C,0506,2,4050000,4.05E+07,3,cnt,2,,,,,,,,
21C,5411,2,140000,1.40E+06,3,cnt,2,,checked,,,,,,
21C,APC,1,,,3,tnt,2,,,,,,,,
21C,MOX,0,0,0.00E+00,3,cnt,2,,,,,,,,
21C,LMPM,0,0,0.00E+00,3,cnt,2,,,,,,,,
21C,5506,2,843000,8.43E+06,4,cnt,2,,,,,,,,
21C,0008,2,2930000,2.93E+07,4,cnt,2,,,,,,,,
21C,031,2,173000,1.73E+06,4,cnt,2,,,,,,,,
21C,0506,2,134000,1.34E+06,4,cnt,2,,,,,,,,
21C,5411,2,730000,7.30E+06,4,cnt,2,,,,,,,,
21C,APC,1,,,4,tnt,2,,,,,,,,
21C,MOX,0,0,0.00E+00,4,cnt,2,,,,,,,,
21C,LMPM,0,0,0.00E+00,4,cnt,2,,,,,,,,
21C,5506,3,3470000,3.47E+07,7,cnt,2,,,,,,,,
21C,0008,4,14800000,1.48E+08,7,cnt,2,,,,,,,,
21C,031,3,5330000,5.33E+07,7,cnt,2,,,,,,,,
21C,0506,3,3250000,3.25E+07,7,cnt,2,,,,,,,,
21C,5411,2,443000,4.43E+06,7,cnt,2,,,,,,,,
21C,APC,1,,,7,tnt,2,,,,,,,,
21C,MOX,0,0,0.00E+00,7,cnt,2,,,,,,,,
21C,LMPM,0,0,0.00E+00,7,cnt,2,,,,,,,,
21C,5506,6,1780000000,1.78E+05,Inoculum,cnt,3,,checked,,,,,,
21C,0008,6,70000000,7.00E+03,Inoculum,cnt,3,,,,,,,,
21C,031,5,171000000,1.71E+04,Inoculum,cnt,3,,,,,,,,
21C,0506,5,8000000,8.00E+02,Inoculum,cnt,3,,,,,,,,
21C,5411,6,1520000000,1.52E+05,Inoculum,cnt,3,,,,,,,,
21C,5506,0,19800,1.98E+05,0,cnt,3,,,,,,,,
21C,0008,0,16100,1.61E+05,0,cnt,3,,,,,,,,
21C,031,0,1480,1.48E+04,0,cnt,3,,,,,,,,
21C,0506,0,11900,1.19E+05,0,cnt,3,,,,,,,,
21C,5411,0,9460,9.46E+04,0,cnt,3,,,,,,,,
21C,APC,0,110,1.10E+03,0,cnt,3,,checked,,,,,,
21C,MOX,0,0,0.00E+00,0,cnt,3,,,,,,,,
21C,LMPM,0,0,0.00E+00,0,cnt,3,,,,,,,,
21C,5506,1,35200,3.52E+05,1,cnt,3,,,,,,,,
21C,0008,1,32800,3.28E+05,1,cnt,3,,,,,,,,
21C,031,1,20300,2.03E+05,1,cnt,3,,,,,,,,
21C,0506,1,16300,1.63E+05,1,cnt,3,,,,,,,,
21C,5411,1,16100,1.61E+05,1,cnt,3,,,,,,,,
21C,APC,1,40,4.00E+02,1,cnt,3,,,,,,,,
21C,MOX,0,0,0.00E+00,1,cnt,3,,,,,,,,
21C,LMPM,0,0,0.00E+00,1,cnt,3,,,,,,,,
21C,5506,2,119000,1.19E+06,3,cnt,3,,,,,,,,
21C,0008,2,212000,2.12E+06,3,cnt,3,,,,,,,,
21C,031,2,957000,9.57E+06,3,cnt,3,,,,,,,,
21C,0506,2,572000,5.72E+06,3,cnt,3,,,,,,,,
21C,5411,1,171000,1.71E+06,3,cnt,3,,,,,,,,
21C,APC,0,70,7.00E+02,3,cnt,3,,,,,,,,
21C,MOX,0,0,0.00E+00,3,cnt,3,,,,,,,,
21C,LMPM,0,0,0.00E+00,3,cnt,3,,,,,,,,
21C,5506,2,62000,6.20E+05,4,cnt,3,,,,,,,,
21C,0008,2,8780000,8.78E+07,4,cnt,3,,checked,,,,,,
21C,031,2,862000,8.62E+06,4,cnt,3,,,,,,,,
21C,0506,2,1070000,1.07E+07,4,cnt,3,,,,,,,,
21C,5411,2,373000,3.73E+06,4,cnt,3,,,,,,,,
21C,APC,0,90,9.00E+02,4,cnt,3,,,,,,,,
21C,MOX,0,0,0.00E+00,4,cnt,3,,,,,,,,
21C,LMPM,0,0,0.00E+00,4,cnt,3,,,,,,,,
21C,5506,2,417000,4.17E+06,7,cnt,3,,,,,,,,
21C,0008,2,330000,3.30E+06,7,cnt,3,,,,,,,,
21C,031,2,1490000,1.49E+07,7,cnt,3,,,,,,,,
21C,0506,3,1790000,1.79E+07,7,cnt,3,,checked,,,,,,
21C,5411,2,99000,9.90E+05,7,cnt,3,,,,,,,,
21C,APC,0,176000,1.76E+06,7,cnt,3,,,,,,,,
21C,MOX,0,0,0.00E+00,7,cnt,3,,,,,,,,
21C,LMPM,0,0,0.00E+00,7,cnt,3,,,,,,,,
DM,5506,6,1520000000,1.52E+05,Inoculum,cnt,1,,,,,,,,
DM,0008,6,1220000000,1.22E+05,Inoculum,cnt,1,,,,,,,,
DM,031,5,142000000,1.42E+04,Inoculum,cnt,1,,,,,,,,
DM,0506,5,1950000000,1.95E+05,Inoculum,cnt,1,,,,,,,,
DM,5411,6,1030000000,1.03E+05,Inoculum,cnt,1,,,,,,,,
DM,5506,1,11700,1.17E+05,0,cnt,1,,checked,,,,,,
DM,0008,1,19600,1.96E+05,0,cnt,1,,,,,,,,
DM,031,1,26900,2.69E+05,0,cnt,1,,,,,,,,
