Hour,Isolate,LogCount,Count
0,FSL R10-0531,2.846638744,7.02E+02
0,FSL R10-0531,2.936039145,8.63E+02
0,FSL R10-1099,3.02684655,1.06E+03
0,FSL R10-1099,2.992766791,9.83E+02
0,FSL R10-1113,3.472832412,2.97E+03
0,FSL R10-1113,3.501227772,3.17E+03
0,FSL R10-0941,3.385356052,2.43E+03
0,FSL R10-0941,3.392475825,2.47E+03
0,FSL R10-0054,3.293796786,1.97E+03
0,FSL R10-0054,3.289342425,1.95E+03
0,FSL R10-0151,3.153829039,1.43E+03
0,FSL R10-0151,3.293796786,1.97E+03
0,FSL R10-0553,2.882354309,7.63E+02
0,FSL R10-0553,2.733934481,5.42E+02
4,FSL R10-0531,2.936039145,8.63E+02
4,FSL R10-0531,2.807720663,6.42E+02
4,FSL R10-1099,3.065998705,1.16E+03
4,FSL R10-1099,3.034964476,1.08E+03
4,FSL R10-1113,3.38893055,2.45E+03
4,FSL R10-1113,3.363268558,2.31E+03
4,FSL R10-0941,3.256813197,1.81E+03
4,FSL R10-0941,3.442449797,2.77E+03
4,FSL R10-0054,3.323759986,2.11E+03
4,FSL R10-0054,3.331954501,2.15E+03
4,FSL R10-0151,3.261612101,1.83E+03
4,FSL R10-0151,3.363268558,2.31E+03
4,FSL R10-0553,2.915354548,8.23E+02
4,FSL R10-0553,2.68278194,4.82E+02
8,FSL R10-0531,2.893635301,7.83E+02
8,FSL R10-0531,2.834049599,6.82E+02
8,FSL R10-1099,3.080721938,1.20E+03
8,FSL R10-1099,3.094962397,1.24E+03
8,FSL R10-1113,3.402941241,2.53E+03
8,FSL R10-1113,3.423144635,2.65E+03
8,FSL R10-0941,3.205660696,1.61E+03
8,FSL R10-0941,3.271053642,1.87E+03
8,FSL R10-0054,3.416514067,2.61E+03
8,FSL R10-0054,3.399480714,2.51E+03
8,FSL R10-0151,2.983811936,9.63E+02
8,FSL R10-0151,2.793932401,6.22E+02
8,FSL R10-0553,3.189061428,1.55E+03
8,FSL R10-0553,3.122114639,1.32E+03
12,FSL R10-0531,2.858873217,7.23E+02
12,FSL R10-0531,2.882354309,7.63E+02
12,FSL R10-1099,3.189061428,1.55E+03
12,FSL R10-1099,3.087900554,1.22E+03
12,FSL R10-1113,3.355649128,2.27E+03
12,FSL R10-1113,3.442449797,2.77E+03
12,FSL R10-0941,3.442449797,2.77E+03
12,FSL R10-0941,3.406374411,2.55E+03
12,FSL R10-0054,3.451789807,2.83E+03
12,FSL R10-0054,3.798265872,6.28E+03
12,FSL R10-0151,3.47575696,2.99E+03
12,FSL R10-0151,3.481547665,3.03E+03
12,FSL R10-0553,2.974668571,9.43E+02
12,FSL R10-0553,2.965328532,9.23E+02
24,FSL R10-0531,3.14766874,1.40E+03
24,FSL R10-0531,3.065998705,1.16E+03
24,FSL R10-1099,3.363268558,2.31E+03
24,FSL R10-1099,3.339997208,2.19E+03
24,FSL R10-1113,3.77394785,5.94E+03
24,FSL R10-1113,3.381751933,2.41E+03
24,FSL R10-0941,4.363678695,2.31E+04
24,FSL R10-0941,4.260805745,1.82E+04
24,FSL R10-0054,3.135079595,1.36E+03
24,FSL R10-0054,3.101911245,1.26E+03
24,FSL R10-0151,3.848940355,7.06E+03
24,FSL R10-0151,3.909859568,8.13E+03
24,FSL R10-0553,3.442449797,2.77E+03
24,FSL R10-0553,3.275698567,1.89E+03
36,FSL R10-0531,3.177631951,1.51E+03
36,FSL R10-0531,3.216384544,1.65E+03
36,FSL R10-1099,3.490091424,3.09E+03
36,FSL R10-1099,3.498470342,3.15E+03
36,FSL R10-1113,3.776215733,5.97E+03
36,FSL R10-1113,3.806781702,6.41E+03
36,FSL R10-0941,4.445585505,2.79E+04
36,FSL R10-0941,4.512085715,3.25E+04
36,FSL R10-0054,4.025429481,1.06E+04
36,FSL R10-0054,3.971477529,9.36E+03
36,FSL R10-0151,4.008882948,1.02E+04
36,FSL R10-0151,4.027454171,1.07E+04
36,FSL R10-0553,3.460933209,2.89E+03
36,FSL R10-0553,3.538099136,3.45E+03
48,FSL R10-0531,3.555423722,3.59E+03
48,FSL R10-0531,3.478661946,3.01E+03
48,FSL R10-1099,4.067927727,1.17E+04
48,FSL R10-1099,4.000367087,1.00E+04
48,FSL R10-1113,4.157342121,1.44E+04
48,FSL R10-1113,4.073413596,1.18E+04
48,FSL R10-0941,4.72080119,5.26E+04
48,FSL R10-0941,4.632984457,4.30E+04
48,FSL R10-0054,5.062220921,1.15E+05
48,FSL R10-0054,5.101454712,1.26E+05
48,FSL R10-0151,4.547614497,3.53E+04
48,FSL R10-0151,4.529558122,3.38E+04
48,FSL R10-0553,4.144454101,1.39E+04
48,FSL R10-0553,4.203099608,1.60E+04
60,FSL R10-0531,3.713022574,5.16E+03
60,FSL R10-0531,3.576728563,3.77E+03
60,FSL R10-1099,3.993868785,9.86E+03
60,FSL R10-1099,4.039407999,1.09E+04
60,FSL R10-1113,4.184417388,1.53E+04
60,FSL R10-1113,4.203099608,1.60E+04
60,FSL R10-0941,4.594826766,3.93E+04
60,FSL R10-0941,4.707758343,5.10E+04
60,FSL R10-0054,4.678893431,4.77E+04
60,FSL R10-0054,4.653471355,4.50E+04
60,FSL R10-0151,4.614841954,4.12E+04
60,FSL R10-0151,4.57613426,3.77E+04
60,FSL R10-0553,4.214380617,1.64E+04
60,FSL R10-0553,4.295413876,1.97E+04
72,FSL R10-0531,4.200197783,1.59E+04
72,FSL R10-0531,4.194665317,1.57E+04
72,FSL R10-1099,4.439291267,2.75E+04
72,FSL R10-1099,4.432904464,2.71E+04
72,FSL R10-1113,4.624790012,4.21E+04
72,FSL R10-1113,4.60576676,4.03E+04
72,FSL R10-0941,5.106635417,1.28E+05
72,FSL R10-0941,5.144454089,1.39E+05
72,FSL R10-0054,5.274594018,1.88E+05
72,FSL R10-0054,5.262802514,1.83E+05
72,FSL R10-0151,5.35409829,2.26E+05
72,FSL R10-0151,5.355709767,2.27E+05
72,FSL R10-0553,4.800410533,6.32E+04
72,FSL R10-0553,4.835337167,6.84E+04
96,FSL R10-0531,4.752985865,5.66E+04
96,FSL R10-0531,4.769376287,5.88E+04
96,FSL R10-1099,4.98727178,9.71E+04
96,FSL R10-1099,4.98727178,9.71E+04
96,FSL R10-1113,5.266768682,1.85E+05
96,FSL R10-1113,5.287957986,1.94E+05
96,FSL R10-0941,5.708372215,5.11E+05
96,FSL R10-0941,5.713767244,5.17E+05
