Hour,Isolate,LogCount_Norm,Count_Norm,Biorep
0,FSL R10-0084,0,1,1
0,FSL R10-0084,0,1,1
0,FSL R10-0990,0,1,1
0,FSL R10-0990,0,1,1
0,FSL R10-3286,0,1,1
0,FSL R10-3286,0,1,1
0,FSL R10-2381,0,1,1
0,FSL R10-2381,0,1,1
4,FSL R10-0084,0.01913501,1.045045045,1
4,FSL R10-0084,0.022468518,1.053097345,1
4,FSL R10-0990,-0.187299481,0.649681529,1
4,FSL R10-0990,-0.113943352,0.769230769,1
4,FSL R10-3286,-0.060187206,0.870588235,1
4,FSL R10-3286,0.028265277,1.067247821,1
4,FSL R10-2381,-0.015304419,0.965373961,1
4,FSL R10-2381,-0.03172449,0.929555896,1
8,FSL R10-0084,0.233430622,1.711711712,1
8,FSL R10-0084,0.189959605,1.548672566,1
8,FSL R10-0990,-0.088689683,0.815286624,1
8,FSL R10-0990,0.034995661,1.083916084,1
8,FSL R10-3286,0.04677816,1.11372549,1
8,FSL R10-3286,0.038284048,1.092154421,1
8,FSL R10-2381,-0.075348506,0.840720222,1
8,FSL R10-2381,-0.104795816,0.7856049,1
12,FSL R10-0084,0.331253978,2.144144144,1
12,FSL R10-0084,0.330736922,2.14159292,1
12,FSL R10-0990,-0.088689683,0.815286624,1
12,FSL R10-0990,-0.17170975,0.673426573,1
12,FSL R10-3286,0.169417008,1.477124183,1
12,FSL R10-3286,0.132710953,1.357409714,1
12,FSL R10-2381,-0.137551453,0.728531856,1
12,FSL R10-2381,-0.190631085,0.644716692,1
24,FSL R10-0084,0.66564014,4.630630631,1
24,FSL R10-0084,0.610622482,4.079646018,1
24,FSL R10-0990,-0.03453165,0.923566879,1
24,FSL R10-0990,-0.2728115,0.533566434,1
24,FSL R10-3286,0.460730839,2.888888889,1
24,FSL R10-3286,0.400635824,2.515566625,1
24,FSL R10-2381,0.005380179,1.012465374,1
24,FSL R10-2381,0.061881795,1.153139357,1
48,FSL R10-0084,1.592166751,39.0990991,1
48,FSL R10-0084,1.607787035,40.53097345,1
48,FSL R10-0990,-0.011208222,0.974522293,1
48,FSL R10-0990,-0.804480189,0.156862745,1
48,FSL R10-3286,1.633534463,43.00653595,1
48,FSL R10-3286,1.597711575,39.6014944,1
48,FSL R10-2381,0.265314443,1.842105263,1
48,FSL R10-2381,0.292296788,1.960183767,1
60,FSL R10-0084,1.13076828,13.51351351,1
60,FSL R10-0084,1.050725277,11.23893805,1
60,FSL R10-0990,0.18611739,1.535031847,1
60,FSL R10-0990,0.143517039,1.391608392,1
60,FSL R10-3286,1.731235781,53.85620915,1
60,FSL R10-3286,1.75898538,57.40971357,1
60,FSL R10-2381,0.369349507,2.340720222,1
60,FSL R10-2381,0.394601833,2.48085758,1
72,FSL R10-0084,2.515778405,327.9279279,1
72,FSL R10-0084,2.807858177,642.4778761,1
72,FSL R10-0990,0.63340412,4.299363057,1
72,FSL R10-0990,0.616251443,4.132867133,1
72,FSL R10-3286,2.611882902,409.1503268,1
72,FSL R10-3286,2.539329251,346.2017435,1
72,FSL R10-2381,1.06418826,11.59279778,1
72,FSL R10-2381,1.084360006,12.143951,1
96,FSL R10-0084,2.769590202,588.2882883,1
96,FSL R10-0084,2.77104739,590.2654867,1
96,FSL R10-0990,1.323928341,21.08280255,1
96,FSL R10-0990,1.355208973,22.65734266,1
96,FSL R10-3286,3.295315512,1973.856209,1
96,FSL R10-3286,3.320593736,2092.154421,1
96,FSL R10-2381,1.841300528,69.39058172,1
96,FSL R10-2381,1.85066781,70.90352221,1
120,FSL R10-0084,3.499984138,3162.162162,1
120,FSL R10-0084,3.458804917,2876.106195,1
120,FSL R10-0990,1.931205146,85.35031847,1
120,FSL R10-0990,1.951873932,89.51048951,1
120,FSL R10-3286,3.903799039,8013.071895,1
120,FSL R10-3286,3.928431567,8480.697385,1
120,FSL R10-2381,2.440315879,275.6232687,1
120,FSL R10-2381,2.561663776,364.4716692,1
168,FSL R10-0084,3.752636665,5657.657658,1
168,FSL R10-0084,3.749695282,5619.469027,1
168,FSL R10-0990,2.825289647,668.7898089,1
168,FSL R10-0990,2.792587582,620.2797203,1
168,FSL R10-3286,4.14164443,13856.20915,1
168,FSL R10-3286,4.159742444,14445.82814,1
168,FSL R10-2381,2.75318611,566.4819945,1
168,FSL R10-2381,2.786059714,611.0260337,1
192,FSL R10-0084,3.834918797,6837.837838,1
192,FSL R10-0084,3.872233648,7451.327434,1
192,FSL R10-0990,3.589430183,3885.350318,1
192,FSL R10-0990,3.557313664,3608.391608,1
192,FSL R10-3286,4.37401714,23660.13072,1
192,FSL R10-3286,4.423664058,26525.52927,1
192,FSL R10-2381,3.076970068,1193.905817,1
192,FSL R10-2381,3.030184859,1071.975498,1
216,FSL R10-0084,3.996069706,9909.90991,1
216,FSL R10-0084,3.963954896,9203.539823,1
216,FSL R10-0990,3.802359686,6343.949045,1
216,FSL R10-0990,3.848985336,7062.937063,1
216,FSL R10-3286,4.609098954,40653.59477,1
216,FSL R10-3286,4.630578575,42714.81943,1
216,FSL R10-2381,3.12418619,1331.024931,1
216,FSL R10-2381,3.249544808,1776.416539,1
240,FSL R10-0084,4.139368452,13783.78378,1
240,FSL R10-0084,4.328938599,21327.43363,1
240,FSL R10-0990,4.132479951,13566.87898,1
240,FSL R10-0990,4.183120456,15244.75524,1
240,FSL R10-3286,4.881261549,76078.43137,1
240,FSL R10-3286,4.882744929,76338.72976,1
240,FSL R10-2381,3.281341889,1911.357341,1
240,FSL R10-2381,3.312191617,2052.067381,1
264,FSL R10-0084,4.350876368,22432.43243,1
264,FSL R10-0084,4.310533536,20442.47788,1
264,FSL R10-0990,4.30515961,20191.0828,1
264,FSL R10-0990,4.427862737,26783.21678,1
264,FSL R10-3286,5.103557795,126928.1046,1
264,FSL R10-3286,4.992911546,98381.07098,1
264,FSL R10-2381,3.358946747,2285.31856,1
264,FSL R10-2381,3.352404153,2251.148545,1
288,FSL R10-0084,4.4874314,30720.72072,1
288,FSL R10-0084,4.556515966,36017.69912,1
288,FSL R10-0990,4.569023332,37070.06369,1
288,FSL R10-0990,4.597480394,39580.41958,1
288,FSL R10-3286,5.202698396,159477.1242,1
288,FSL R10-3286,5.12870821,134495.6413,1
288,FSL R10-2381,3.417924607,2617.728532,1
288,FSL R10-2381,3.501057164,3169.984686,1
360,FSL R10-0084,4.607889535,40540.54054,1
360,FSL R10-0084,4.699737988,50088.49558,1
360,FSL R10-0990,4.821133687,66242.03822,1
360,FSL R10-0990,4.901568814,79720.27972,1
360,FSL R10-3286,5.2836559,192156.8627,1
360,FSL R10-3286,5.262601789,183063.5118,1
360,FSL R10-2381,3.53766215,3448.753463,1
360,FSL R10-2381,3.669386658,4670.750383,1
384,FSL R10-0990,4.994432046,98726.11465,1
384,FSL R10-0990,5.011981297,102797.2028,1
384,FSL R10-3286,5.312238217,205228.7582,1
384,FSL R10-3286,5.333330558,215442.0922,1
384,FSL R10-2381,3.634223191,4307.479224,1
384,FSL R10-2381,3.633793139,4303.215926,1
0,FSL R10-0084,0,1,2
0,FSL R10-0084,0,1,2
0,FSL R10-0084,0,1,3
0,FSL R10-0084,0,1,3
4,FSL R10-0084,0.163368014,1.456692936,2
4,FSL R10-0084,0.172711497,1.488372018,2
