Date,Hour,Media,Isolate,Technical Replicate,Counted Colonies,Dilution Factor,Concentration,LOG Concentration
6/17/2019,0,SMB,FSL R10-0084,A,225,1,1.11E+04,4.047198215
6/17/2019,0,SMB,FSL R10-0084,B,228,1,1.13E+04,4.052950552
6/17/2019,0,SMB,FSL R10-0990,A,78,1,1.57E+03,3.194665297
6/17/2019,0,SMB,FSL R10-0990,B,71,1,1.43E+03,3.153829039
6/17/2019,0,SMB,FSL R10-3286,A,246,1,7.65E+03,3.883849585
6/17/2019,0,SMB,FSL R10-3286,B,258,1,8.03E+03,3.904534189
6/17/2019,0,SMB,FSL R10-2381,A,232,1,7.22E+03,3.858402482
6/17/2019,0,SMB,FSL R10-2381,B,210,1,6.53E+03,3.815133789
6/17/2019,4,SMB,FSL R10-0084,A,234,1,1.16E+04,4.064231577
6/17/2019,4,SMB,FSL R10-0084,B,241,1,1.19E+04,4.077032742
6/17/2019,4,SMB,FSL R10-0990,A,51,1,1.02E+03,3.010140884
6/17/2019,4,SMB,FSL R10-0990,B,55,1,1.10E+03,3.042933393
6/17/2019,4,SMB,FSL R10-3286,A,214,1,6.66E+03,3.82332828
6/17/2019,4,SMB,FSL R10-3286,B,173,1,8.57E+03,3.933061827
6/17/2019,4,SMB,FSL R10-2381,A,224,1,6.97E+03,3.843162523
6/17/2019,4,SMB,FSL R10-2381,B,195,1,6.07E+03,3.782949108
6/17/2019,8,SMB,FSL R10-0084,A,226,1,1.90E+04,4.278454429
6/17/2019,8,SMB,FSL R10-0084,B,208,1,1.75E+04,4.242409369
6/17/2019,8,SMB,FSL R10-0990,A,64,1,1.28E+03,3.108750659
6/17/2019,8,SMB,FSL R10-0990,B,77,1,1.55E+03,3.189061428
6/17/2019,8,SMB,FSL R10-3286,A,172,1,8.52E+03,3.930544168
6/17/2019,8,SMB,FSL R10-3286,B,177,1,8.77E+03,3.942988954
6/17/2019,8,SMB,FSL R10-2381,A,195,1,6.07E+03,3.782949108
6/17/2019,8,SMB,FSL R10-2381,B,165,1,5.13E+03,3.710398447
6/17/2019,12,SMB,FSL R10-0084,A,283,1,2.38E+04,4.376132442
6/17/2019,12,SMB,FSL R10-0084,B,288,1,2.42E+04,4.383738493
6/17/2019,12,SMB,FSL R10-0990,A,64,1,1.28E+03,3.108750659
6/17/2019,12,SMB,FSL R10-0990,B,48,1,9.63E+02,2.983811936
6/17/2019,12,SMB,FSL R10-3286,A,228,1,1.13E+04,4.052950552
6/17/2019,12,SMB,FSL R10-3286,B,221,1,1.09E+04,4.039407999
6/17/2019,12,SMB,FSL R10-2381,A,169,1,5.26E+03,3.720801182
6/17/2019,12,SMB,FSL R10-2381,B,210,1,4.21E+03,3.624789982
6/18/2019,24,SMB,FSL R10-0084,A,322,1,5.14E+04,4.711078127
6/18/2019,24,SMB,FSL R10-0084,B,289,1,4.61E+04,4.664120092
6/18/2019,24,SMB,FSL R10-0990,A,72,1,1.45E+03,3.159903213
6/18/2019,24,SMB,FSL R10-0990,B,38,1,7.63E+02,2.882354309
6/18/2019,24,SMB,FSL R10-3286,A,263,1,2.21E+04,4.344301761
6/18/2019,24,SMB,FSL R10-3286,B,240,1,2.02E+04,4.304557254
6/18/2019,24,SMB,FSL R10-2381,A,235,1,7.31E+03,3.863982353
6/18/2019,24,SMB,FSL R10-2381,B,242,1,7.53E+03,3.876729861
6/19/2019,48,SMB,FSL R10-0084,A,272,10,4.34E+05,5.64E+00
6/19/2019,48,SMB,FSL R10-0084,B,287,10,4.58E+05,5.661104132
6/19/2019,48,SMB,FSL R10-0990,A,76,1,1.53E+03,3.18E+00
6/19/2019,48,SMB,FSL R10-0990,B,60,1,1.20E+03,3.080721938
6/19/2019,48,SMB,FSL R10-3286,A,206,10,3.29E+05,5.52E+00
6/19/2019,48,SMB,FSL R10-3286,B,199,10,3.18E+05,5.502075308
6/19/2019,48,SMB,FSL R10-2381,A,268,1,1.33E+04,4.12E+00
6/19/2019,48,SMB,FSL R10-2381,B,258,1,1.28E+04,4.10663541
6/19/2019,60,SMB,FSL R10-0084,A,178,10,1.50E+05,5.17E+00
6/19/2019,60,SMB,FSL R10-0084,B,256,10,1.27E+05,5.103255672
6/19/2019,60,SMB,FSL R10-0990,A,120,1,2.41E+03,3.38E+00
6/19/2019,60,SMB,FSL R10-0990,B,99,1,1.99E+03,3.298205898
6/19/2019,60,SMB,FSL R10-3286,A,258,10,4.12E+05,5.61E+00
6/19/2019,60,SMB,FSL R10-3286,B,289,10,4.61E+05,5.664120092
6/19/2019,60,SMB,FSL R10-2381,A,201,1,1.69E+04,4.23E+00
6/19/2019,60,SMB,FSL R10-2381,B,193,1,1.62E+04,4.209903326
6/20/2019,72,SMB,FSL R10-0084,A,228,100,3.64E+06,6.561157099
6/20/2019,72,SMB,FSL R10-0084,B,173,100,7.26E+06,6.860934318
6/20/2019,72,SMB,FSL R10-0990,A,217,1,6.75E+03,3.829374233
6/20/2019,72,SMB,FSL R10-0990,B,190,1,5.91E+03,3.771668098
6/20/2019,72,SMB,FSL R10-3286,A,196,100,3.13E+06,6.495478321
6/20/2019,72,SMB,FSL R10-3286,B,174,100,2.78E+06,6.443771479
