Hour,Isolate,LOG Count,Concentration
0,FSL R10-1587,3.285557309,1.93E+03
0,FSL R10-1587,3.285557309,1.93E+03
0,FSL R10-1587,3.247973266,1.77E+03
0,FSL R10-1587,3.340444115,2.19E+03
0,FSL R10-1587,3.294466226,1.97E+03
0,FSL R10-1587,3.336459734,2.17E+03
4,FSL R10-1587,3.382017043,2.41E+03
4,FSL R10-1587,3.336459734,2.17E+03
4,FSL R10-1587,3.36361198,2.31E+03
4,FSL R10-1587,3.303196057,2.01E+03
4,FSL R10-1587,3.498310554,3.15E+03
4,FSL R10-1587,3.57863921,3.79E+03
8,FSL R10-1587,3.403120521,2.53E+03
8,FSL R10-1587,3.495544338,3.13E+03
8,FSL R10-1587,3.340444115,2.19E+03
8,FSL R10-1587,3.525044807,3.35E+03
8,FSL R10-1587,3.545307116,3.51E+03
8,FSL R10-1587,3.580924976,3.81E+03
12,FSL R10-1587,3.396199347,2.49E+03
12,FSL R10-1587,3.519827994,3.31E+03
12,FSL R10-1587,3.445604203,2.79E+03
12,FSL R10-1587,3.564666064,3.67E+03
12,FSL R10-1587,3.702430536,5.04E+03
12,FSL R10-1587,3.712649702,5.16E+03
24,FSL R10-1587,4.178976947,1.51E+04
24,FSL R10-1587,4.170261715,1.48E+04
24,FSL R10-1587,4.021189299,1.05E+04
24,FSL R10-1587,4.033423755,1.08E+04
24,FSL R10-1587,4.271841607,1.87E+04
24,FSL R10-1587,4.243038049,1.75E+04
36,FSL R10-1587,4.250420002,1.78E+04
36,FSL R10-1587,4.264817823,1.84E+04
36,FSL R10-1587,4.245512668,1.76E+04
36,FSL R10-1587,4.243038049,1.75E+04
36,FSL R10-1587,4.480006943,3.02E+04
36,FSL R10-1587,4.382017043,2.41E+04
48,FSL R10-1587,4.629409599,4.26E+04
48,FSL R10-1587,4.684845362,4.84E+04
48,FSL R10-1587,4.62838893,4.25E+04
48,FSL R10-1587,4.586587305,3.86E+04
48,FSL R10-1587,4.875639937,7.51E+04
48,FSL R10-1587,4.921686475,8.35E+04
60,FSL R10-1587,3.743509765,5.54E+03
60,FSL R10-1587,3.77815125,6.00E+03
60,FSL R10-1587,3.773786445,5.94E+03
60,FSL R10-1587,4.075546961,1.19E+04
60,FSL R10-1587,4.133538908,1.36E+04
60,FSL R10-1587,4.195899652,1.57E+04
72,FSL R10-1587,5.056904851,1.14E+05
72,FSL R10-1587,5.075546961,1.19E+05
72,FSL R10-1587,4.992111488,9.82E+04
72,FSL R10-1587,5.033423755,1.08E+05
72,FSL R10-1587,5.117271296,1.31E+05
72,FSL R10-1587,5.204119983,1.60E+05
96,FSL R10-1587,5.971275849,9.36E+05
96,FSL R10-1587,5.910624405,8.14E+05
96,FSL R10-1587,5.73479983,5.43E+05
96,FSL R10-1587,5.612783857,4.10E+05
96,FSL R10-1587,5.856124444,7.18E+05
96,FSL R10-1587,5.86332286,7.30E+05
120,FSL R10-1587,6.271841607,1.87E+06
120,FSL R10-1587,6.225309282,1.68E+06
120,FSL R10-1587,6.26245109,1.83E+06
120,FSL R10-1587,6.264817823,1.84E+06
120,FSL R10-1587,6.201397124,1.59E+06
120,FSL R10-1587,6.214843848,1.64E+06
144,FSL R10-1587,6.309630167,2.04E+06
144,FSL R10-1587,6.290034611,1.95E+06
144,FSL R10-1587,6.269512944,1.86E+06
144,FSL R10-1587,6.283301229,1.92E+06
144,FSL R10-1587,6.198657087,1.58E+06
144,FSL R10-1587,6.041392685,1.10E+06
168,FSL R10-1587,6.91750551,8.27E+06
168,FSL R10-1587,6.976808337,9.48E+06
168,FSL R10-1587,6.783903579,6.08E+06
168,FSL R10-1587,6.73479983,5.43E+06
168,FSL R10-1587,6.979092901,9.53E+06
168,FSL R10-1587,6.979092901,9.53E+06
192,FSL R10-1587,7.071882007,1.18E+07
192,FSL R10-1587,7.068185862,1.17E+07
192,FSL R10-1587,7.029383778,1.07E+07
192,FSL R10-1587,7.029383778,1.07E+07
192,FSL R10-1587,7.053078443,1.13E+07
192,FSL R10-1587,7.021189299,1.05E+07
216,FSL R10-1587,7.338456494,2.18E+07
216,FSL R10-1587,7.359835482,2.29E+07
216,FSL R10-1587,7.31386722,2.06E+07
216,FSL R10-1587,7.260071388,1.82E+07
216,FSL R10-1587,7.303196057,2.01E+07
216,FSL R10-1587,7.328379603,2.13E+07
240,FSL R10-1587,7.465382851,2.92E+07
240,FSL R10-1587,7.480006943,3.02E+07
240,FSL R10-1587,7.387389826,2.44E+07
240,FSL R10-1587,7.382017043,2.41E+07
240,FSL R10-1587,7.426511261,2.67E+07
240,FSL R10-1587,7.463892989,2.91E+07
264,FSL R10-1587,7.620136055,4.17E+07
264,FSL R10-1587,7.605305046,4.03E+07
264,FSL R10-1587,7.567026366,3.69E+07
264,FSL R10-1587,7.532754379,3.41E+07
264,FSL R10-1587,7.550228353,3.55E+07
264,FSL R10-1587,7.618048097,4.15E+07
288,FSL R10-1587,7.785329835,6.10E+07
288,FSL R10-1587,7.738780558,5.48E+07
288,FSL R10-1587,7.641474111,4.38E+07
288,FSL R10-1587,7.645422269,4.42E+07
288,FSL R10-1587,7.670245853,4.68E+07
288,FSL R10-1587,7.702430536,5.04E+07
312,FSL R10-1587,7.757396029,5.72E+07
312,FSL R10-1587,7.795880017,6.25E+07
312,FSL R10-1587,7.787460475,6.13E+07
312,FSL R10-1587,7.783188691,6.07E+07
312,FSL R10-1587,7.598790507,3.97E+07
312,FSL R10-1587,7.802773725,6.35E+07
0,FSL R10-0084,3.406374411,2.55E+03
0,FSL R10-0084,3.41316043,2.59E+03
0,FSL R10-0084,3.280294311,1.91E+03
0,FSL R10-0084,3.280294311,1.91E+03
0,FSL R10-0084,4.047198215,1.11E+04
0,FSL R10-0084,4.052950552,1.13E+04
4,FSL R10-0084,3.569742425,3.71E+03
4,FSL R10-0084,3.585871927,3.85E+03
4,FSL R10-0084,3.423144635,2.65E+03
4,FSL R10-0084,3.406374411,2.55E+03
4,FSL R10-0084,4.064231577,1.16E+04
4,FSL R10-0084,4.077032742,1.19E+04
8,FSL R10-0084,3.718223776,5.23E+03
8,FSL R10-0084,3.658596562,4.56E+03
8,FSL R10-0084,3.555423722,3.59E+03
8,FSL R10-0084,3.583604069,3.83E+03
8,FSL R10-0084,4.278454429,1.90E+04
8,FSL R10-0084,4.242409369,1.75E+04
12,FSL R10-0084,3.83137098,6.78E+03
12,FSL R10-0084,3.825352953,6.69E+03
12,FSL R10-0084,3.569742425,3.71E+03
12,FSL R10-0084,3.66240618,4.60E+03
12,FSL R10-0084,4.376132442,2.38E+04
12,FSL R10-0084,4.383738493,2.42E+04
24,FSL R10-0084,4.502075308,3.18E+04
24,FSL R10-0084,4.47039398,2.95E+04
24,FSL R10-0084,4.330886187,2.14E+04
24,FSL R10-0084,4.262802523,1.83E+04
24,FSL R10-0084,4.711078127,5.14E+04
24,FSL R10-0084,4.664120092,4.61E+04
36,FSL R10-0084,4.777253516,5.99E+04
36,FSL R10-0084,4.779563603,6.02E+04
36,FSL R10-0084,4.658067097,4.55E+04
36,FSL R10-0084,4.670089845,4.68E+04
48,FSL R10-0084,5.753450577,5.67E+05
48,FSL R10-0084,5.842996329,6.97E+05
48,FSL R10-0084,5.629733511,4.26E+05
48,FSL R10-0084,5.608055951,4.06E+05
48,FSL R10-0084,5.637791142,4.34E+05
48,FSL R10-0084,5.661104132,4.58E+05
60,FSL R10-0084,5.926084282,8.43E+05
60,FSL R10-0084,5.912922834,8.18E+05
60,FSL R10-0084,5.789809564,6.16E+05
60,FSL R10-0084,5.887706035,7.72E+05
60,FSL R10-0084,5.174765998,1.50E+05
60,FSL R10-0084,5.103255672,1.27E+05
72,FSL R10-0084,6.796508317,6.26E+06
72,FSL R10-0084,6.749764907,5.62E+06
72,FSL R10-0084,6.947170664,8.85E+06
72,FSL R10-0084,6.930384285,8.52E+06
72,FSL R10-0084,6.561157099,3.64E+06
72,FSL R10-0084,6.860934318,7.26E+06
96,FSL R10-0084,7.360508667,2.29E+07
96,FSL R10-0084,7.40734222,2.55E+07
96,FSL R10-0084,7.293561865,1.97E+07
96,FSL R10-0084,7.300922972,2.00E+07
96,FSL R10-0084,6.814945536,6.53E+06
96,FSL R10-0084,6.824398533,6.67E+06
120,FSL R10-0084,7.50939658,3.23E+07
120,FSL R10-0084,7.503967823,3.19E+07
120,FSL R10-0084,7.472832422,2.97E+07
120,FSL R10-0084,7.429675489,2.69E+07
120,FSL R10-0084,7.545608766,3.51E+07
120,FSL R10-0084,7.512085708,3.25E+07
120,FSL R10-0084,7.465673345,2.92E+07
120,FSL R10-0084,7.525441532,3.35E+07
144,FSL R10-0084,7.802544658,6.35E+07
144,FSL R10-0084,7.755365595,5.69E+07
144,FSL R10-0084,7.802544658,6.35E+07
144,FSL R10-0084,7.760086227,5.76E+07
168,FSL R10-0084,8.111656212,1.29E+08
168,FSL R10-0084,8.092955703,1.24E+08
168,FSL R10-0084,7.97604907,9.46E+07
168,FSL R10-0084,7.94786874,8.87E+07
168,FSL R10-0084,7.798265866,6.28E+07
168,FSL R10-0084,7.802544658,6.35E+07
192,FSL R10-0084,8.214380622,1.64E+08
192,FSL R10-0084,8.258799746,1.81E+08
192,FSL R10-0084,8.184417393,1.53E+08
192,FSL R10-0084,8.164895278,1.46E+08
192,FSL R10-0084,7.880304301,7.59E+07
192,FSL R10-0084,7.925464615,8.42E+07
216,FSL R10-0084,8.227542052,1.69E+08
216,FSL R10-0084,8.270698993,1.87E+08
216,FSL R10-0084,8.149655283,1.41E+08
216,FSL R10-0084,8.162392136,1.45E+08
216,FSL R10-0084,8.04136868,1.10E+08
216,FSL R10-0084,8.015161981,1.04E+08
216,FSL R10-0084,7.915354578,8.23E+07
216,FSL R10-0084,8.108750662,1.28E+08
0,FSL R10-3286,2.936039145,8.63E+02
0,FSL R10-3286,2.983811936,9.63E+02
0,FSL R10-3286,2.992766791,9.83E+02
0,FSL R10-3286,2.936039145,8.63E+02
0,FSL R10-3286,3.883849585,7.65E+03
0,FSL R10-3286,3.904534189,8.03E+03
4,FSL R10-3286,2.955783201,9.03E+02
4,FSL R10-3286,2.965328532,9.23E+02
4,FSL R10-3286,3.165893567,1.47E+03
4,FSL R10-3286,3.02684655,1.06E+03
4,FSL R10-3286,3.82332828,6.66E+03
4,FSL R10-3286,3.933061827,8.57E+03
8,FSL R10-3286,3.010140884,1.02E+03
8,FSL R10-3286,3.050758717,1.12E+03
8,FSL R10-3286,3.034964476,1.08E+03
8,FSL R10-3286,3.073422711,1.18E+03
8,FSL R10-3286,3.930544168,8.52E+03
8,FSL R10-3286,3.942988954,8.77E+03
12,FSL R10-3286,3.065998705,1.16E+03
12,FSL R10-3286,3.080721938,1.20E+03
12,FSL R10-3286,3.094962397,1.24E+03
12,FSL R10-3286,3.205660696,1.61E+03
12,FSL R10-3286,4.052950552,1.13E+04
12,FSL R10-3286,4.039407999,1.09E+04
24,FSL R10-3286,3.933061827,8.57E+03
24,FSL R10-3286,3.940528352,8.72E+03
24,FSL R10-3286,4.039407999,1.09E+04
24,FSL R10-3286,4.049124139,1.12E+04
24,FSL R10-3286,4.344301761,2.21E+04
24,FSL R10-3286,4.304557254,2.02E+04
36,FSL R10-3286,4.276528536,1.89E+04
36,FSL R10-3286,4.365255098,2.32E+04
36,FSL R10-3286,4.306363071,2.02E+04
36,FSL R10-3286,4.373052334,2.36E+04
48,FSL R10-3286,5.136533594,1.37E+05
48,FSL R10-3286,5.179618523,1.51E+05
48,FSL R10-3286,5.16738408,1.47E+05
48,FSL R10-3286,5.191517733,1.55E+05
48,FSL R10-3286,5.517089456,3.29E+05
48,FSL R10-3286,5.502075308,3.18E+05
60,FSL R10-3286,5.287957986,1.94E+05
60,FSL R10-3286,5.214380632,1.64E+05
60,FSL R10-3286,5.299094367,1.99E+05
60,FSL R10-3286,5.258799754,1.81E+05
60,FSL R10-3286,5.614841937,4.12E+05
60,FSL R10-3286,5.664120092,4.61E+05
72,FSL R10-3286,6.240316345,1.74E+06
72,FSL R10-3286,6.270698979,1.87E+06
72,FSL R10-3286,6.282280853,1.92E+06
72,FSL R10-3286,6.233976166,1.71E+06
72,FSL R10-3286,6.495478321,3.13E+06
72,FSL R10-3286,6.443771479,2.78E+06
96,FSL R10-3286,7.189163839,1.55E+07
96,FSL R10-3286,7.223199076,1.67E+07
96,FSL R10-3286,7.149655283,1.41E+07
96,FSL R10-3286,7.174766002,1.50E+07
96,FSL R10-3286,7.177982685,1.51E+07
96,FSL R10-3286,7.226032607,1.68E+07
120,FSL R10-3286,7.835337159,6.84E+07
120,FSL R10-3286,7.925464615,8.42E+07
120,FSL R10-3286,7.847022929,7.03E+07
120,FSL R10-3286,7.821294085,6.63E+07
120,FSL R10-3286,7.787380721,6.13E+07
120,FSL R10-3286,7.833358583,6.81E+07
144,FSL R10-3286,8.212147743,1.63E+08
144,FSL R10-3286,8.302743914,2.01E+08
144,FSL R10-3286,8.225375993,1.68E+08
144,FSL R10-3286,8.246565305,1.76E+08
168,FSL R10-3286,8.412737252,2.59E+08
168,FSL R10-3286,8.448734905,2.81E+08
168,FSL R10-3286,8.420706195,2.63E+08
168,FSL R10-3286,8.438750684,2.75E+08
168,FSL R10-3286,8.026846563,1.06E+08
168,FSL R10-3286,8.065998706,1.16E+08
168,FSL R10-3286,8.103255686,1.27E+08
168,FSL R10-3286,8.128466011,1.34E+08
192,FSL R10-3286,8.648826433,4.45E+08
192,FSL R10-3286,8.647267049,4.44E+08
192,FSL R10-3286,8.613155369,4.10E+08
192,FSL R10-3286,8.568710222,3.70E+08
192,FSL R10-3286,8.256813194,1.81E+08
192,FSL R10-3286,8.327876558,2.13E+08
216,FSL R10-3286,8.747290269,5.59E+08
216,FSL R10-3286,8.712424753,5.16E+08
216,FSL R10-3286,8.684664859,4.84E+08
216,FSL R10-3286,8.667115219,4.65E+08
216,FSL R10-3286,8.492902379,3.11E+08
216,FSL R10-3286,8.535566797,3.43E+08
240,FSL R10-3286,8.764756088,5.82E+08
240,FSL R10-3286,8.78738071,6.13E+08
264,FSL R10-3286,8.987271782,9.71E+08
264,FSL R10-3286,8.897748211,7.90E+08
288,FSL R10-3286,9.087712652,1.22E+09
288,FSL R10-3286,9.033472188,1.08E+09
360,FSL R10-3286,9.165893571,1.47E+09
360,FSL R10-3286,9.165893571,1.47E+09
384,FSL R10-3286,9.194665296,1.57E+09
384,FSL R10-3286,9.237069165,1.73E+09
0,FSL R10-0941,3.315407926,2.07E+03
0,FSL R10-0941,3.363268558,2.31E+03
0,FSL R10-0941,3.347893676,2.23E+03
0,FSL R10-0941,3.472832412,2.97E+03
0,FSL R10-0941,3.385356052,2.43E+03
0,FSL R10-0941,3.392475825,2.47E+03
4,FSL R10-0941,3.183384305,1.53E+03
4,FSL R10-0941,3.14766874,1.40E+03
4,FSL R10-0941,3.315407926,2.07E+03
4,FSL R10-0941,3.347893676,2.23E+03
4,FSL R10-0941,3.256813197,1.81E+03
4,FSL R10-0941,3.442449797,2.77E+03
8,FSL R10-0941,3.128645495,1.34E+03
8,FSL R10-0941,3.289342425,1.95E+03
8,FSL R10-0941,3.261612101,1.83E+03
8,FSL R10-0941,3.205660696,1.61E+03
8,FSL R10-0941,3.271053642,1.87E+03
12,FSL R10-0941,3.363268558,2.31E+03
12,FSL R10-0941,3.0015407,1.00E+03
12,FSL R10-0941,3.351788713,2.25E+03
12,FSL R10-0941,3.298205898,1.99E+03
12,FSL R10-0941,3.442449797,2.77E+03
12,FSL R10-0941,3.406374411,2.55E+03
24,FSL R10-0941,3.548083371,3.53E+03
24,FSL R10-0941,3.506690692,3.21E+03
24,FSL R10-0941,4.184417388,1.53E+04
24,FSL R10-0941,4.302743896,2.01E+04
24,FSL R10-0941,4.363678695,2.31E+04
24,FSL R10-0941,4.260805745,1.82E+04
36,FSL R10-0941,4.374452724,2.37E+04
36,FSL R10-0941,4.374452724,2.37E+04
36,FSL R10-0941,4.484414294,3.05E+04
36,FSL R10-0941,4.484414294,3.05E+04
36,FSL R10-0941,4.445585505,2.79E+04
36,FSL R10-0941,4.512085715,3.25E+04
48,FSL R10-0941,4.538099142,3.45E+04
48,FSL R10-0941,4.601423776,3.99E+04
48,FSL R10-0941,4.718223776,5.23E+04
48,FSL R10-0941,4.735952549,5.44E+04
48,FSL R10-0941,4.72080119,5.26E+04
48,FSL R10-0941,4.632984457,4.30E+04
60,FSL R10-0941,4.520054625,3.31E+04
60,FSL R10-0941,4.713022566,5.16E+04
60,FSL R10-0941,4.804668343,6.38E+04
60,FSL R10-0941,4.760086212,5.76E+04
60,FSL R10-0941,4.594826766,3.93E+04
60,FSL R10-0941,4.707758343,5.10E+04
72,FSL R10-0941,5.169858687,1.48E+05
72,FSL R10-0941,5.147062459,1.40E+05
72,FSL R10-0941,5.286073852,1.93E+05
72,FSL R10-0941,5.272650872,1.87E+05
72,FSL R10-0941,5.106635417,1.28E+05
72,FSL R10-0941,5.144454089,1.39E+05
96,FSL R10-0941,5.807448304,6.42E+05
96,FSL R10-0941,5.712424763,5.16E+05
96,FSL R10-0941,5.767888306,5.86E+05
96,FSL R10-0941,5.6774385,4.76E+05
96,FSL R10-0941,5.708372215,5.11E+05
96,FSL R10-0941,5.713767244,5.17E+05
120,FSL R10-0941,6.880566803,7.60E+06
120,FSL R10-0941,6.868400895,7.39E+06
120,FSL R10-0941,6.72956151,5.36E+06
120,FSL R10-0941,6.903921597,8.02E+06
120,FSL R10-0941,6.780714046,6.04E+06
120,FSL R10-0941,6.855884336,7.18E+06
144,FSL R10-0941,7.35085727,2.24E+07
