Hour,Isolate,LogCount,Count,BioRep
0,FSL R10-0531,2.936039145,8.63E+02,1
0,FSL R10-0531,2.974668571,9.43E+02,1
0,FSL R10-1099,2.925819997,8.43E+02,1
0,FSL R10-1099,3.018574038,1.04E+03,1
0,FSL R10-1113,3.323759986,2.11E+03,1
0,FSL R10-1113,3.347893676,2.23E+03,1
0,FSL R10-0941,3.315407926,2.07E+03,1
0,FSL R10-0941,3.363268558,2.31E+03,1
0,FSL R10-0054,3.216384544,1.65E+03,1
0,FSL R10-0054,3.266358528,1.85E+03,1
0,FSL R10-0151,3.237069141,1.73E+03,1
0,FSL R10-0151,3.194665297,1.57E+03,1
0,FSL R10-0553,2.603600705,4.01E+02,1
0,FSL R10-0553,2.733934481,5.42E+02,1
0,FSL R10-0531,2.870772421,7.43E+02,2
0,FSL R10-0531,2.870772421,7.43E+02,2
0,FSL R10-1099,2.983811936,9.63E+02,2
0,FSL R10-1099,3.094962397,1.24E+03,2
0,FSL R10-1113,3.351788713,2.25E+03,2
0,FSL R10-1113,3.331954501,2.15E+03,2
0,FSL R10-0941,3.347893676,2.23E+03,2
0,FSL R10-0941,3.472832412,2.97E+03,2
0,FSL R10-0054,3.351788713,2.25E+03,2
0,FSL R10-0054,3.367028701,2.33E+03,2
0,FSL R10-0151,3.293796786,1.97E+03,2
0,FSL R10-0151,3.284841931,1.93E+03,2
0,FSL R10-0553,2.915354548,8.23E+02,2
0,FSL R10-0553,2.915354548,8.23E+02,2
0,FSL R10-0531,2.846638744,7.02E+02,3
0,FSL R10-0531,2.936039145,8.63E+02,3
0,FSL R10-1099,3.02684655,1.06E+03,3
0,FSL R10-1099,2.992766791,9.83E+02,3
0,FSL R10-1113,3.472832412,2.97E+03,3
0,FSL R10-1113,3.501227772,3.17E+03,3
0,FSL R10-0941,3.385356052,2.43E+03,3
0,FSL R10-0941,3.392475825,2.47E+03,3
0,FSL R10-0054,3.293796786,1.97E+03,3
0,FSL R10-0054,3.289342425,1.95E+03,3
0,FSL R10-0151,3.153829039,1.43E+03,3
0,FSL R10-0151,3.293796786,1.97E+03,3
0,FSL R10-0553,2.882354309,7.63E+02,3
0,FSL R10-0553,2.733934481,5.42E+02,3
4,FSL R10-0531,2.925819997,8.43E+02,1
4,FSL R10-0531,2.94602338,8.83E+02,1
4,FSL R10-1099,3.128645495,1.34E+03,1
4,FSL R10-1099,2.955783201,9.03E+02,1
4,FSL R10-1113,3.343963388,2.21E+03,1
4,FSL R10-1113,3.351788713,2.25E+03,1
4,FSL R10-0941,3.183384305,1.53E+03,1
4,FSL R10-0941,3.14766874,1.40E+03,1
4,FSL R10-0054,3.216384544,1.65E+03,1
4,FSL R10-0054,3.247053375,1.77E+03,1
4,FSL R10-0151,3.31117088,2.05E+03,1
4,FSL R10-0151,3.280294311,1.91E+03,1
4,FSL R10-0553,2.882354309,7.63E+02,1
4,FSL R10-0553,2.858873217,7.23E+02,1
4,FSL R10-0531,2.904630701,8.03E+02,2
4,FSL R10-0531,2.965328532,9.23E+02,2
4,FSL R10-1099,3.122114639,1.32E+03,2
4,FSL R10-1099,3.101911245,1.26E+03,2
4,FSL R10-1113,3.331954501,2.15E+03,2
4,FSL R10-1113,3.31117088,2.05E+03,2
4,FSL R10-0941,3.315407926,2.07E+03,2
4,FSL R10-0941,3.347893676,2.23E+03,2
4,FSL R10-0054,3.370756567,2.35E+03,2
4,FSL R10-0054,3.247053375,1.77E+03,2
4,FSL R10-0151,3.370756567,2.35E+03,2
4,FSL R10-0151,3.374452707,2.37E+03,2
4,FSL R10-0553,3.0015407,1.00E+03,2
4,FSL R10-0553,2.870772421,7.43E+02,2
4,FSL R10-0531,2.936039145,8.63E+02,3
4,FSL R10-0531,2.807720663,6.42E+02,3
4,FSL R10-1099,3.065998705,1.16E+03,3
4,FSL R10-1099,3.034964476,1.08E+03,3
4,FSL R10-1113,3.38893055,2.45E+03,3
4,FSL R10-1113,3.363268558,2.31E+03,3
4,FSL R10-0941,3.256813197,1.81E+03,3
4,FSL R10-0941,3.442449797,2.77E+03,3
4,FSL R10-0054,3.323759986,2.11E+03,3
4,FSL R10-0054,3.331954501,2.15E+03,3
4,FSL R10-0151,3.261612101,1.83E+03,3
4,FSL R10-0151,3.363268558,2.31E+03,3
4,FSL R10-0553,2.915354548,8.23E+02,3
4,FSL R10-0553,2.68278194,4.82E+02,3
8,FSL R10-0531,3.018574038,1.04E+03,1
8,FSL R10-0531,2.94602338,8.83E+02,1
8,FSL R10-1099,3.065998705,1.16E+03,1
8,FSL R10-1099,3.073422711,1.18E+03,1
8,FSL R10-1113,3.423144635,2.65E+03,1
8,FSL R10-1113,3.331954501,2.15E+03,1
8,FSL R10-0941,3.128645495,1.34E+03,1
8,FSL R10-0054,3.347893676,2.23E+03,1
8,FSL R10-0054,3.339997208,2.19E+03,1
8,FSL R10-0151,3.128645495,1.34E+03,1
8,FSL R10-0151,3.205660696,1.61E+03,1
8,FSL R10-0553,2.870772421,7.43E+02,1
8,FSL R10-0553,2.882354309,7.63E+02,1
8,FSL R10-0531,2.893635301,7.83E+02,2
8,FSL R10-0531,3.0015407,1.00E+03,2
8,FSL R10-1099,3.073422711,1.18E+03,2
8,FSL R10-1099,3.135079595,1.36E+03,2
8,FSL R10-1113,3.323759986,2.11E+03,2
8,FSL R10-1113,3.426422339,2.67E+03,2
8,FSL R10-0941,3.289342425,1.95E+03,2
8,FSL R10-0941,3.261612101,1.83E+03,2
8,FSL R10-0054,3.402941241,2.53E+03,2
8,FSL R10-0054,3.367028701,2.33E+03,2
8,FSL R10-0151,3.141419801,1.38E+03,2
8,FSL R10-0151,3.242089964,1.75E+03,2
8,FSL R10-0553,3.0015407,1.00E+03,2
8,FSL R10-0553,2.94602338,8.83E+02,2
8,FSL R10-0531,2.893635301,7.83E+02,3
8,FSL R10-0531,2.834049599,6.82E+02,3
8,FSL R10-1099,3.080721938,1.20E+03,3
8,FSL R10-1099,3.094962397,1.24E+03,3
8,FSL R10-1113,3.402941241,2.53E+03,3
8,FSL R10-1113,3.423144635,2.65E+03,3
8,FSL R10-0941,3.205660696,1.61E+03,3
8,FSL R10-0941,3.271053642,1.87E+03,3
8,FSL R10-0054,3.416514067,2.61E+03,3
8,FSL R10-0054,3.399480714,2.51E+03,3
8,FSL R10-0151,2.983811936,9.63E+02,3
8,FSL R10-0151,2.793932401,6.22E+02,3
8,FSL R10-0553,3.189061428,1.55E+03,3
8,FSL R10-0553,3.122114639,1.32E+03,3
12,FSL R10-0531,2.936039145,8.63E+02,1
12,FSL R10-0531,2.846638744,7.02E+02,1
12,FSL R10-1099,3.0015407,1.00E+03,1
12,FSL R10-1099,2.846638744,7.02E+02,1
12,FSL R10-1113,3.363268558,2.31E+03,1
12,FSL R10-1113,3.284841931,1.93E+03,1
12,FSL R10-0941,3.363268558,2.31E+03,1
12,FSL R10-0941,3.0015407,1.00E+03,1
12,FSL R10-0054,3.343963388,2.21E+03,1
12,FSL R10-0054,3.392475825,2.47E+03,1
12,FSL R10-0151,3.171802417,1.49E+03,1
12,FSL R10-0151,3.115484071,1.30E+03,1
12,FSL R10-0553,2.936039145,8.63E+02,1
12,FSL R10-0553,2.882354309,7.63E+02,1
12,FSL R10-0531,2.882354309,7.63E+02,2
12,FSL R10-0531,2.904630701,8.03E+02,2
12,FSL R10-1099,3.343963388,2.21E+03,2
12,FSL R10-1099,3.073422711,1.18E+03,2
12,FSL R10-1113,3.315407926,2.07E+03,2
12,FSL R10-1113,3.108750659,1.28E+03,2
12,FSL R10-0941,3.351788713,2.25E+03,2
12,FSL R10-0941,3.298205898,1.99E+03,2
12,FSL R10-0054,3.426422339,2.67E+03,2
12,FSL R10-0054,3.423144635,2.65E+03,2
12,FSL R10-0151,2.779691942,6.02E+02,2
12,FSL R10-0151,2.807720663,6.42E+02,2
12,FSL R10-0553,2.870772421,7.43E+02,2
12,FSL R10-0553,4.058627692,1.14E+04,2
12,FSL R10-0531,2.858873217,7.23E+02,3
12,FSL R10-0531,2.882354309,7.63E+02,3
12,FSL R10-1099,3.189061428,1.55E+03,3
12,FSL R10-1099,3.087900554,1.22E+03,3
12,FSL R10-1113,3.355649128,2.27E+03,3
12,FSL R10-1113,3.442449797,2.77E+03,3
12,FSL R10-0941,3.442449797,2.77E+03,3
12,FSL R10-0941,3.406374411,2.55E+03,3
12,FSL R10-0054,3.451789807,2.83E+03,3
12,FSL R10-0054,3.798265872,6.28E+03,3
12,FSL R10-0151,3.47575696,2.99E+03,3
12,FSL R10-0151,3.481547665,3.03E+03,3
12,FSL R10-0553,2.974668571,9.43E+02,3
12,FSL R10-0553,2.965328532,9.23E+02,3
24,FSL R10-0531,3.042933393,1.10E+03,1
24,FSL R10-0531,3.080721938,1.20E+03,1
24,FSL R10-1099,3.289342425,1.95E+03,1
24,FSL R10-1099,3.284841931,1.93E+03,1
24,FSL R10-1113,3.562642097,3.65E+03,1
24,FSL R10-1113,3.501227772,3.17E+03,1
24,FSL R10-0941,3.548083371,3.53E+03,1
24,FSL R10-0941,3.506690692,3.21E+03,1
24,FSL R10-0054,3.909555011,8.12E+03,1
24,FSL R10-0054,3.901841586,7.98E+03,1
24,FSL R10-0151,4.013079027,1.03E+04,1
24,FSL R10-0151,3.819250361,6.60E+03,1
24,FSL R10-0553,3.579032514,3.79E+03,1
24,FSL R10-0553,3.302570696,2.01E+03,1
24,FSL R10-0531,3.05844558,1.14E+03,2
24,FSL R10-0531,3.165893567,1.47E+03,2
24,FSL R10-1099,3.426422339,2.67E+03,2
24,FSL R10-1099,3.343963388,2.21E+03,2
24,FSL R10-1113,3.567388524,3.69E+03,2
24,FSL R10-1113,3.565021794,3.67E+03,2
24,FSL R10-0941,4.184417388,1.53E+04,2
24,FSL R10-0941,4.302743896,2.01E+04,2
24,FSL R10-0054,3.933061827,8.57E+03,2
24,FSL R10-0054,3.906214263,8.06E+03,2
24,FSL R10-0151,3.813060761,6.50E+03,2
24,FSL R10-0151,3.813060761,6.50E+03,2
24,FSL R10-0553,3.355649128,2.27E+03,2
24,FSL R10-0553,3.41316043,2.59E+03,2
24,FSL R10-0531,3.14766874,1.40E+03,3
24,FSL R10-0531,3.065998705,1.16E+03,3
24,FSL R10-1099,3.363268558,2.31E+03,3
24,FSL R10-1099,3.339997208,2.19E+03,3
24,FSL R10-1113,3.77394785,5.94E+03,3
24,FSL R10-1113,3.381751933,2.41E+03,3
24,FSL R10-0941,4.363678695,2.31E+04,3
24,FSL R10-0941,4.260805745,1.82E+04,3
24,FSL R10-0054,3.135079595,1.36E+03,3
24,FSL R10-0054,3.101911245,1.26E+03,3
24,FSL R10-0151,3.848940355,7.06E+03,3
24,FSL R10-0151,3.909859568,8.13E+03,3
24,FSL R10-0553,3.442449797,2.77E+03,3
24,FSL R10-0553,3.275698567,1.89E+03,3
36,FSL R10-0531,3.200197776,1.59E+03,1
36,FSL R10-0531,3.165893567,1.47E+03,1
36,FSL R10-1099,3.466923562,2.93E+03,1
36,FSL R10-1099,3.451789807,2.83E+03,1
36,FSL R10-1113,3.762427428,5.79E+03,1
36,FSL R10-1113,3.778471799,6.00E+03,1
36,FSL R10-0941,4.374452724,2.37E+04,1
36,FSL R10-0941,4.374452724,2.37E+04,1
36,FSL R10-0054,4.10831547,1.28E+04,1
36,FSL R10-0054,4.058627692,1.14E+04,1
36,FSL R10-0151,3.947868725,8.87E+03,1
36,FSL R10-0151,4.043320555,1.10E+04,1
36,FSL R10-0553,3.522678803,3.33E+03,1
36,FSL R10-0553,3.492902397,3.11E+03,1
36,FSL R10-0531,3.242089964,1.75E+03,2
36,FSL R10-0531,3.266358528,1.85E+03,2
36,FSL R10-1099,3.484414301,3.05E+03,2
36,FSL R10-1099,3.487262139,3.07E+03,2
36,FSL R10-1113,3.745767508,5.57E+03,2
36,FSL R10-1113,3.718223776,5.23E+03,2
36,FSL R10-0941,4.484414294,3.05E+04,2
36,FSL R10-0941,4.484414294,3.05E+04,2
36,FSL R10-0054,4.137495481,1.37E+04,2
36,FSL R10-0054,4.189163839,1.55E+04,2
36,FSL R10-0151,3.985050309,9.66E+03,2
36,FSL R10-0151,4.029469464,1.07E+04,2
36,FSL R10-0553,3.501227772,3.17E+03,2
36,FSL R10-0553,3.548083371,3.53E+03,2
36,FSL R10-0531,3.177631951,1.51E+03,3
36,FSL R10-0531,3.216384544,1.65E+03,3
36,FSL R10-1099,3.490091424,3.09E+03,3
36,FSL R10-1099,3.498470342,3.15E+03,3
36,FSL R10-1113,3.776215733,5.97E+03,3
36,FSL R10-1113,3.806781702,6.41E+03,3
36,FSL R10-0941,4.445585505,2.79E+04,3
36,FSL R10-0941,4.512085715,3.25E+04,3
36,FSL R10-0054,4.025429481,1.06E+04,3
36,FSL R10-0054,3.971477529,9.36E+03,3
36,FSL R10-0151,4.008882948,1.02E+04,3
36,FSL R10-0151,4.027454171,1.07E+04,3
36,FSL R10-0553,3.460933209,2.89E+03,3
36,FSL R10-0553,3.538099136,3.45E+03,3
48,FSL R10-0531,3.628906542,4.26E+03,1
48,FSL R10-0531,3.738427153,5.48E+03,1
48,FSL R10-1099,3.922902416,8.37E+03,1
48,FSL R10-1099,3.928011828,8.47E+03,1
48,FSL R10-1113,4.242409369,1.75E+04,1
48,FSL R10-1113,4.221011179,1.66E+04,1
48,FSL R10-0941,4.538099142,3.45E+04,1
48,FSL R10-0941,4.601423776,3.99E+04,1
48,FSL R10-0054,5.191089957,1.55E+05,1
48,FSL R10-0054,5.138762067,1.38E+05,1
48,FSL R10-0151,4.551527094,3.56E+04,1
48,FSL R10-0151,4.590612068,3.90E+04,1
48,FSL R10-0553,4.10663541,1.28E+04,1
48,FSL R10-0553,4.082405533,1.21E+04,1
48,FSL R10-0531,3.588128004,3.87E+03,2
48,FSL R10-0531,3.555423722,3.59E+03,2
48,FSL R10-1099,4.037438404,1.09E+04,2
48,FSL R10-1099,4.03147545,1.08E+04,2
48,FSL R10-1113,4.101555878,1.26E+04,2
48,FSL R10-1113,4.196187604,1.57E+04,2
48,FSL R10-0941,4.718223776,5.23E+04,2
48,FSL R10-0941,4.735952549,5.44E+04,2
48,FSL R10-0054,5.042843972,1.10E+05,2
48,FSL R10-0054,5.07620657,1.19E+05,2
