"","lag","mumax","LOG10N0","LOG10Nmax"
"R100056buch",21.6699037078799,0.106578436765949,3.63032601519221,8.39542780177778
"R100056gomp",56.2741489044233,0.463505694612092,3.8565207439003,8.1604747078563
"R100056bary",56.8580156044717,0.472659988417837,3.85909794477531,8.13073309622768
"R100084buch",1.61118984908533,0.0921980005230371,3.5800459808392,7.885429667875
"R100084gomp",-0.693071559805607,0.106168062140435,3.2580322459454,8.14625348229398
"R100084bary",-1.35063626455965,0.0891427829103631,3.52817176232105,7.96269503236172
"R100908buch",49.0757940666717,0.181765015639187,3.628006591,7.82438789670833
"R100908gomp",56.8503386313935,0.350380094750748,3.61986064028507,7.75293189740261
"R100908bary",59.0050231049049,0.439947121767661,3.62903010327021,7.68206834052132
"R101432buch",1.89883361511666,0.11112467849206,3.35830313943601,7.92143128103333
"R101432gomp",7.12570074207538,0.143910321827222,3.23298236141967,8.02476266472294
"R101432bary",6.59326097126583,0.130436139292245,3.34473818473629,7.88269889070259
"R100701buch",5.62552564390392,0.110128353987832,3.53330585442627,8.25622386316667
"R100701gomp",12.9819017859786,0.140972974630122,3.48363970430077,8.37500538862406
"R100701bary",8.36574559571637,0.119632725980183,3.49379768026729,8.25776469106572
