Isolate,buch_lag,gomp_lag,bar_lag,buch_mu,gomp_mu,bar_mu,buch_N0,gomp_N0,bar_N0,buch_NMax,gomp_NMax,bar_NMax
FSL R10-0056,21.7,-1279.7,56.9,0.1066,-13.8832,0.4727,3.6303,4.2835,3.8591,8.3954,8.3953,8.1307
FSL R10-0084,-17885984.3,-0.7,-1.4,0.0829,0.1062,0.0891,-569914.4211,3.2581,3.5282,8.0154,8.1462,7.9627
FSL R10-0701 ,-7048204.6,13.0,8.4,0.0956,0.1410,0.1196,-261082.9042,3.4836,3.4938,8.2843,8.3750,8.2578
FSL R10-0908,49.1,259.5,59.0,0.1818,0.0718,0.4399,3.6280,6.2289,3.6290,7.8244,6.7388,7.6821
FSL R10-0990,22.6,24.6,25.5,0.0761,0.0832,0.0800,3.1125,3.0111,3.0691,7.3868,7.7365,7.4399
FSL R10-1181,6.1,-13.2,3.0,0.0686,0.0764,0.0693,3.2662,2.4894,3.1627,8.0723,9.0422,8.2256
FSL R10-1344,5.9,12.6,8.4,0.1070,0.1330,0.1140,2.9052,2.7765,2.8667,8.5966,8.8913,8.5972
FSL R10-1432,-59931652.7,7.1,6.6,0.0949,0.1439,0.1304,-2013131.6666,3.2330,3.3447,8.0108,8.0248,7.8827
FSL R10-2381,14.4,22.6,19.5,0.0776,0.0982,0.0888,3.2978,3.2672,3.2505,7.1257,7.2717,7.1267
FSL R10-3286,6.1,-1.7,3.7,0.0966,0.1098,0.0979,3.2923,2.7322,3.1731,8.5958,8.9138,8.6157
