ST,lag,mu,N0,Nmax,modelname
1,10.5,0.0808,3.0269,8.7025,gompertz
2,19.5,0.0888,3.2505,7.1267,baranyi
3,10.5,0.0808,3.0269,8.7025,gompertz
4,10.5,0.0808,3.0269,8.7025,gompertz
5,10.5,0.0808,3.0269,8.7025,gompertz
6,24.6,0.0832,3.0111,7.7365,gompertz
7,10.5,0.0808,3.0269,8.7025,gompertz
8,12.15,0.10505,3.22525,8.08555,gompertz
9,0,0.1062,3.258,8.1463,gompertz
10,12.15,0.10505,3.22525,8.08555,gompertz
11,12.1,0.1039,3.1097,8.2662,gompertz
12,12.15,0.10505,3.22525,8.08555,gompertz
13,56.3,0.4635,3.8565,8.1605,baranyi
14,12.15,0.10505,3.22525,8.08555,gompertz
15,12.15,0.10505,3.22525,8.08555,gompertz
16,12.15,0.10505,3.22525,8.08555,gompertz
17,25.2,0.0782,2.911,9.1106,gompertz
18,10.5,0.0808,3.0269,8.7025,gompertz
19,10.5,0.0808,3.0269,8.7025,gompertz
20,12.15,0.10505,3.22525,8.08555,gompertz
21,12.15,0.10505,3.22525,8.08555,gompertz
22,12.15,0.10505,3.22525,8.08555,gompertz
23,56.9,0.3504,3.6199,7.7529,baranyi
24,8.2,0.073,3.2175,7.8691,buchanan
30,10.5,0.0808,3.0269,8.7025,gompertz
33,12.15,0.10505,3.22525,8.08555,gompertz
34,10.5,0.0808,3.0269,8.7025,gompertz
35,12.15,0.10505,3.22525,8.08555,gompertz
36,0,0.1098,2.7322,8.9138,gompertz
37,10.5,0.0808,3.0269,8.7025,gompertz
38,10.5,0.0808,3.0269,8.7025,gompertz
39,12.15,0.10505,3.22525,8.08555,gompertz
40,10.5,0.0808,3.0269,8.7025,gompertz
41,3,0.0693,3.1627,8.2256,baranyi
43,10.5,0.0808,3.0269,8.7025,gompertz
46,10.5,0.0808,3.0269,8.7025,gompertz
47,10.5,0.0808,3.0269,8.7025,gompertz
48,34.9,0.0813,2.9058,8.5137,baranyi
49,10.5,0.0808,3.0269,8.7025,gompertz
50,12.15,0.10505,3.22525,8.08555,gompertz
51,12.15,0.10505,3.22525,8.08555,gompertz
52,12.2,0.0886,2.663,8.3797,gompertz
53,10.5,0.0808,3.0269,8.7025,gompertz
54,10.5,0.0808,3.0269,8.7025,gompertz
56,8.4,0.1196,3.4938,8.2578,baranyi
57,12.15,0.10505,3.22525,8.08555,gompertz
59,12.15,0.10505,3.22525,8.08555,gompertz
60,12.15,0.10505,3.22525,8.08555,gompertz
61,10.5,0.0808,3.0269,8.7025,gompertz
62,12.15,0.10505,3.22525,8.08555,gompertz
63,10.5,0.0808,3.0269,8.7025,gompertz
64,12.15,0.10505,3.22525,8.08555,gompertz
65,10.5,0.0808,3.0269,8.7025,gompertz
66,10.5,0.0808,3.0269,8.7025,gompertz
67,12.15,0.10505,3.22525,8.08555,gompertz
68,10.5,0.0808,3.0269,8.7025,gompertz
70,10.5,0.0808,3.0269,8.7025,gompertz
71,10.5,0.0808,3.0269,8.7025,gompertz
72,10.5,0.0808,3.0269,8.7025,gompertz
73,12.15,0.10505,3.22525,8.08555,gompertz
74,10.5,0.0808,3.0269,8.7025,gompertz
75,0,0.0731,2.6457,9.0528,gompertz
76,10.5,0.0808,3.0269,8.7025,gompertz
77,12.15,0.10505,3.22525,8.08555,gompertz
78,12.15,0.10505,3.22525,8.08555,gompertz
79,10.5,0.0808,3.0269,8.7025,gompertz
80,12.15,0.10505,3.22525,8.08555,gompertz
81,29.9,0.0803,3.2624,9.1391,gompertz
82,12.15,0.10505,3.22525,8.08555,gompertz
83,12.15,0.10505,3.22525,8.08555,gompertz
84,10.5,0.0808,3.0269,8.7025,gompertz
85,12.15,0.10505,3.22525,8.08555,gompertz
86,10.5,0.0808,3.0269,8.7025,gompertz
87,12.15,0.10505,3.22525,8.08555,gompertz
88,12.15,0.10505,3.22525,8.08555,gompertz
89,10.5,0.0808,3.0269,8.7025,gompertz
90,12.15,0.10505,3.22525,8.08555,gompertz
91,10.5,0.0808,3.0269,8.7025,gompertz
92,12.6,0.133,2.7765,8.8913,gompertz
93,10.5,0.0808,3.0269,8.7025,gompertz
94,10.5,0.0808,3.0269,8.7025,gompertz
95,12.15,0.10505,3.22525,8.08555,gompertz
96,10.5,0.0808,3.0269,8.7025,gompertz
97,12.15,0.10505,3.22525,8.08555,gompertz
98,10.5,0.0808,3.0269,8.7025,gompertz
99,10.5,0.0808,3.0269,8.7025,gompertz
100,7.1,0.1439,3.233,8.0248,gompertz
101,10.5,0.0808,3.0269,8.7025,gompertz
102,0,0.0584,3.1428,7.8252,gompertz
105,10.5,0.0808,3.0269,8.7025,gompertz
106,12.15,0.10505,3.22525,8.08555,gompertz
107,12.15,0.10505,3.22525,8.08555,gompertz
108,12.15,0.10505,3.22525,8.08555,gompertz
109,10.5,0.0808,3.0269,8.7025,gompertz
110,10.5,0.0808,3.0269,8.7025,gompertz
111,12.15,0.10505,3.22525,8.08555,gompertz
112,12.15,0.10505,3.22525,8.08555,gompertz
113,10.5,0.0808,3.0269,8.7025,gompertz
114,10.5,0.0808,3.0269,8.7025,gompertz
115,12.15,0.10505,3.22525,8.08555,gompertz
116,12.15,0.10505,3.22525,8.08555,gompertz
117,12.15,0.10505,3.22525,8.08555,gompertz
119,12.15,0.10505,3.22525,8.08555,gompertz
120,10.5,0.0808,3.0269,8.7025,gompertz
122,10.5,0.0808,3.0269,8.7025,gompertz
125,10.5,0.0808,3.0269,8.7025,gompertz
127,12.15,0.10505,3.22525,8.08555,gompertz
128,12.15,0.10505,3.22525,8.08555,gompertz
