VSLNumber_SampleID,Genus,Species,Genus_Species,X16S_ST
433_33-1,Pseudomonas,lundensis,Pseudomonas_lundensis,11
433_33-1,Pseudomonas,poae,Pseudomonas_poae,9
434_22-1,Pseudomonas,poae,Pseudomonas_poae,9
434_22-1,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
434_22-1,Pseudomonas,gessardii,Pseudomonas_gessardii,9
434_22-1,Pseudomonas,gessardii_proteolytica_poae_lurida_sl,Pseudomonas_gessardii_proteolytica_poae_lurida_sl,9
434_33-1,Pseudomonas,brassicacearum_migulae_sl,Pseudomonas_brassicacearum_migulae_sl,24
434_33-1,Pseudomonas,brassicacearum_migulae_corrugata_sl,Pseudomonas_brassicacearum_migulae_corrugata_sl,24
434_72,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
434_72,Pseudomonas,gessardii_proteolytica_poae_lurida_rhodesiae_sl,Pseudomonas_gessardii_proteolytica_poae_lurida_rhodesiae_sl,9
434_72-1,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
434_73,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
434_73-1,Pseudomonas,poae,Pseudomonas_poae,9
434_73-1,Pseudomonas,poae_lurida_sl,Pseudomonas_poae_lurida_sl,9
434_73,Pseudomonas,poae,Pseudomonas_poae,9
434_72,Pseudomonas,gessardii_proteolytica_poae_lurida_sl,Pseudomonas_gessardii_proteolytica_poae_lurida_sl,9
434_72,Pseudomonas,poae,Pseudomonas_poae,9
434_72-1,Pseudomonas,poae,Pseudomonas_poae,9
434_73-1,Pseudomonas,gessardii_proteolytica_poae_lurida_rhodesiae_sl,Pseudomonas_gessardii_proteolytica_poae_lurida_rhodesiae_sl,9
435_13-1,Hafnia,paralvei,Hafnia_paralvei,36
435_43-2,Stenotrophomonas,rhizophila,Stenotrophomonas_rhizophila,41
435_73,Acinetobacter,haemolyticus,Acinetobacter_haemolyticus,2
435_82,Buttiauxella,brennerae,Buttiauxella_brennerae,48
435_82-2,Pseudomonas,tolaasii,Pseudomonas_tolaasii,52
435_83-1,Pseudomonas,fulva_plecoglossicida_sl,Pseudomonas_fulva_plecoglossicida_sl,6
436_73,Acinetobacter,haemolyticus,Acinetobacter_haemolyticus,2
