ST,lag,mu,N0,Nmax,modelname,RealST,ClosestST
1,19.5,0.0888,3.2505,7.1267,baranyi,,2
2,19.5,0.0888,3.2505,7.1267,baranyi,2,
3,0,0.0584,3.1428,7.8252,gompertz,,102
4,0,0.0584,3.1428,7.8252,gompertz,,102
5,25.2,0.0782,2.911,9.1106,gompertz,,17
6,24.6,0.0832,3.0111,7.7365,gompertz,6,
7,24.6,0.0832,3.0111,7.7365,gompertz,,6
8,8.2,0.073,3.2175,7.8691,gompertz,,24
9,0,0.1062,3.258,8.1463,gompertz,9,
10,8.2,0.073,3.2175,7.8691,gompertz,,24
11,12.1,0.1039,3.1097,8.2662,gompertz,11,
12,0,0.1062,3.258,8.1463,gompertz,,9
13,56.3,0.4635,3.8565,8.1605,baranyi,13,
14,12.1,0.1039,3.1097,8.2662,gompertz,,11
15,12.2,0.0886,2.663,8.3797,gompertz,,52
16,28.45,0.2283,3.43895,7.9496,gompertz,,"23, 9"
17,25.2,0.0782,2.911,9.1106,gompertz,17,17
18,25.2,0.0782,2.911,9.1106,gompertz,,17
19,0,0.0584,3.1428,7.8252,gompertz,,102
20,0,0.1062,3.258,8.1463,gompertz,,9
21,12.2,0.0886,2.663,8.3797,gompertz,,52
22,10.2,0.0808,2.94025,8.1244,gompertz,,"24, 52"
23,56.9,0.3504,3.6199,7.7529,baranyi,23,
24,8.2,0.073,3.2175,7.8691,buchanan,24,
30,19.5,0.0888,3.2505,7.1267,baranyi,,2
33,0,0.1062,3.258,8.1463,gompertz,,9
34,25.2,0.0782,2.911,9.1106,gompertz,,17
35,0,0.1062,3.258,8.1463,gompertz,,9
36,0,0.1098,2.7322,8.9138,gompertz,36,
37,0,0.1098,2.7322,8.9138,gompertz,,36
38,0,0.1098,2.7322,8.9138,gompertz,,36
39,56.3,0.4635,3.8565,8.1605,baranyi,,13
40,0,0.1098,2.7322,8.9138,gompertz,,36
41,3,0.0693,3.1627,8.2256,baranyi,41,
43,0,0.0584,3.1428,7.8252,gompertz,,102
46,25.2,0.0782,2.911,9.1106,gompertz,,17
47,12.6,0.133,2.7765,8.8913,gompertz,,92
48,34.9,0.0813,2.9058,8.5137,baranyi,48,
49,34.9,0.0813,2.9058,8.5137,baranyi,,48
50,24.6,0.0832,3.0111,7.7365,gompertz,,6
51,0,0.1062,3.258,8.1463,gompertz,,9
52,12.2,0.0886,2.663,8.3797,gompertz,52,
53,34.9,0.0813,2.9058,8.5137,baranyi,,48
54,0,0.0584,3.1428,7.8252,gompertz,,102
56,8.4,0.1196,3.4938,8.2578,baranyi,56,
57,8.2,0.073,3.2175,7.8691,buchanan,,24
59,28.45,0.2283,3.43895,7.9496,gompertz,,"23, 9"
60,12.2,0.0886,2.663,8.3797,gompertz,,52
61,29.9,0.0803,3.2624,9.1391,gompertz,,81
62,0,0.1062,3.258,8.1463,gompertz,,9
63,25.2,0.0782,2.911,9.1106,gompertz,,17
64,56.9,0.3504,3.6199,7.7529,baranyi,,23
65,8.4,0.1196,3.4938,8.2578,baranyi,,56
66,34.9,0.0813,2.9058,8.5137,baranyi,,48
67,56.3,0.4635,3.8565,8.1605,baranyi,,13
68,8.4,0.1196,3.4938,8.2578,baranyi,,56
70,19.5,0.0888,3.2505,7.1267,baranyi,,2
71,25.2,0.0782,2.911,9.1106,gompertz,,17
72,0,0.0584,3.1428,7.8252,gompertz,,102
73,28.45,0.2283,3.43895,7.9496,gompertz,,"23, 9"
74,19.15,0.09995,3.3781,8.69845,gompertz,,"81, 56"
75,0,0.0731,2.6457,9.0528,gompertz,75,
76,0,0.0584,3.1428,7.8252,gompertz,,102
77,8.2,0.073,3.2175,7.8691,gompertz,,24
78,12.2,0.0886,2.663,8.3797,gompertz,,52
79,0,0.1098,2.7322,8.9138,gompertz,,36
80,12.2,0.0886,2.663,8.3797,gompertz,,52
81,29.9,0.0803,3.2624,9.1391,gompertz,81,
82,12.2,0.0886,2.663,8.3797,gompertz,,52
83,0,0.1062,3.258,8.1463,gompertz,,9
84,29.9,0.0803,3.2624,9.1391,gompertz,,81
85,56.9,0.3504,3.6199,7.7529,baranyi,,23
86,25.2,0.0782,2.911,9.1106,gompertz,,17
87,12.1,0.1039,3.1097,8.2662,gompertz,,11
88,0,0.1062,3.258,8.1463,gompertz,,9
89,0,0.0731,2.6457,9.0528,gompertz,,75
90,8.2,0.073,3.2175,7.8691,gompertz,,24
91,0,0.1098,2.7322,8.9138,gompertz,,36
92,12.6,0.133,2.7765,8.8913,gompertz,92,
93,34.9,0.0813,2.9058,8.5137,baranyi,,48
94,25.2,0.0782,2.911,9.1106,gompertz,,17
95,56.9,0.3504,3.6199,7.7529,baranyi,,23
96,0,0.1098,2.7322,8.9138,gompertz,,36
97,0,0.1062,3.258,8.1463,gompertz,,9
98,29.9,0.0803,3.2624,9.1391,gompertz,,81
99,0,0.1098,2.7322,8.9138,gompertz,,36
100,7.1,0.1439,3.233,8.0248,gompertz,100,
101,0,0.0584,3.1428,7.8252,gompertz,,102
102,0,0.0584,3.1428,7.8252,gompertz,102,
105,24.6,0.0832,3.0111,7.7365,gompertz,,6
106,8.2,0.073,3.2175,7.8691,gompertz,,24
107,0,0.1062,3.258,8.1463,gompertz,,9
108,8.2,0.073,3.2175,7.8691,gompertz,,24
109,3,0.0693,3.1627,8.2256,baranyi,,109
110,29.9,0.0803,3.2624,9.1391,gompertz,,81
111,56.3,0.4635,3.8565,8.1605,baranyi,,13
112,12.2,0.0886,2.663,8.3797,gompertz,,52
113,25.2,0.0782,2.911,9.1106,gompertz,,17
114,29.9,0.0803,3.2624,9.1391,gompertz,,81
115,0,0.1062,3.258,8.1463,gompertz,,9
116,24.6,0.0832,3.0111,7.7365,gompertz,,6
117,24.6,0.0832,3.0111,7.7365,gompertz,,6
119,7.1,0.1439,3.233,8.0248,gompertz,,100
120,0,0.1098,2.7322,8.9138,gompertz,,36
122,25.2,0.0782,2.911,9.1106,gompertz,,17
125,19.5,0.0888,3.2505,7.1267,baranyi,,2
127,24.6,0.0832,3.0111,7.7365,gompertz,,6
128,24.6,0.0832,3.0111,7.7365,gompertz,,6
129,8.2,0.073,3.2175,7.8691,gompertz,,24
131,0,0.1062,3.258,8.1463,gompertz,,9
132,0,0.1062,3.258,8.1463,gompertz,,9
133,29.9,0.0803,3.2624,9.1391,gompertz,,81
134,29.9,0.0803,3.2624,9.1391,gompertz,,81
135,29.9,0.0803,3.2624,9.1391,gompertz,,81
141,29.9,0.0803,3.2624,9.1391,gompertz,,81
142,19.5,0.0888,3.2505,7.1267,baranyi,,2
143,8.4,0.1196,3.4938,8.2578,baranyi,,56
144,34.9,0.0813,2.9058,8.5137,baranyi,,48
145,25.2,0.0782,2.911,9.1106,gompertz,,17
146,28.45,0.2283,3.43895,7.9496,gompertz,,"23, 9"
147,29.9,0.0803,3.2624,9.1391,gompertz,,81
148,0,0.1062,3.258,8.1463,gompertz,,9
149,0,0.0584,3.1428,7.8252,gompertz,,102
150,0,0.0584,3.1428,7.8252,gompertz,,102
