LOG DI,LOG D7,LOG D10,LOG D14
1,5.447158031,6.322219295,10.17609126
1,5.602059991,8.079181246,9.929418926
1,5.602059991,7.959041392,9.740362689
1,4.892094603,8.041392685,9.579783597
1,5.602059991,7.556302501,9.477121255
1,5.602059991,7.662757832,9.397940009
1,5.602059991,7.146128036,9.322219295
1,5.602059991,7.662757832,9.322219295
1,2.380211242,8.176091259,9.230448921
1,5.602059991,7.255272505,9.176091259
1,5.602059991,7.612783857,9.079181246
1,6.462397998,7.414973348,8.968482949
1,1.857332496,8.204119983,8.963787827
1,4.041392685,7.447158031,8.919078092
1,3.176091259,7.698970004,8.892094603
1,4.041392685,7.643452676,8.792391689
1,4.77815125,7.342422681,8.77815125
1,4.322219295,8.568201724,8.755874856
1,1.707570176,3.903089987,8.716003344
1,5.041392685,6.544068044,8.672097858
1,2.079181246,8.079181246,8.662757832
1,1.301029996,8.079181246,8.505149978
1,3.230448921,7.041392685,8.462397998
1,4.361727836,7.146128036,8.462397998
1,4.72427587,7.908485019,8.462397998
1,5.491361694,5.602059991,8.431363764
1,1.491361694,7.973127854,8.414973348
1,3.69019608,7.491361694,8.380211242
1,4.113943352,6.505149978,8.230448921
1,4.079181246,6.903089987,8.230448921
1,1.301029996,7.612783857,8.204119983
1,3.491361694,5.602059991,8.176091259
1,3.414973348,6.681241237,8.176091259
1,4.556302501,4.643452676,8.146128036
1,3.278753601,5.602059991,8.146128036
1,5.602059991,7.204119983,8.146128036
1,5.230448921,7.342422681,8.146128036
1,2.763427994,6.986771734,8.113943352
1,5,7.146128036,8.113943352
1,1,8.079181246,8.113943352
1,1.301029996,8.255272505,8.113943352
1,4.462397998,4.832508913,8.079181246
1,5.602059991,5.86332286,8.041392685
1,4.230448921,7.477121255,8
1,4.51851394,7.62324929,8
1,3.62324929,7.832508913,7.986771734
1,5.602059991,6.113943352,7.973127854
1,3.079181246,7.176091259,7.968482949
1,4.73239376,5.602059991,7.939519253
1,3.73239376,5.113943352,7.934498451
1,3.505149978,7.77815125,7.826074803
1,4.612783857,7.763427994,7.643452676
1,5.602059991,7.505149978,7.612783857
1,2.301029996,3.707570176,7.255272505
1,2.612783857,6.531478917,7.146128036
1,4.857332496,7.414973348,6.826074803
1,5.602059991,4.041392685,6.73239376
1,3.556302501,6.662757832,6.602059991
1,5.602059991,3.755874856,6.505149978
1,1.913813852,4.662757832,6.380211242
1,5.041392685,3.72427587,5.995635195
1,1.301029996,3.041392685,5.740362689
1,2.204119983,5.602059991,5.698970004
1,3.505149978,4.342422681,5.462397998
1,5.602059991,6.414973348,5.146128036
1,5.176091259,3.612783857,5.113943352
