ST,lag,mu,N0,Nmax,modelname,RealST,ClosestST
1,20.44728239,0.094281702,3.235182842,7.349169206,gompertz,,2
3,0,0.058480483,3.16355178,7.815223927,gompertz,,102
4,0,0.058480483,3.16355178,7.815223927,gompertz,,102
5,26.25235957,0.079086165,2.922699028,9.084284809,gompertz,,17
7,20.88596809,0.098310344,2.968307199,7.81051003,gompertz,,6
8,7.397395808,0.086129367,2.940128104,8.318635902,gompertz,,24
10,7.397395808,0.086129367,2.940128104,8.318635902,gompertz,,24
12,0,0.106559369,3.284588161,8.386424162,gompertz,,9
14,25.23490032,0.100460176,3.099030754,9.065293009,gompertz,,13
15,11.5949889,0.089485312,2.616115065,8.375487777,gompertz,,52
16,12.7405187,0.116014298,3.424265598,8.233753217,gompertz,,9_23
18,26.25235957,0.079086165,2.922699028,9.084284809,gompertz,,17
19,0,0.058480483,3.16355178,7.815223927,gompertz,,102
20,0,0.106559369,3.284588161,8.386424162,gompertz,,9
21,11.5949889,0.089485312,2.616115065,8.375487777,gompertz,,52
22,7.397395808,0.086129367,2.940128104,8.318635902,gompertz,,24
30,20.44728239,0.094281702,3.235182842,7.349169206,gompertz,,2
33,0,0.106559369,3.284588161,8.386424162,gompertz,,9
34,26.25235957,0.079086165,2.922699028,9.084284809,gompertz,,17
35,0,0.106559369,3.284588161,8.386424162,gompertz,,9
37,0,0.113536407,2.680326023,9.044168475,gompertz,,36
38,0,0.113536407,2.680326023,9.044168475,gompertz,,36
39,25.23490032,0.100460176,3.099030754,9.065293009,gompertz,,13
40,0,0.113536407,2.680326023,9.044168475,gompertz,,36
43,0,0.058480483,3.16355178,7.815223927,gompertz,,102
46,26.25235957,0.079086165,2.922699028,9.084284809,gompertz,,17
47,12.30402019,0.133160379,2.769915239,8.888041363,gompertz,,92
49,34.86680698,0.081298374,2.905782476,8.513692169,baranyi,,48
50,20.88596809,0.098310344,2.968307199,7.81051003,gompertz,,6
51,0,0.106559369,3.284588161,8.386424162,gompertz,,9
53,34.86680698,0.081298374,2.905782476,8.513692169,baranyi,,48
54,0,0.058480483,3.16355178,7.815223927,gompertz,,102
57,7.397395808,0.086129367,2.940128104,8.318635902,gompertz,,24
59,12.7405187,0.116014298,3.424265598,8.233753217,gompertz,,9_23
60,11.5949889,0.089485312,2.616115065,8.375487777,gompertz,,52
61,28.42436912,0.077900209,3.240450181,9.201517119,gompertz,,81
62,0,0.106559369,3.284588161,8.386424162,gompertz,,9
63,26.25235957,0.079086165,2.922699028,9.084284809,gompertz,,17
64,25.48103739,0.125469227,3.563943035,8.081082272,gompertz,,23
65,11.16122172,0.121644917,3.526831884,8.236134538,baranyi,,56
66,34.86680698,0.081298374,2.905782476,8.513692169,baranyi,,48
67,25.23490032,0.100460176,3.099030754,9.065293009,gompertz,,13
68,11.16122172,0.121644917,3.526831884,8.236134538,baranyi,,56
70,20.44728239,0.094281702,3.235182842,7.349169206,gompertz,,2
71,26.25235957,0.079086165,2.922699028,9.084284809,gompertz,,17
72,0,0.058480483,3.16355178,7.815223927,gompertz,,102
73,0,0.106559369,3.284588161,8.386424162,gompertz,,9
74,28.42436912,0.077900209,3.240450181,9.201517119,gompertz,,81
76,0,0.058480483,3.16355178,7.815223927,gompertz,,102
77,7.397395808,0.086129367,2.940128104,8.318635902,gompertz,,24
78,7.397395808,0.086129367,2.940128104,8.318635902,gompertz,,24
79,0,0.113536407,2.680326023,9.044168475,gompertz,,36
80,11.5949889,0.089485312,2.616115065,8.375487777,gompertz,,52
82,11.5949889,0.089485312,2.616115065,8.375487777,gompertz,,52
83,0,0.106559369,3.284588161,8.386424162,gompertz,,9
84,28.42436912,0.077900209,3.240450181,9.201517119,gompertz,,81
85,25.48103739,0.125469227,3.563943035,8.081082272,gompertz,,23
86,26.25235957,0.079086165,2.922699028,9.084284809,gompertz,,17
87,25.23490032,0.100460176,3.099030754,9.065293009,gompertz,,13
88,0,0.106559369,3.284588161,8.386424162,gompertz,,9
89,0,0.08496699,2.571297735,8.57168148,gompertz,,75
90,7.397395808,0.086129367,2.940128104,8.318635902,gompertz,,24
91,0,0.113536407,2.680326023,9.044168475,gompertz,,36
93,34.86680698,0.081298374,2.905782476,8.513692169,baranyi,,48
94,26.25235957,0.079086165,2.922699028,9.084284809,gompertz,,17
95,25.48103739,0.125469227,3.563943035,8.081082272,gompertz,,23
96,0,0.113536407,2.680326023,9.044168475,gompertz,,36
97,0,0.106559369,3.284588161,8.386424162,gompertz,,9
98,28.42436912,0.077900209,3.240450181,9.201517119,gompertz,,81
99,0,0.113536407,2.680326023,9.044168475,gompertz,,36
101,0,0.058480483,3.16355178,7.815223927,gompertz,,102
105,20.88596809,0.098310344,2.968307199,7.81051003,gompertz,,6
106,7.397395808,0.086129367,2.940128104,8.318635902,gompertz,,24
107,0,0.106559369,3.284588161,8.386424162,gompertz,,9
108,7.397395808,0.086129367,2.940128104,8.318635902,gompertz,,24
109,7.364984282,0.075206383,3.18387624,8.166450989,baranyi,,41
110,28.42436912,0.077900209,3.240450181,9.201517119,gompertz,,81
111,25.23490032,0.100460176,3.099030754,9.065293009,gompertz,,13
112,11.5949889,0.089485312,2.616115065,8.375487777,gompertz,,52
113,26.25235957,0.079086165,2.922699028,9.084284809,gompertz,,17
114,28.42436912,0.077900209,3.240450181,9.201517119,gompertz,,81
115,0,0.106559369,3.284588161,8.386424162,gompertz,,9
116,20.88596809,0.098310344,2.968307199,7.81051003,gompertz,,6
117,20.88596809,0.098310344,2.968307199,7.81051003,gompertz,,6
119,0.02055741,0.140732672,2.981276036,8.03616023,gompertz,,100
120,0,0.113536407,2.680326023,9.044168475,gompertz,,36
122,26.25235957,0.079086165,2.922699028,9.084284809,gompertz,,17
125,20.44728239,0.094281702,3.235182842,7.349169206,gompertz,,2
127,20.88596809,0.098310344,2.968307199,7.81051003,gompertz,,6
128,20.88596809,0.098310344,2.968307199,7.81051003,gompertz,,6
129,11.5949889,0.089485312,2.616115065,8.375487777,gompertz,,52
131,0,0.106559369,3.284588161,8.386424162,gompertz,,9
132,0,0.106559369,3.284588161,8.386424162,gompertz,,9
133,28.42436912,0.077900209,3.240450181,9.201517119,gompertz,,81
134,28.42436912,0.077900209,3.240450181,9.201517119,gompertz,,81
135,28.42436912,0.077900209,3.240450181,9.201517119,gompertz,,81
141,28.42436912,0.077900209,3.240450181,9.201517119,gompertz,,81
142,20.44728239,0.094281702,3.235182842,7.349169206,gompertz,,2
143,11.16122172,0.121644917,3.526831884,8.236134538,baranyi,,56
144,34.86680698,0.081298374,2.905782476,8.513692169,baranyi,,48
145,26.25235957,0.079086165,2.922699028,9.084284809,gompertz,,17
146,12.7405187,0.116014298,3.424265598,8.233753217,gompertz,,9_23
147,28.42436912,0.077900209,3.240450181,9.201517119,gompertz,,81
148,0,0.106559369,3.284588161,8.386424162,gompertz,,9
149,0,0.058480483,3.16355178,7.815223927,gompertz,,102
150,0,0.058480483,3.16355178,7.815223927,gompertz,,102
13,25.23490032,0.100460176,3.099030754,9.065293009,gompertz,13,
9,0,0.106559369,3.284588161,8.386424162,gompertz,9,
52,11.5949889,0.089485312,2.616115065,8.375487777,gompertz,52,
23,25.48103739,0.125469227,3.563943035,8.081082272,gompertz,23,
100,0.02055741,0.140732672,2.981276036,8.03616023,gompertz,100,
6,20.88596809,0.098310344,2.968307199,7.81051003,gompertz,6,
24,7.397395808,0.086129367,2.940128104,8.318635902,gompertz,24,
48,34.86680698,0.081298374,2.905782476,8.513692169,baranyi,48,
36,0,0.113536407,2.680326023,9.044168475,gompertz,36,
17,26.25235957,0.079086165,2.922699028,9.084284809,gompertz,17,
81,28.42436912,0.077900209,3.240450181,9.201517119,gompertz,81,
75,0,0.08496699,2.571297735,8.57168148,gompertz,75,
56,11.16122172,0.121644917,3.526831884,8.236134538,baranyi,56,
92,12.30402019,0.133160379,2.769915239,8.888041363,gompertz,92,
102,0,0.058480483,3.16355178,7.815223927,gompertz,102,
2,20.44728239,0.094281702,3.235182842,7.349169206,gompertz,2,
