ST,lag,mu,N0,Nmax,modelname
1,19.5,0.0888,3.2505,7.1267,baranyi
2,19.5,0.0888,3.2505,7.1267,baranyi
3,0,0.0584,3.1428,7.8252,gompertz
4,0,0.0584,3.1428,7.8252,gompertz
5,25.2,0.0782,2.911,9.1106,gompertz
6,24.6,0.0832,3.0111,7.7365,gompertz
7,24.6,0.0832,3.0111,7.7365,gompertz
8,10.2,0.0808,2.94025,8.1244,gompertz
9,0,0.1062,3.258,8.1463,gompertz
10,10.2,0.0808,2.94025,8.1244,gompertz
11,12.1,0.1039,3.1097,8.2662,gompertz
12,0,0.1062,3.258,8.1463,gompertz
13,56.3,0.4635,3.8565,8.1605,baranyi
14,34.2,0.2837,3.4831,8.21335,gompertz
15,12.2,0.0886,2.663,8.3797,gompertz
16,21.33333333,0.200166667,3.3703,7.974666667,gompertz
17,25.2,0.0782,2.911,9.1106,gompertz
18,25.2,0.0782,2.911,9.1106,gompertz
19,0,0.0584,3.1428,7.8252,gompertz
20,0,0.1062,3.258,8.1463,gompertz
21,12.2,0.0886,2.663,8.3797,gompertz
22,10.2,0.0808,2.94025,8.1244,gompertz
23,56.9,0.3504,3.6199,7.7529,baranyi
24,8.2,0.073,3.2175,7.8691,buchanan
30,19.5,0.0888,3.2505,7.1267,baranyi
33,0,0.1062,3.258,8.1463,gompertz
34,25.2,0.0782,2.911,9.1106,gompertz
35,0,0.1062,3.258,8.1463,gompertz
36,0,0.1098,2.7322,8.9138,gompertz
37,0,0.1098,2.7322,8.9138,gompertz
38,0,0.1098,2.7322,8.9138,gompertz
39,56.3,0.4635,3.8565,8.1605,baranyi
40,0,0.1098,2.7322,8.9138,gompertz
41,3,0.0693,3.1627,8.2256,baranyi
43,0,0.0584,3.1428,7.8252,gompertz
46,25.2,0.0782,2.911,9.1106,gompertz
47,12.6,0.133,2.7765,8.8913,gompertz
48,34.9,0.0813,2.9058,8.5137,baranyi
49,34.9,0.0813,2.9058,8.5137,baranyi
50,24.6,0.0832,3.0111,7.7365,gompertz
51,0,0.1062,3.258,8.1463,gompertz
52,12.2,0.0886,2.663,8.3797,gompertz
53,34.9,0.0813,2.9058,8.5137,baranyi
54,0,0.0584,3.1428,7.8252,gompertz
56,8.4,0.1196,3.4938,8.2578,baranyi
57,10.2,0.0808,2.94025,8.1244,gompertz
59,21.33333333,0.200166667,3.3703,7.974666667,gompertz
60,12.2,0.0886,2.663,8.3797,gompertz
61,29.9,0.0803,3.2624,9.1391,gompertz
62,0,0.1062,3.258,8.1463,gompertz
63,25.2,0.0782,2.911,9.1106,gompertz
64,56.9,0.3504,3.6199,7.7529,baranyi
65,8.4,0.1196,3.4938,8.2578,baranyi
66,34.9,0.0813,2.9058,8.5137,baranyi
67,56.3,0.4635,3.8565,8.1605,baranyi
68,8.4,0.1196,3.4938,8.2578,baranyi
70,19.5,0.0888,3.2505,7.1267,baranyi
71,25.2,0.0782,2.911,9.1106,gompertz
72,0,0.0584,3.1428,7.8252,gompertz
73,21.33333333,0.200166667,3.3703,7.974666667,gompertz
74,19.15,0.09995,3.3781,8.69845,gompertz
75,0,0.0731,2.6457,9.0528,gompertz
76,0,0.0584,3.1428,7.8252,gompertz
77,10.2,0.0808,2.94025,8.1244,gompertz
78,10.2,0.0808,2.94025,8.1244,gompertz
79,0,0.1098,2.7322,8.9138,gompertz
80,12.2,0.0886,2.663,8.3797,gompertz
81,29.9,0.0803,3.2624,9.1391,gompertz
82,12.2,0.0886,2.663,8.3797,gompertz
83,28.45,0.2283,3.43895,7.9496,gompertz
84,29.9,0.0803,3.2624,9.1391,gompertz
85,56.9,0.3504,3.6199,7.7529,baranyi
86,25.2,0.0782,2.911,9.1106,gompertz
87,12.1,0.1039,3.1097,8.2662,gompertz
88,0,0.1062,3.258,8.1463,gompertz
89,0,0.0731,2.6457,9.0528,gompertz
90,10.2,0.0808,2.94025,8.1244,gompertz
91,0,0.1098,2.7322,8.9138,gompertz
92,12.6,0.133,2.7765,8.8913,gompertz
93,34.9,0.0813,2.9058,8.5137,baranyi
94,25.2,0.0782,2.911,9.1106,gompertz
95,56.9,0.3504,3.6199,7.7529,baranyi
96,0,0.1098,2.7322,8.9138,gompertz
97,21.33333333,0.200166667,3.3703,7.974666667,gompertz
98,29.9,0.0803,3.2624,9.1391,gompertz
99,0,0.1098,2.7322,8.9138,gompertz
100,7.1,0.1439,3.233,8.0248,gompertz
101,0,0.0584,3.1428,7.8252,gompertz
102,0,0.0584,3.1428,7.8252,gompertz
105,24.6,0.0832,3.0111,7.7365,gompertz
106,10.2,0.0808,2.94025,8.1244,gompertz
107,0,0.1062,3.258,8.1463,gompertz
108,10.2,0.0808,2.94025,8.1244,gompertz
109,3,0.0693,3.1627,8.2256,baranyi
110,29.9,0.0803,3.2624,9.1391,gompertz
111,56.3,0.4635,3.8565,8.1605,baranyi
112,12.2,0.0886,2.663,8.3797,gompertz
113,25.2,0.0782,2.911,9.1106,gompertz
114,29.9,0.0803,3.2624,9.1391,gompertz
115,0,0.1062,3.258,8.1463,gompertz
116,24.6,0.0832,3.0111,7.7365,gompertz
117,24.6,0.0832,3.0111,7.7365,gompertz
119,7.1,0.1439,3.233,8.0248,gompertz
120,0,0.1098,2.7322,8.9138,gompertz
122,25.2,0.0782,2.911,9.1106,gompertz
125,19.5,0.0888,3.2505,7.1267,baranyi
127,24.6,0.0832,3.0111,7.7365,gompertz
128,40.45,0.27335,3.4338,7.9485,gompertz
129,10.2,0.0808,2.94025,8.1244,gompertz
131,0,0.1062,3.258,8.1463,gompertz
132,0,0.1062,3.258,8.1463,gompertz
133,29.9,0.0803,3.2624,9.1391,gompertz
134,29.9,0.0803,3.2624,9.1391,gompertz
135,29.9,0.0803,3.2624,9.1391,gompertz
141,29.9,0.0803,3.2624,9.1391,gompertz
142,19.5,0.0888,3.2505,7.1267,baranyi
143,8.4,0.1196,3.4938,8.2578,baranyi
144,34.9,0.0813,2.9058,8.5137,baranyi
145,25.2,0.0782,2.911,9.1106,gompertz
146,21.33333333,0.200166667,3.3703,7.974666667,gompertz
147,29.9,0.0803,3.2624,9.1391,gompertz
148,0,0.1062,3.258,8.1463,gompertz
149,0,0.0584,3.1428,7.8252,gompertz
150,0,0.0584,3.1428,7.8252,gompertz
