VSL Number,Product,SampleID,Plant,Date Collected,Date Processed,Day,Test,GreaterThan/LessThan,Count Value,Countability
433,DRI Extras,15-1,Hood-Agawam,16-Jul-15,14-Jul-15,DI,SPC,,603,
433,DRI Extras,12-2,Hood-Agawam,16-Jul-15,14-Jul-15,DI,SPC,,849,
433,DRI Extras,15,Hood-Agawam,16-Jul-15,14-Jul-15,DI,SPC,,1490,
433,DRI Extras,13-2,Hood-Agawam,16-Jul-15,14-Jul-15,DI,SPC,,378,E
433,DRI Extras,22-1,Hood-Concord,15-Jul-15,13-Jul-15,DI,SPC,,1030,
433,DRI Extras,23-1,Hood-Concord,15-Jul-15,13-Jul-15,DI,SPC,,123,E
433,DRI Extras,23-2,Hood-Concord,15-Jul-15,13-Jul-15,DI,SPC,,143,E
433,DRI Extras,25,Hood-Concord,15-Jul-15,13-Jul-15,DI,SPC,,20,E
433,DRI Extras,22-2,Hood-Concord,15-Jul-15,13-Jul-15,DI,SPC,,838,
433,DRI Extras,32-1,Hood-Portland,15-Jul-15,13-Jul-15,DI,SPC,,123,E
433,DRI Extras,32-2,Hood-Portland,15-Jul-15,13-Jul-15,DI,SPC,,174,E
433,DRI Extras,33-1,Hood-Portland,15-Jul-15,13-Jul-15,DI,SPC,,297,E
433,DRI Extras,33-2,Hood-Portland,15-Jul-15,13-Jul-15,DI,SPC,,491,
433,DRI Extras,35,Hood-Portland,15-Jul-15,13-Jul-15,DI,SPC,,61,E
433,DRI Extras,35-1,Hood-Portland,15-Jul-15,13-Jul-15,DI,SPC,,31,E
433,DRI Extras,35-2,Hood-Portland,15-Jul-15,13-Jul-15,DI,SPC,,41,E
433,DRI Extras,42-1,Hood-Barre,16-Jul-15,14-Jul-15,DI,SPC,,102,E
433,DRI Extras,43-1,Hood-Barre,16-Jul-15,14-Jul-15,DI,SPC,,286,E
433,DRI Extras,12-2,Hood-Agawam,16-Jul-15,14-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,13-2,Hood-Agawam,16-Jul-15,14-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,15,Hood-Agawam,16-Jul-15,14-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,15-1,Hood-Agawam,16-Jul-15,14-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,22-1,Hood-Concord,15-Jul-15,13-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,22-2,Hood-Concord,15-Jul-15,13-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,23-1,Hood-Concord,15-Jul-15,13-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,23-2,Hood-Concord,15-Jul-15,13-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,25,Hood-Concord,15-Jul-15,13-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,32-1,Hood-Portland,15-Jul-15,13-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,32-2,Hood-Portland,15-Jul-15,13-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,33-1,Hood-Portland,15-Jul-15,13-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,33-2,Hood-Portland,15-Jul-15,13-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,35,Hood-Portland,15-Jul-15,13-Jul-15,DI,CVTA,,61,E
433,DRI Extras,35-1,Hood-Portland,15-Jul-15,13-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,35-2,Hood-Portland,15-Jul-15,13-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,42-1,Hood-Barre,16-Jul-15,14-Jul-15,DI,CVTA,<,10,E
433,DRI Extras,43-1,Hood-Barre,16-Jul-15,14-Jul-15,DI,CVTA,<,10,E
433,Core,11,Hood-Agawam,16-Jul-15,14-Jul-15,DI,SPC,,603,
433,Core,12,Hood-Agawam,16-Jul-15,14-Jul-15,DI,SPC,,920,
433,Core,14,Hood-Agawam,16-Jul-15,14-Jul-15,DI,SPC,,1080,
433,Core,21,Hood-Concord,15-Jul-15,13-Jul-15,DI,SPC,,735,
433,Core,22,Hood-Concord,15-Jul-15,13-Jul-15,DI,SPC,,1200,
433,Core,23,Hood-Concord,15-Jul-15,13-Jul-15,DI,SPC,,194,E
433,Core,24,Hood-Concord,15-Jul-15,13-Jul-15,DI,SPC,,746,
433,Core,31,Hood-Portland,15-Jul-15,13-Jul-15,DI,SPC,,838,
433,Core,32,Hood-Portland,15-Jul-15,13-Jul-15,DI,SPC,,174,E
433,Core,33,Hood-Portland,15-Jul-15,13-Jul-15,DI,SPC,,307,E
433,Core,34,Hood-Portland,15-Jul-15,13-Jul-15,DI,SPC,,225,E
433,Core,41,Hood-Barre,16-Jul-15,14-Jul-15,DI,SPC,,92,E
433,Core,42,Hood-Barre,16-Jul-15,14-Jul-15,DI,SPC,,817,
433,Core,43,Hood-Barre,16-Jul-15,14-Jul-15,DI,SPC,,225,E
433,Core,44,Hood-Barre,16-Jul-15,14-Jul-15,DI,SPC,,102,E
433,Core,11,Hood-Agawam,16-Jul-15,14-Jul-15,DI,CVTA,<,10,E
