ST,Frequency,mu
3,0.65%,0.058480483
4,0.65%,0.058480483
19,0.22%,0.058480483
43,0.22%,0.058480483
54,0.65%,0.058480483
72,0.22%,0.058480483
76,0.22%,0.058480483
101,0.22%,0.058480483
149,0.22%,0.058480483
150,0.22%,0.058480483
102,0.22%,0.058480483
109,0.22%,0.075206383
41,2.18%,0.075206383
61,0.44%,0.077900209
74,0.44%,0.077900209
84,0.22%,0.077900209
98,0.22%,0.077900209
110,0.44%,0.077900209
114,0.22%,0.077900209
133,0.22%,0.077900209
134,0.22%,0.077900209
135,0.22%,0.077900209
141,0.22%,0.077900209
147,0.22%,0.077900209
81,0.65%,0.077900209
5,0.22%,0.079086165
18,0.44%,0.079086165
34,0.44%,0.079086165
46,0.22%,0.079086165
63,0.22%,0.079086165
71,0.87%,0.079086165
86,0.22%,0.079086165
94,0.22%,0.079086165
113,0.22%,0.079086165
122,0.22%,0.079086165
145,0.22%,0.079086165
17,1.53%,0.079086165
49,0.44%,0.081298374
53,0.44%,0.081298374
66,0.22%,0.081298374
93,0.22%,0.081298374
144,0.22%,0.081298374
48,0.22%,0.081298374
89,0.22%,0.08496699
75,0.87%,0.08496699
8,0.22%,0.086129367
10,0.87%,0.086129367
22,0.44%,0.086129367
57,0.22%,0.086129367
77,0.22%,0.086129367
78,1.09%,0.086129367
90,0.22%,0.086129367
106,0.44%,0.086129367
108,0.44%,0.086129367
24,1.09%,0.086129367
15,0.44%,0.089485312
21,0.44%,0.089485312
60,0.44%,0.089485312
80,0.22%,0.089485312
82,1.09%,0.089485312
112,0.22%,0.089485312
129,0.22%,0.089485312
52,6.97%,0.089485312
1,1.53%,0.094281702
30,0.65%,0.094281702
70,0.22%,0.094281702
125,0.22%,0.094281702
142,0.22%,0.094281702
2,2.18%,0.094281702
7,0.22%,0.098310344
50,0.22%,0.098310344
105,0.22%,0.098310344
116,0.44%,0.098310344
117,0.44%,0.098310344
127,0.44%,0.098310344
128,0.65%,0.098310344
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
