"","Plant","VSLNumber","SampleID","Day_Initial_Actual","CVTA_D10","CVTA_D14","CVTA_D17","CVTA_D21","CVTA_D7","CVTA_DI","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI","LOD_CVTA_D10","LOD_CVTA_D14","LOD_CVTA_D17","LOD_CVTA_D21","LOD_CVTA_D7","LOD_CVTA_DI","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_SPC_D7","LOD_SPC_DI"
"1","Byrne Dairy","434","62",1,10,"10","10","10",10,"10","82","613","1780","83300",266,542,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"2","Byrne Dairy","434","62-1",1,10,"4e+05","100","31",10,"10","123","4e+05","102","65400",174,440,"<",">","<","OK","<","<","OK",">","OK","OK","OK","OK"
"3","Byrne Dairy","434","62-2",1,6640000,"1000","100","10",4900,"10","4910000","6140","24400","60500",1820,184,"OK","<","<","<","OK","<","OK","OK","OK","OK","OK","OK"
"4","Byrne Dairy","434","63",1,184,"10","10","10",10,"10","154","654","2960","19700",348,429,"OK","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"5","Byrne Dairy","434","63-2",1,10,"10","10","10",10,"10","41","941","245","13900",133,225,"<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"6","Byrne Dairy","437","22",1,10,"10","10","29600000",10,"10","949","4280","51500","2.87e+08",550,1190,"<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"7","Byrne Dairy","437","22-1",1,10,"10","10","10",10,"10","664","3030","194000","4e+05",1230,1090,"<","OK","<","<","<","<","OK","OK","OK",">","OK","OK"
"8","Byrne Dairy","437","22-2",1,3730000,"31100000","6.9e+07","2.32e+08",1880,"10","3670000","35700000","68500000","2.53e+08",2430,1230,"OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"9","Byrne Dairy","437","23",1,785,"10","10","20500000",10,"10","1390","921","40800","78400000",1650,2620,"OK","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"10","Byrne Dairy","437","23-2",1,45300000,"3.36e+08","3.24e+08","3.81e+08",141000,"10","5e+07","3.84e+08","3.51e+08","2.84e+08",128000,1830,"OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
