"","Plant","VSLNumber","SampleID","Day_Initial_Actual","Spoiled20000_yn","AnyGN_yn","exceed20000byD10_yn","exceed100000postD10_yn","HigherSPC_yn","GN_AtLeast2x","spoilagetype","SPC_DI","SPC_D7","SPC_D10","SPC_D14","SPC_D17","SPC_D21","CVTA_DI","CVTA_D7","CVTA_D10","CVTA_D14","CVTA_D17","CVTA_D21","LOD_SPC_DI","LOD_SPC_D7","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_CVTA_DI","LOD_CVTA_D7","LOD_CVTA_D10","LOD_CVTA_D14","LOD_CVTA_D17","LOD_CVTA_D21","Plant_VSLNumber_SampleID"
"1","23-03","463","11",2,"yes","no","no","yes","no","no","spore",62,"80","2000","22000","2200000","4.3e+08",5,"5","5","20","280","700","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","OK","OK","23-03_463_11"
"2","23-03","463","12",2,"yes","yes","no","yes","no","no","spore",2.5,"70","250","2200","21000","130000",5,"5","5","82","5","5300","belowLOD","OK","belowLOD","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","belowLOD","OK","23-03_463_12"
"3","23-03","463","12-1",2,"yes","no","no","no","no","no","spore",51,"40","250","31","22000","5400",5,"5","5","5","5","40","OK","OK","belowLOD","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","OK","23-03_463_12-1"
"4","23-03","463","13",2,"yes","yes","yes","no","yes","yes","ppc",72,"1000","2500000","25000","35000","3.3e+07",5,"1600","2500000","3.3e+07","1.3e+08","4.4e+07","OK","OK","OK","belowLOD","OK","OK","belowLOD","OK","OK","OK","OK","OK","23-03_463_13"
"5","23-03","463","14",2,"yes","yes","no","yes","no","yes","spore",20,"50","1000","5300000","2.8e+08","2700000",5,"5","5","220000","2.6e+07","2500","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","OK","belowLOD","23-03_463_14"
"6","23-03","468","21",3,"NotSpoiled","yes","no","no","yes","yes","NotSpoiled",220,"400","320","520","1400","20000",5,"5","5","5","20000","2500","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","23-03_468_21"
"7","23-03","468","21-1",3,"yes","yes","yes","no","yes","yes","ppc",390,"43000","1.2e+07","6.3e+08","2.7e+08","5.6e+08",5,"47000","1.5e+07","9e+08","4.2e+08","6.2e+08","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","23-03_468_21-1"
"8","23-03","468","22",3,"yes","yes","no","no","no","yes","REVIEW",190,"180","2400","1e+05","25","65000",5,"5","2900","3700","500","5","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","OK","OK","belowLOD","belowLOD","23-03_468_22"
"9","23-03","468","22-1",3,"yes","yes","yes","no","yes","yes","ppc",190,"4e+05","8e+07","25000","5.6e+08","8.2e+08",5,"4e+05","9.7e+07","50000","7.3e+08","8.4e+08","OK","aboveLOD","OK","belowLOD","OK","OK","belowLOD","aboveLOD","OK","belowLOD","OK","OK","23-03_468_22-1"
"10","23-03","468","23",3,"yes","yes","no","yes","yes","no","spore",490,"650","470","530","740","4e+06",5,"20","20","120","5","2800000","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","belowLOD","OK","23-03_468_23"
