"","spoilage_type","scenario","day","mean","sd"
"1","NotSpoiled","MB_MeanSpoilType_CT","1",0,0
"2","NotSpoiled","MB_MeanSpoilType_CT","2",0,0
"3","NotSpoiled","MB_MeanSpoilType_CT","3",0,0
"4","NotSpoiled","MB_MeanSpoilType_CT","4",0,0
"5","NotSpoiled","MB_MeanSpoilType_CT","5",0,0
"6","NotSpoiled","MB_MeanSpoilType_CT","6",0,0
"7","NotSpoiled","MB_MeanSpoilType_CT","7",0,0
"8","NotSpoiled","MB_MeanSpoilType_CT","8",0,0
"9","NotSpoiled","MB_MeanSpoilType_CT","9",0,0
"10","NotSpoiled","MB_MeanSpoilType_CT","10",0,0
"11","NotSpoiled","MB_MeanSpoilType_CT","11",0,0
"12","NotSpoiled","MB_MeanSpoilType_CT","12",0,0
"13","NotSpoiled","MB_MeanSpoilType_CT","13",0,0
"14","NotSpoiled","MB_MeanSpoilType_CT","14",0,0
"15","NotSpoiled","MB_MeanSpoilType_CT","15",0,0
"16","NotSpoiled","MB_MeanSpoilType_CT","16",0,0
"17","NotSpoiled","MB_MeanSpoilType_CT","17",0,0
"18","NotSpoiled","MB_MeanSpoilType_CT","18",0,0
"19","NotSpoiled","MB_MeanSpoilType_CT","19",0,0
"20","NotSpoiled","MB_MeanSpoilType_CT","20",0,0
"21","NotSpoiled","MB_MeanSpoilType_CT","21",0,0
"22","NotSpoiled","MB_MeanSpoilType_CT","22",0,0
"23","NotSpoiled","MB_MeanSpoilType_CT","23",0,0
"24","NotSpoiled","MB_MeanSpoilType_CT","24",0,0
"25","NotSpoiled","MB_MeanSpoilType_CT","25",0,0
"26","NotSpoiled","MB_MeanSpoilType_CT","26",0,0
"27","NotSpoiled","MB_MeanSpoilType_CT","27",0,0
"28","NotSpoiled","MB_MeanSpoilType_CT","28",0,0
"29","NotSpoiled","MB_MeanSpoilType_CT","29",0,0
"30","NotSpoiled","MB_MeanSpoilType_CT","30",0,0
"31","NotSpoiled","MB_MeanSpoilType_CT","31",0,0
"32","NotSpoiled","MB_MeanSpoilType_CT","32",0,0
"33","NotSpoiled","MB_MeanSpoilType_CT","33",0,0
"34","NotSpoiled","MB_MeanSpoilType_CT","34",0,0
"35","NotSpoiled","MB_MeanSpoilType_CT","35",0,0
"36","NotSpoiled","MB_MeanSpoilType_LT","1",0,0
"37","NotSpoiled","MB_MeanSpoilType_LT","2",0,0
