"","scenario","Bactofuge","PPCFreq","Temp","day","per_exceed1000","per_exceed5mill","per_exceed1mill","per_exceed20000","n_exceed1000","n_exceed5mill","n_exceed1mill","n_exceed20000","n_total"
"1","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","1",0,0,0,0,0,0,0,0,1000
"2","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","2",0,0,0,0,0,0,0,0,1000
"3","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","3",0,0,0,0,0,0,0,0,1000
"4","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","4",0.4,0,0,0,4,0,0,0,1000
"5","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","5",0.8,0,0,0.4,8,0,0,4,1000
"6","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","6",1.2,0,0.2,0.8,12,0,2,8,1000
"7","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","7",2,0.3,0.5,1.1,20,3,5,11,1000
"8","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","8",2.8,0.3,0.6,1.4,28,3,6,14,1000
"9","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","9",3.9,0.4,0.8,2.3,39,4,8,23,1000
"10","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","10",5.9,0.5,0.9,3,59,5,9,30,1000
"11","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","11",7.4,0.6,1.4,4.1,74,6,14,41,1000
"12","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","12",9,0.7,1.7,5,90,7,17,50,1000
"13","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","13",10.2,0.9,2,7,102,9,20,70,1000
"14","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","14",12.7,0.9,2.2,8.4,127,9,22,84,1000
"15","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","15",14.8,1,2.8,9.2,148,10,28,92,1000
"16","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","16",17.8,1.4,4.3,10.6,178,14,43,106,1000
"17","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","17",19.5,1.9,5.2,13.3,195,19,52,133,1000
"18","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","18",22.3,2.3,6.1,15.4,223,23,61,154,1000
"19","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","19",25.4,2.5,6.7,17,254,25,67,170,1000
"20","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","20",27.8,2.6,7.7,18.1,278,26,77,181,1000
"21","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","21",30.2,2.9,8.3,20.5,302,29,83,205,1000
"22","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","22",33.5,3.2,9.5,23.1,335,32,95,231,1000
"23","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","23",36.1,3.2,10.4,24.6,361,32,104,246,1000
"24","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","24",39.7,3.8,11.3,26.6,397,38,113,266,1000
"25","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","25",41.9,4.3,12.4,29.5,419,43,124,295,1000
"26","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","26",45,4.6,13.7,31.7,450,46,137,317,1000
"27","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","27",47.7,5,14.3,33.9,477,50,143,339,1000
"28","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","28",50.1,5.6,15.2,36.9,501,56,152,369,1000
"29","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","29",51.9,6,16.7,39,519,60,167,390,1000
"30","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","30",53.3,6.7,19,41.8,533,67,190,418,1000
"31","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","31",56.3,7.4,20.2,45.4,563,74,202,454,1000
