"","Plant","VSLNumber","SampleID","spoilagetype","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_SPC_D7","LOD_SPC_DI"
"1","Byrne Dairy","434","62","spore",82,613,1780,83300,266,542,"OK","OK","OK","OK","OK","OK"
"2","Byrne Dairy","434","62-1","spore",123,4e+05,102,65400,174,440,"OK",">","OK","OK","OK","OK"
"3","Byrne Dairy","434","62-2","ppc",4910000,6140,24400,60500,1820,184,"OK","OK","OK","OK","OK","OK"
"4","Byrne Dairy","434","63","NotSpoiled",154,654,2960,19700,348,429,"OK","OK","OK","OK","OK","OK"
"5","Byrne Dairy","434","63-2","NotSpoiled",41,941,245,13900,133,225,"OK","OK","OK","OK","OK","OK"
"6","Byrne Dairy","437","22","spore",949,4280,51500,2.87e+08,550,1190,"OK","OK","OK","OK","OK","OK"
"7","Byrne Dairy","437","22-1","spore",664,3030,194000,4e+05,1230,1090,"OK","OK","OK",">","OK","OK"
"8","Byrne Dairy","437","22-2","ppc",3670000,35700000,68500000,2.53e+08,2430,1230,"OK","OK","OK","OK","OK","OK"
"9","Byrne Dairy","437","23","spore",1390,921,40800,78400000,1650,2620,"OK","OK","OK","OK","OK","OK"
"10","Byrne Dairy","437","23-2","ppc",5e+07,3.84e+08,3.51e+08,2.84e+08,128000,1830,"OK","OK","OK","OK","OK","OK"
"11","Byrne Dairy","439","52","spore",92,287,5710,181000,92,102,"OK","OK","OK","OK","OK","OK"
"12","Byrne Dairy","439","52-1","spore",51,736,4e+05,195000,113,194,"OK","OK",">","OK","OK","OK"
"13","Byrne Dairy","439","52-2","ppc",175000,1.9e+08,613000,3.14e+08,521,174,"OK","OK","OK","OK","OK","OK"
"14","Byrne Dairy","439","53","spore",31,2800,1290,53100,153,174,"OK","OK","OK","OK","OK","OK"
"15","Byrne Dairy","439","53-1","ppc",32100000,1.35e+08,3.46e+08,1.76e+08,81800,21,"OK","OK","OK","OK","OK","OK"
"16","Byrne Dairy","439","53-2","ppc",90200000,2.84e+08,3.2e+08,1.35e+08,6910000,215,"OK","OK","OK","OK","OK","OK"
"17","Byrne Dairy","442","22","ppc",1.34e+08,4.96e+08,1e+05,3090000,4960000,6460,"OK","OK","<","OK","OK","OK"
"18","Byrne Dairy","442","22-1","ppc",36900000,66500000,57600000,3.77e+08,99900,144,"OK","OK","OK","OK","OK","OK"
"19","Byrne Dairy","442","22-2","spore",1990,14300000,3.94e+08,19600000,2060,2490,"OK","OK","OK","OK","OK","OK"
"20","Byrne Dairy","442","23","spore",1100,116000,62700000,1.2e+07,430,266,"OK","OK","OK","OK","OK","OK"
"21","Byrne Dairy","442","23-1","ppc",735000,4930000,15400000,13700000,6620,4810,"OK","OK","OK","OK","OK","OK"
"22","Byrne Dairy","442","23-2","ppc",40400000,1.1e+08,1.8e+08,2.36e+08,128000,501,"OK","OK","OK","OK","OK","OK"
"23","Byrne Dairy","457","21","NotSpoiled",2000,20,2700,10000,170,200,"OK","OK","OK","OK","OK","OK"
"24","Byrne Dairy","457","22","NotSpoiled",290,100,2000,2700,120,240,"OK","OK","OK","OK","OK","OK"
"25","Byrne Dairy","457","22-1","spore",3200,1300000,6e+07,4.4e+08,240,240,"OK","OK","OK","OK","OK","OK"
"26","Byrne Dairy","457","22-2","ppc",1.9e+07,6.2e+07,2.2e+08,5.1e+08,4e+05,350,"OK","OK","OK","OK",">","OK"
"27","Byrne Dairy","457","22-3","ppc",9.5e+07,2.4e+09,1.9e+08,NA,4e+05,540,"OK","OK","OK","OK",">","OK"
"28","Byrne Dairy","457","23","spore",170,120000,130,870,300,180,"OK","OK","OK","OK","OK","OK"
"29","Byrne Dairy","457","23-1","spore",240,3100,20000,3400000,310,420,"OK","OK","OK","OK","OK","OK"
"30","Byrne Dairy","457","23-2","ppc",3400000,2.3e+07,4.3e+07,7.6e+07,500,330,"OK","OK","OK","OK","OK","OK"
"31","Byrne Dairy","457","23-3","NotSpoiled",170,130,150,2400,220,540,"OK","OK","OK","OK","OK","OK"
"32","Byrne Dairy","457","23-4","spore",200,5100,46000,160000,220,300,"OK","OK","OK","OK","OK","OK"
