"","Plant","VSLNumber","SampleID","Day_Initial_Actual","spoilagetype","Log10CFU_Initial","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_SPC_D7","LOD_SPC_DI","Log10CFU_Initial_1logRed","Log10CFU_Initial_2logRed","CFU_Initial","CFU_Initial_1logRed","CFU_Initial_2logRed"
"1","Byrne Dairy","434","62-2",1,"ppc",2.083801039,4910000,6140,24400,60500,1820,184,"OK","OK","OK","OK","OK","OK",1.083801039,0.0838010389999999,121.283309445603,12.1283309445603,1.21283309445603
"2","Byrne Dairy","437","22-2",1,"ppc",1.469447965,3670000,35700000,68500000,2.53e+08,2430,1230,"OK","OK","OK","OK","OK","OK",0.469447965,-0.530552035,29.474603054477,2.9474603054477,0.29474603054477
"3","Byrne Dairy","437","23-2",1,"ppc",-0.10218369,5e+07,3.84e+08,3.51e+08,2.84e+08,128000,1830,"OK","OK","OK","OK","OK","OK",-1.10218369,-2.10218369,0.790344271814979,0.0790344271814979,0.00790344271814979
"4","Byrne Dairy","439","52-2",1,"ppc",-0.095935718,175000,1.9e+08,613000,3.14e+08,521,174,"OK","OK","OK","OK","OK","OK",-1.095935718,-2.095935718,0.801796732367977,0.0801796732367977,0.00801796732367977
"5","Byrne Dairy","439","53-1",1,"ppc",1.104184663,32100000,1.35e+08,3.46e+08,1.76e+08,81800,21,"OK","OK","OK","OK","OK","OK",0.104184663,-0.895815337,12.7111447107784,1.27111447107784,0.127111447107784
"6","Byrne Dairy","439","53-2",0,"ppc",1.867065411,90200000,2.84e+08,3.2e+08,1.35e+08,6910000,215,"OK","OK","OK","OK","OK","OK",0.867065411,-0.132934589,73.6317989230965,7.36317989230965,0.736317989230965
"7","Byrne Dairy","442","22",0,"ppc",1.507312146,1.34e+08,4.96e+08,1e+05,3090000,4960000,6460,"OK","OK","<","OK","OK","OK",0.507312146,-0.492687854,32.1597116405084,3.21597116405084,0.321597116405084
"8","Byrne Dairy","442","22-1",1,"ppc",1.034117878,36900000,66500000,57600000,3.77e+08,99900,144,"OK","OK","OK","OK","OK","OK",0.034117878,-0.965882122,10.8172751840135,1.08172751840135,0.108172751840135
"9","Byrne Dairy","442","23-1",1,"ppc",0.669503445,735000,4930000,15400000,13700000,6620,4810,"OK","OK","OK","OK","OK","OK",-0.330496555,-1.330496555,4.67200657182312,0.467200657182312,0.0467200657182312
"10","Byrne Dairy","442","23-2",1,"ppc",1.0012265,40400000,1.1e+08,1.8e+08,2.36e+08,128000,501,"OK","OK","OK","OK","OK","OK",0.00122650000000002,-0.9987735,10.0282811220187,1.00282811220187,0.100282811220187
"11","Byrne Dairy","457","22-2",2,"ppc",0.893282947,1.9e+07,6.2e+07,2.2e+08,5.1e+08,4e+05,350,"OK","OK","OK","OK",">","OK",-0.106717053,-1.106717053,7.82137208485847,0.782137208485847,0.0782137208485847
"12","Byrne Dairy","457","22-3",2,"ppc",1.129973709,9.5e+07,2.4e+09,1.9e+08,NA,4e+05,540,"OK","OK","OK","OK",">","OK",0.129973709,-0.870026291,13.4888122254035,1.34888122254035,0.134888122254035
"13","Byrne Dairy","457","23-2",2,"ppc",-2.190289946,3400000,2.3e+07,4.3e+07,7.6e+07,500,330,"OK","OK","OK","OK","OK","OK",-3.190289946,-4.190289946,0.00645223317771814,0.000645223317771814,6.45223317771814e-05
"14","Byrne Dairy","Aim2","Prelim",2,"ppc",-2.326684253,35300000,177500000,NA,NA,48650,3240,"OK","OK","OK","OK","OK","OK",-3.326684253,-4.326684253,0.00471319867588934,0.000471319867588934,4.71319867588934e-05
"15","Byrne Dairy","Aim2","Prelim",2,"ppc",-2.326684253,9575000,3.9e+07,NA,NA,3210,2105,"OK","OK","OK","OK","OK","OK",-3.326684253,-4.326684253,0.00471319867588934,0.000471319867588934,4.71319867588934e-05
"16","Byrne Dairy","Aim2","Prelim",2,"ppc",-2.326684253,13800000,51100,4.83e+08,613000,4150,2450,"OK","OK","OK","OK","OK","OK",-3.326684253,-4.326684253,0.00471319867588934,0.000471319867588934,4.71319867588934e-05
"17","Byrne Dairy","Aim2","Prelim",2,"ppc",-2.326684253,28750000,267500000,NA,NA,66850,2370,"OK","OK","OK","OK","OK","OK",-3.326684253,-4.326684253,0.00471319867588934,0.000471319867588934,4.71319867588934e-05
"18","Byrne Dairy","Aim2","Prelim",2,"ppc",-2.326684253,16250000,2.51e+08,NA,NA,31700,2975,"OK","OK","OK","OK","OK","OK",-3.326684253,-4.326684253,0.00471319867588934,0.000471319867588934,4.71319867588934e-05
"19","Byrne Dairy","Aim2","Prelim",2,"ppc",-2.326684253,42300000,2.49e+08,NA,NA,53250,2140,"OK","OK","OK","OK","OK","OK",-3.326684253,-4.326684253,0.00471319867588934,0.000471319867588934,4.71319867588934e-05
"20","Cornell Dairy","434","72",1,"ppc",1.200933979,34500000,3.88e+08,4.01e+08,2.05e+08,4e+05,164,"OK","OK","OK","OK",">","OK",0.200933979,-0.799066021,15.8830527771113,1.58830527771113,0.158830527771113
"21","Cornell Dairy","434","72-1",1,"ppc",2.317059664,41800000,3.31e+08,3.79e+08,5.28e+08,4e+05,133,"OK","OK","OK","OK",">","OK",1.317059664,0.317059664,207.519859163707,20.7519859163707,2.07519859163707
"22","Cornell Dairy","434","73",1,"ppc",1.001622798,41500000,1.38e+08,2.26e+08,2.76e+08,4e+05,123,"OK","OK","OK","OK",">","OK",0.00162279800000009,-0.998377202,10.0374362039095,1.00374362039095,0.100374362039095
"23","Cornell Dairy","434","73-1",1,"ppc",1.071733986,37900000,1.87e+08,3.56e+08,2.53e+08,4e+05,450,"OK","OK","OK","OK",">","OK",0.0717339859999999,-0.928266014,11.7959788717982,1.17959788717982,0.117959788717982
"24","Cornell Dairy","439","63",0,"ppc",1.952165222,499000,1000,266,3900,6200,246,"OK","<","OK","OK","OK","OK",0.952165222,-0.0478347779999999,89.5705460876973,8.95705460876973,0.895705460876973
"25","Garelick Farms","437","72",2,"ppc",1.847758219,4430000,21500,2530000,15500000,8310,389,"OK","OK","OK","OK","OK","OK",0.847758219,-0.152241781,70.4300860492649,7.04300860492649,0.704300860492649
"26","Garelick Farms","437","72-1",2,"ppc",-0.211678028,10800000,2.18e+08,4310000,34500000,4710,327,"OK","OK","OK","OK","OK","OK",-1.211678028,-2.211678028,0.614217197342171,0.0614217197342171,0.00614217197342171
"27","Garelick Farms","437","73",2,"ppc",1.780936731,8770000,16000,5130000,1970000,3220,348,"OK","OK","OK","OK","OK","OK",0.780936731,-0.219063269,60.386065118598,6.0386065118598,0.60386065118598
"28","Garelick Farms","437","73-2",2,"ppc",2.544955056,6550000,4050,57800,1380000,52700,338,"OK","OK","OK","OK","OK","OK",1.544955056,0.544955056,350.715577436701,35.0715577436701,3.50715577436701
"29","Garelick Farms","458","12",1,"ppc",0.893389971,1.7e+07,1.1e+08,8e+06,6.6e+07,23000,1000,"OK","OK","OK","OK","OK","OK",-0.106610029,-1.106610029,7.82329975769404,0.782329975769404,0.0782329975769404
"30","Garelick Farms","458","12-1",1,"ppc",1.038213097,9800000,8e+07,2.1e+08,1.3e+08,56000,860,"OK","OK","OK","OK","OK","OK",0.0382130970000001,-0.961786903,10.9197600922733,1.09197600922733,0.109197600922733
"31","Garelick Farms","458","13-2",1,"ppc",0.947484987,1.2e+07,2.6e+08,3.2e+08,7.2e+07,43000,710,"OK","OK","OK","OK","OK","OK",-0.0525150130000001,-1.052515013,8.86104591637389,0.886104591637389,0.0886104591637389
"32","Garelick Farms","Aim2","Prelim",2,"ppc",NA,20750000,92250000,NA,NA,69750,888,"OK","OK","OK","OK","OK","OK",NA,NA,NA,NA,NA
"33","Garelick Farms","Aim2","Prelim",2,"ppc",NA,4955000,17150000,NA,NA,1535,776,"OK","OK","OK","OK","OK","OK",NA,NA,NA,NA,NA
"34","Garelick Farms","Aim2","Prelim",2,"ppc",NA,19600000,1.1e+08,NA,NA,14550,532,"OK","OK","OK","OK","OK","OK",NA,NA,NA,NA,NA
"35","Garelick Farms","Aim2","Prelim",2,"ppc",NA,28950000,NA,NA,NA,5090000,838,"OK","OK","OK","OK","OK","OK",NA,NA,NA,NA,NA
"36","Garelick Farms","Aim2","Prelim",2,"ppc",NA,23500000,81600000,NA,NA,4e+05,603,"OK","OK","OK","OK","OK","OK",NA,NA,NA,NA,NA
"37","Garelick Farms","Aim2","Prelim",2,"ppc",NA,12450000,18750000,NA,NA,1605,490,"OK","OK","OK","OK","OK","OK",NA,NA,NA,NA,NA
"38","Hood-Agawam","438","12",1,"ppc",1.602176552,12500000,20600000,72300000,4.98e+09,11700,360,"OK","OK","OK","OK","OK","OK",0.602176552,-0.397823448,40.0107370754366,4.00107370754366,0.400107370754366
"39","Hood-Agawam","441","63-2",2,"ppc",-0.189684477,3050000,33100000,71500000,1e+05,1700,481,"OK","OK","OK","<","OK","OK",-1.189684477,-2.189684477,0.646123479251856,0.0646123479251856,0.00646123479251855
"40","Hood-Concord","438","23-2",2,"ppc",0.353288651,3650000,10600000,1.16e+08,86700000,15900,2710,"OK","OK","OK","OK","OK","OK",-0.646711349,-1.646711349,2.25573797558547,0.225573797558547,0.0225573797558547
"41","Hood-Concord","440","82",2,"ppc",-0.462738767,10200000,1.97e+08,55900000,2.76e+08,6940,951,"OK","OK","OK","OK","OK","OK",-1.462738767,-2.462738767,0.34455712341551,0.034455712341551,0.0034455712341551
"42","Hood-Concord","440","83-2",2,"ppc",2.446234766,10800000,1000,61400,881000,27800,685,"OK","<","OK","OK","OK","OK",1.446234766,0.446234766,279.405381109323,27.9405381109323,2.79405381109323
"43","Hood-Portland","433","32",2,"ppc",0.096555353,11300000,2.16e+08,2.35e+08,7.08e+08,3510,174,"OK","OK","OK","OK","OK","OK",-0.903444647,-1.903444647,1.24897962313482,0.124897962313482,0.0124897962313482
"44","Hood-Portland","433","33-1",2,"ppc",-0.423436733,1700000,26800000,10000,3520,1690,297,"OK","OK","<","OK","OK","OK",-1.423436733,-2.423436733,0.377192689554223,0.0377192689554223,0.00377192689554223
"45","Hood-Portland","433","34",2,"ppc",-0.444657611,8330000,2.73e+08,0,1.43e+09,1120,225,"OK","OK","OK","OK","OK","OK",-1.444657611,-2.444657611,0.35920501302269,0.035920501302269,0.0035920501302269
