OriginalAT,ClosestAT
83,23
184,23
189,23
111,23
28,23
28,23
23,23
23,23
29,23
29,23
29,23
345,23
274,23
338,23
17,17
17,17
303,17
303,17
303,17
299,17
151,61
151,61
151,61
342,3
132,3
132,3
90,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
75,3
75,3
75,3
75,3
75,3
75,3
75,3
75,3
75,3
75,3
75,3
75,3
75,3
75,3
75,3
75,3
75,3
75,3
97,3
340,340
340,340
170,179
170,179
170,179
157,179
157,179
239,179
239,179
199,179
199,179
199,179
199,179
179,179
179,179
179,179
179,179
179,179
179,179
179,179
179,179
179,179
179,179
334,179
139,159
343,159
343,159
138,159
138,159
138,159
138,159
332,159
77,45
41,45
168,45
39,45
39,45
39,45
163,45
87,45
87,45
87,45
87,45
335,45
336,45
339,45
349,45
346,15
19,15
348,15
36,15
16,15
2,15
2,15
2,15
35,15
35,15
40,15
40,15
74,15
74,15
7,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
50,15
50,15
50,15
21,15
21,15
21,15
21,15
21,15
13,15
18,15
27,15
61,61
61,61
61,61
