VSL_Counts_Gpos_D21,log_VSL
2700,3.431363764
200000,5.301029996
3100000,6.491361694
920000,5.963787827
170000000,8.230448921
1800000,6.255272505
27000,4.431363764
8600,3.934498451
70000,4.84509804
38000000,7.579783597
1600000,6.204119983
17000000,7.230448921
3200000,6.505149978
81000,4.908485019
320000,5.505149978
87000,4.939519253
24000000,7.380211242
900000,5.954242509
7200,3.857332496
240000,5.380211242
340000000,8.531478917
150000000,8.176091259
170000000,8.230448921
6200000,6.792391689
7200000,6.857332496
1000000,6
4700000000,9.672097858
310000,5.491361694
340000000,8.531478917
240000,5.380211242
4400000,6.643452676
3700,3.568201724
210000000,8.322219295
4300000000,9.633468456
1700,3.230448921
3800000000,9.579783597
