Genus,Species,AT,n_TX1,pct_TX1,n_NY1,pct_NY1,n_TX2,pct_TX2,n_Txcom,pct_Txcom
Bacillus,licheniformis,1,10,10,,,2,6,12,9%
Bacillus,odorifer,2,,,3,2,,,0,0%
Bacillus,weihenstephanensis,3,,,22,14,,,0,0%
Bacillus,licheniformis,6,1,1,,,2,6,3,2%
Bacillus,odorifer,7,2,2,1,<1,1,3,3,2%
Bacillus,odorifer,11,1,1,,,,,1,1%
Bacillus,odorifer,13,,,1,<1,,,0,0%
Bacillus,odorifer,15,10,10,15,9,,,10,8%
Bacillus,odorifer,16,,,1,<1,,,0,0%
Viridibacillus,arvi/aernosi,17,,,2,1,,,0,0%
Bacillus,odorifer,18,,,1,<1,1,3,1,1%
Bacillus,odorifer,19,,,1,<1,,,0,0%
Bacillus,odorifer,21,1,1,5,3,2,6,3,2%
Bacillus,amylolyticus s.l.,23,,,2,1,,,0,0%
Bacillus,odorifer,27,4,4,1,<1,3,9,7,5%
Bacillus,amylolyticus s.l.,28,,,2,1,,,0,0%
Bacillus,amylolyticus s.l.,29,,,3,2,,,0,0%
Bacillus,odorifer,32,2,2,,,,,2,2%
Bacillus,odorifer,35,,,2,1,,,0,0%
Bacillus,odorifer,36,1,1,1,<1,,,1,1%
Bacillus,graminis,39,,,3,2,,,0,0%
Bacillus,odorifer,40,,,2,1,,,0,0%
Bacillus,borealis,41,,,1,<1,,,0,0%
Bacillus,sp. 1,42,1,1,,,,,1,1%
Bacillus,amylolyticus,49,,,,,1,3,1,1%
Bacillus,odorifer,50,2,2,3,2,,,2,2%
Bacillus,mosaicus,61,2,2,3,2,,,2,2%
Bacillus,c.f. peoriae,67,3,3,,,,,3,2%
Bacillus,odorifer,74,1,1,2,1,,,1,1%
Bacillus,weihenstephanensis,75,,,18,11,,,0,0%
Bacillus,sp. 2,77,1,1,1,<1,,,1,1%
Bacillus,amylolyticus s.l.,83,,,1,<1,,,0,0%
Bacillus,graminis,87,,,4,3,,,0,0%
Bacillus,weihenstephanensis,90,,,1,<1,,,0,0%
Bacillus,weihenstephanensis,97,,,1,<1,,,0,0%
Bacillus,amylolyticus,111,1,1,1,<1,1,3,2,2%
Bacillus,safensis,124,2,2,,,,,2,2%
Solibacillus,sp. 3,126,,,,,1,3,1,1%
Bacillus,toyonensis,129,1,1,,,,,1,1%
Bacillus,weihenstephanensis,132,,,2,1,,,0,0%
Bacillus,c.f. cookii,138,,,4,3,,,0,0%
Bacillus,lactis,139,,,1,<1,,,0,0%
Bacillus,safensis,140,2,2,,,,,2,2%
Bacillus,safensis,141,1,1,,,,,1,1%
Bacillus,megaterium,151,,,3,2,,,0,0%
Bacillus,c.f. peoriae,157,,,2,1,,,0,0%
Bacillus,graminis,163,,,1,<1,,,0,0%
Bacillus,sp. 5,168,,,1,<1,,,0,0%
Bacillus,c.f. peoriae,170,,,3,2,,,0,0%
