"","Plant","VSLNumber","SampleID","Day_Initial_Actual","CVTA_D10","CVTA_D14","CVTA_D17","CVTA_D21","CVTA_D7","CVTA_DI","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI","LOD_CVTA_D10","LOD_CVTA_D14","LOD_CVTA_D17","LOD_CVTA_D21","LOD_CVTA_D7","LOD_CVTA_DI","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_SPC_D7","LOD_SPC_DI"
"1","Byrne Dairy","434","62",1,"10","10","10","10","10","10","82","NotTested","NotTested","NotTested","266","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"2","Byrne Dairy","434","62-1",1,"10","4e+05","100","31","10","10","123","4e+05","102","NotTested","174","NotTested","<",">","<","OK","<","<","OK",">","OK","OK","OK","OK"
"3","Byrne Dairy","434","62-2",1,"NotTested","1000","100","10","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","184","OK","<","<","<","OK","<","OK","OK","OK","OK","OK","OK"
"4","Byrne Dairy","434","63",1,"184","10","10","10","10","10","154","NotTested","NotTested","NotTested","348","NotTested","OK","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"5","Byrne Dairy","434","63-2",1,"10","10","10","10","10","10","41","NotTested","245","NotTested","133","225","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"6","Byrne Dairy","437","22",1,"10","10","10","NotTested","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"7","Byrne Dairy","437","22-1",1,"10","10","10","10","10","10","NotTested","NotTested","NotTested","4e+05","NotTested","NotTested","<","OK","<","<","<","<","OK","OK","OK",">","OK","OK"
"8","Byrne Dairy","437","22-2",1,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"9","Byrne Dairy","437","23",1,"NotTested","10","10","NotTested","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"10","Byrne Dairy","437","23-2",1,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"11","Byrne Dairy","439","52",1,"10","10","10","10","10","10","92","287","NotTested","NotTested","92","102","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"12","Byrne Dairy","439","52-1",1,"10","10","4e+05","10","10","10","51","NotTested","4e+05","NotTested","113","194","<","<",">","<","<","<","OK","OK",">","OK","OK","OK"
"13","Byrne Dairy","439","52-2",1,"NotTested","NotTested","204000","NotTested","NotTested","10","NotTested","NotTested","613000","NotTested","NotTested","174","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"14","Byrne Dairy","439","53",1,"10","10","10","10","10","1","31","NotTested","NotTested","NotTested","153","174","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"15","Byrne Dairy","439","53-1",1,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","21","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"16","Byrne Dairy","439","53-2",0,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","215","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"17","Byrne Dairy","442","22",0,"NotTested","NotTested","1e+05","10","NotTested","10","NotTested","NotTested","1e+05","NotTested","NotTested","NotTested","OK","OK","<","<","OK","<","OK","OK","<","OK","OK","OK"
"18","Byrne Dairy","442","22-1",1,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","144","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"19","Byrne Dairy","442","22-2",1,"10","NotTested","NotTested","NotTested","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"20","Byrne Dairy","442","23",0,"389","10","NotTested","NotTested","10","10","NotTested","NotTested","NotTested","NotTested","430","266","OK","<","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"21","Byrne Dairy","442","23-1",1,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"22","Byrne Dairy","442","23-2",1,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"23","Byrne Dairy","457","21",2,"20","20","20","20","20","20","NotTested","20","NotTested","NotTested","170","200","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"24","Byrne Dairy","457","22",2,"20","20","20","20","20","NotTested","290","100","NotTested","NotTested","120","240","<","<","<","<","<","OK","OK","OK","OK","OK","OK","OK"
"25","Byrne Dairy","457","22-1",2,"NotTested","NotTested","NotTested","NotTested","20","20","NotTested","NotTested","NotTested","NotTested","240","240","OK","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"26","Byrne Dairy","457","22-2",2,"NotTested","NotTested","NotTested","NotTested","4e+05","20","NotTested","NotTested","NotTested","NotTested","4e+05","350","OK","OK","OK","OK",">","<","OK","OK","OK","OK",">","OK"
"27","Byrne Dairy","457","22-3",2,"4e+08","NotTested","2e+08","NotTested","20","20","NotTested","NotTested","NotTested","NotTested","4e+05","NotTested",">","OK","OK","OK","<","<","OK","OK","OK","OK",">","OK"
"28","Byrne Dairy","457","23",2,"20","20","NotTested","20","20","20","170","NotTested","130","NotTested","300","180","<","<","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"29","Byrne Dairy","457","23-1",2,"20","20","2000","200","20","100","240","NotTested","20000","NotTested","310","NotTested","<","<","<","<","<","OK","OK","OK","OK","OK","OK","OK"
"30","Byrne Dairy","457","23-2",2,"NotTested","NotTested","NotTested","NotTested","200","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","330","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK"
"31","Byrne Dairy","457","23-3",2,"20","20","20","20","20","20","170","130","150","NotTested","220","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"32","Byrne Dairy","457","23-4",2,"20","360","NotTested","NotTested","20","20","200","NotTested","NotTested","NotTested","220","300","<","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"33","Byrne Dairy","457","24",2,"20","20","180","4e+05","20","20","160","130","NotTested","NotTested","300","300","<","<","OK",">","<","<","OK","OK","OK","OK","OK","OK"
"34","Byrne Dairy","457","24-1",2,"20","20","12000","200","20","20","270","NotTested","NotTested","NotTested","350","250","<","<","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"35","Cornell Dairy","434","72",1,"NotTested","NotTested","NotTested","NotTested","4e+05","10","NotTested","NotTested","NotTested","NotTested","4e+05","164","OK","OK","OK","OK",">","OK","OK","OK","OK","OK",">","OK"
"36","Cornell Dairy","434","72-1",1,"NotTested","NotTested","NotTested","NotTested","4e+05","10","NotTested","NotTested","NotTested","NotTested","4e+05","133","OK","OK","OK","OK",">","OK","OK","OK","OK","OK",">","OK"
"37","Cornell Dairy","434","73",1,"NotTested","NotTested","NotTested","NotTested","4e+05","10","NotTested","NotTested","NotTested","NotTested","4e+05","123","OK","OK","OK","OK",">","OK","OK","OK","OK","OK",">","OK"
"38","Cornell Dairy","434","73-1",1,"NotTested","NotTested","NotTested","NotTested","4e+05","10","NotTested","NotTested","NotTested","NotTested","4e+05","NotTested","OK","OK","OK","OK",">","<","OK","OK","OK","OK",">","OK"
"39","Cornell Dairy","437","32",1,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"40","Cornell Dairy","437","32-1",1,"NotTested","21","10","NotTested","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","OK","<","OK","OK","<","OK","OK","OK","OK","OK","OK"
"41","Cornell Dairy","437","33",1,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"42","Cornell Dairy","437","33-1",1,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"43","Cornell Dairy","439","62",0,"10","10","10","10","10","10","245","368","NotTested","NotTested","337","327","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"44","Cornell Dairy","439","62-1",0,"10","10","10","10","10","10","246","388","NotTested","NotTested","NotTested","338","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"45","Cornell Dairy","439","63",0,"NotTested","1000","10","10","NotTested","10","NotTested","1000","266","NotTested","NotTested","246","OK","<","<","<","OK","<","OK","<","OK","OK","OK","OK"
"46","Cornell Dairy","439","63-1",0,"10","10","10","10","10","10","276","174","NotTested","NotTested","307","205","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"47","Cornell Dairy","442","32",0,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"48","Cornell Dairy","442","32-1",0,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"49","Cornell Dairy","442","33",0,"10","10","10","10","10","10","NotTested","NotTested","NotTested","276","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"50","Cornell Dairy","442","33-1",0,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"51","Garelick Farms","435","42",0,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"52","Garelick Farms","435","42-1",0,"10","10","10","1420","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"53","Garelick Farms","435","42-2",0,"NotTested","100","100","10","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","<","<","<","OK","<","OK","OK","OK","OK","OK","OK"
"54","Garelick Farms","435","43",0,"10","10","10","10","10","10","174","133","NotTested","NotTested","220","260","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"55","Garelick Farms","435","43-1",0,"10","10","10","2290","10","10","123","NotTested","NotTested","4e+05","195","246","<","<","<","OK","<","<","OK","OK","OK",">","OK","OK"
"56","Garelick Farms","435","43-2",0,"164","10","10","10","10","10","389","NotTested","10300","NotTested","225","297","OK","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"57","Garelick Farms","437","72",2,"NotTested","10","10","10","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","389","OK","<","<","<","OK","<","OK","OK","OK","OK","OK","OK"
"58","Garelick Farms","437","72-1",2,"NotTested","NotTested","1000","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","327","OK","OK","<","OK","OK","<","OK","OK","OK","OK","OK","OK"
"59","Garelick Farms","437","72-2",2,"NotTested","10","NotTested","10","327","10","NotTested","NotTested","NotTested","NotTested","256","276","OK","<","OK","<","OK","<","OK","OK","OK","OK","OK","OK"
"60","Garelick Farms","437","73",2,"NotTested","1020","NotTested","1020","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","348","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"61","Garelick Farms","437","73-1",2,"10","NotTested","NotTested","NotTested","10","10","266","NotTested","NotTested","NotTested","266","NotTested","<","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"62","Garelick Farms","437","73-2",2,"NotTested","10","10","10","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","338","OK","<","<","<","OK","<","OK","OK","OK","OK","OK","OK"
"63","Garelick Farms","440","42",1,"10","10","NotTested","NotTested","10","10","307","NotTested","NotTested","NotTested","164","143","<","<","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"64","Garelick Farms","440","42-1",1,"10","21","613","10","10","10","245","NotTested","NotTested","NotTested","113","113","<","OK","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"65","Garelick Farms","440","42-2",1,"10","10","10","10","10","10","245","NotTested","NotTested","NotTested","153","102","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"66","Garelick Farms","440","43",1,"10","10","10","10","10","10","92","205","148000","NotTested","123","51","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"67","Garelick Farms","440","43-1",1,"10","10","10","10","10","10","31","NotTested","4090","NotTested","92","154","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"68","Garelick Farms","440","43-2",1,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","204000","113","215","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"69","Garelick Farms","442","72",2,"10","92","10","10","10","10","297","NotTested","NotTested","NotTested","287","NotTested","<","OK","<","<","<","<","OK","OK","OK","OK","OK","OK"
"70","Garelick Farms","442","72-1",2,"10","10","10","10","10","10","358","NotTested","NotTested","NotTested","307","317","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"71","Garelick Farms","442","72-2",2,"10","10","10","10","10","10","205","NotTested","NotTested","NotTested","235","368","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"72","Garelick Farms","442","73",2,"10","4e+05","10","10","10","10","286","4e+05","164","NotTested","286","286","<",">","<","<","<","<","OK",">","OK","OK","OK","OK"
"73","Garelick Farms","442","73-1",2,"10","10","10","4e+05","10","10","235","184","184","4e+05","287","NotTested","<","<","<",">","<","<","OK","OK","OK",">","OK","OK"
"74","Garelick Farms","442","73-2",2,"10","10","NotTested","10","10","10","194","256","NotTested","143","368","358","<","<","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"75","Garelick Farms","458","11",1,"20","20","20","200","20","20","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"76","Garelick Farms","458","12",1,"4e+07","NotTested","NotTested","NotTested","NotTested","20","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested",">","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"77","Garelick Farms","458","12-1",1,"4e+07","NotTested","NotTested","NotTested","NotTested","20","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested",">","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"78","Garelick Farms","458","12-2",1,"20","20","20","2700","20","20","310","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"79","Garelick Farms","458","12-3",1,"350","20","82","NotTested","20","20","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","<","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"80","Garelick Farms","458","13",1,"20","4e+05","4e+07","8000","20","20","NotTested","4e+05","4e+07","NotTested","NotTested","NotTested","<",">",">","<","<","<","OK",">",">","OK","OK","OK"
"81","Garelick Farms","458","13-1",1,"NotTested","4e+07","4e+07","NotTested","170","20","NotTested","NotTested","4e+07","NotTested","NotTested","NotTested","OK",">",">","OK","OK","<","OK","OK",">","OK","OK","OK"
"82","Garelick Farms","458","13-2",1,"NotTested","NotTested","NotTested","NotTested","NotTested","20","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"83","Garelick Farms","458","13-3",1,"20","20","20","NotTested","20","20","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"84","Garelick Farms","458","14",1,"20","20","20","20","20","20","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"85","Hood-Agawam","433","11",2,"10","10","10","NotTested","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"86","Hood-Agawam","433","12",2,"184","10","20","215","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","<","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"87","Hood-Agawam","433","12-2",2,"10","10","10","10","10","10","NotTested","NotTested","184","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"88","Hood-Agawam","433","13-2",2,"10","10","10","10","10","10","143","NotTested","112","92","266","378","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"89","Hood-Agawam","433","14",2,"10","10","10","NotTested","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"90","Hood-Agawam","436","92",3,"10","NotTested","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","OK","<","<","<","<","OK","OK","OK","OK","OK","OK"
"91","Hood-Agawam","436","92-2",3,"10","10","10","10","10","10","389","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"92","Hood-Agawam","436","93",3,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"93","Hood-Agawam","436","93-1",3,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"94","Hood-Agawam","436","93-2",3,"10","10","10","10","10","10","204","195","NotTested","NotTested","358","337","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"95","Hood-Agawam","438","12",1,"10","10","10000","10","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","360","<","<","<","<","OK","<","OK","OK","OK","OK","OK","OK"
"96","Hood-Agawam","438","12-2",1,"10","10","10","4e+05","10","10","NotTested","4e+05","NotTested","4e+07","NotTested","NotTested","<","<","<",">","<","<","OK",">","OK",">","OK","OK"
"97","Hood-Agawam","438","13",1,"10","399","10","10","10","10","123","NotTested","330","70","NotTested","NotTested","<","OK","<","<","<","<","OK","OK","OK","OK","OK","OK"
"98","Hood-Agawam","438","13-1",1,"10","10","10","10","10","10","307","256","NotTested","215","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"99","Hood-Agawam","438","13-2",1,"10","10","10","10","10","10","NotTested","215","215","NotTested","NotTested","531","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"100","Hood-Agawam","441","62",2,"10","10","20","205","10","10","154","NotTested","NotTested","NotTested","113","113","<","<","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"101","Hood-Agawam","441","62-2",2,"10","4e+05","10","10","10","10","389","4e+05","NotTested","NotTested","399","NotTested","<",">","<","<","<","<","OK",">","OK","OK","OK","OK"
"102","Hood-Agawam","441","63",2,"NotTested","NotTested","10","NotTested","10","10","NotTested","NotTested","NotTested","NotTested","245","379","OK","OK","<","OK","OK","<","OK","OK","OK","OK","OK","OK"
"103","Hood-Agawam","441","63-1",2,"10","10","10","10","10","10","286","NotTested","388","NotTested","307","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"104","Hood-Agawam","441","63-2",2,"NotTested","NotTested","NotTested","1e+05","NotTested","10","NotTested","NotTested","NotTested","1e+05","NotTested","NotTested","OK","OK","OK","<","OK","<","OK","OK","OK","<","OK","OK"
"105","Hood-Barre","433","41",2,"10","31","NotTested","10","10","10","NotTested","NotTested","NotTested","NotTested","82","92","<","OK","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"106","Hood-Barre","433","42",2,"10","10","31","NotTested","10","10","123","NotTested","0","NotTested","225","NotTested","<","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"107","Hood-Barre","433","42-1",2,"10","10","10","256","10","10","123","133","NotTested","NotTested","184","102","<","<","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"108","Hood-Barre","433","43",2,"10","10","10","10","10","10","113","123","NotTested","NotTested","133","225","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"109","Hood-Barre","433","43-1",2,"10","10","10","10","10","10","102","184","51","NotTested","225","286","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"110","Hood-Barre","433","44",2,"10","41","NotTested","NotTested","10","10","204","266","NotTested","NotTested","102","102","<","OK","OK","OK","<","OK","OK","OK","OK","OK","OK","OK"
"111","Hood-Barre","436","102",2,"10","10","10","10","10","10","92","82","225","NotTested","61","82","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"112","Hood-Barre","436","102-1",2,"10","10","10","10","10","10","92","61","2780","NotTested","41","51","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"113","Hood-Barre","436","103",2,"1","10","10","10","10","10","21","20","10","20","21","41","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"114","Hood-Barre","436","103-1",2,"10","10","10","10","10","10","20","41","10","10","20","31","<","<","<","<","<","<","OK","OK","<","<","OK","OK"
"115","Hood-Barre","438","42",2,"10","10","10","10","10","10","20","31","450","747000","10","41","<","<","<","OK","<","<","OK","OK","OK","OK","<","OK"
"116","Hood-Barre","438","42-1",2,"10","10","10","10","10","10","10","41","NotTested","154","92","61","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"117","Hood-Barre","438","43",2,"10","10","10","10","10","10","20","41","31","82","20","82","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"118","Hood-Barre","441","72",2,"10","10","10","10","10","10","296","215","154","307","286","164","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"119","Hood-Barre","441","72-1",2,"10","10","10","10","10","10","246","368","133","388","297","307","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"120","Hood-Barre","441","73",2,"10","10","10","10","10","10","41","72","389","NotTested","72","10","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"121","Hood-Barre","441","73-1",2,"10","10","10","NotTested","10","10","113","858","NotTested","4e+05","31","51","<","<","<","OK","<","<","OK","OK","OK",">","OK","OK"
"122","Hood-Concord","433","21",2,"10","72","10","NotTested","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","OK","<","OK","<","<","OK","OK","OK","OK","OK","OK"
"123","Hood-Concord","433","22",2,"NotTested","NotTested","NotTested","NotTested","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","OK","OK","OK","<","<","OK","OK","OK","OK","OK","OK"
"124","Hood-Concord","433","22-1",2,"41","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"125","Hood-Concord","433","22-2",2,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"126","Hood-Concord","433","23",2,"10","NotTested","10","10","10","10","154","NotTested","NotTested","NotTested","123","194","<","OK","<","<","<","<","OK","OK","OK","OK","OK","OK"
"127","Hood-Concord","433","23-1",2,"10","10","10","10","10","10","41","10","297","256","10","123","<","<","<","<","<","<","OK","<","OK","OK","OK","OK"
"128","Hood-Concord","433","23-2",2,"10","10","10","10","10","10","51","72","102","NotTested","92","143","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"129","Hood-Concord","433","24",2,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"130","Hood-Concord","435","72",2,"10","10","10","10","10","10","603","NotTested","NotTested","276","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"131","Hood-Concord","435","72-1",2,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"132","Hood-Concord","435","72-2",2,"10","10","10","10","10","10","634","NotTested","256","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"133","Hood-Concord","435","73",2,"92","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"134","Hood-Concord","435","73-1",2,"10","10","10","10","10","10","NotTested","NotTested","552","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"135","Hood-Concord","435","73-2",2,"10","10","10","4e+05","10","10","736","NotTested","NotTested","4e+05","NotTested","NotTested","<","<","<",">","<","<","OK","OK","OK",">","OK","OK"
"136","Hood-Concord","438","22",2,"10","NotTested","NotTested","1000","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","OK","OK","<","<","<","OK","OK","OK","OK","OK","OK"
"137","Hood-Concord","438","22-1",2,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"138","Hood-Concord","438","22-2",2,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"139","Hood-Concord","438","23",2,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"140","Hood-Concord","438","23-1",2,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"141","Hood-Concord","438","23-2",2,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"142","Hood-Concord","440","82",2,"NotTested","NotTested","NotTested","NotTested","NotTested","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","OK","OK","OK","OK","OK","<","OK","OK","OK","OK","OK","OK"
"143","Hood-Concord","440","82-1",2,"10","10","10","10","10","10","NotTested","NotTested","NotTested","NotTested","NotTested","NotTested","<","<","<","<","<","<","OK","OK","OK","OK","OK","OK"
"144","Hood-Concord","440","82-2",2,"10","4e+05","10","10","10","10","NotTested","4e+05","NotTested","NotTested","NotTested","NotTested","<",">","<","<","<","<","OK",">","OK","OK","OK","OK"
