plantName,plantID,ID,homogenized_yn,projectNumber,sampling,sampleID,milkType,size,container,dateProcessed,dateInitial,Day,day,greaterThanLessThan,dataValue,countability,count_type
Back to the Future Farm,G,G_2015a_3819,no,432,2015a,3819,whole,hg,plastic,2015-05-10T00:00:00Z,2015-05-13T00:00:00Z,DI,3,,510,,
Back to the Future Farm,G,G_2015a_3819,no,432,2015a,3819,whole,hg,plastic,2015-05-10T00:00:00Z,2015-05-13T00:00:00Z,D7,7,,2.4E7,,
Back to the Future Farm,G,G_2015a_3819,no,432,2015a,3819,whole,hg,plastic,2015-05-10T00:00:00Z,2015-05-13T00:00:00Z,D10,10,,3.4E8,,
Back to the Future Farm,G,G_2015a_3819,no,432,2015a,3819,whole,hg,plastic,2015-05-10T00:00:00Z,2015-05-13T00:00:00Z,D14,14,,NT,,
Back to the Future Farm,G,G_2015a_3819,no,432,2015a,3819,whole,hg,plastic,2015-05-10T00:00:00Z,2015-05-13T00:00:00Z,D17,17,,NT,,
Back to the Future Farm,G,G_2015a_3819,no,432,2015a,3819,whole,hg,plastic,2015-05-10T00:00:00Z,2015-05-13T00:00:00Z,D21,21,,NT,,
Back to the Future Farm,G,G_2015b_3946,no,437,2015b,3946,whole,hg,plastic,2015-10-27T00:00:00Z,2015-10-28T00:00:00Z,DI,1,<,10,E,belowLOD
Back to the Future Farm,G,G_2015b_3946,no,437,2015b,3946,whole,hg,plastic,2015-10-27T00:00:00Z,2015-10-28T00:00:00Z,D7,7,,10,E,
Back to the Future Farm,G,G_2015b_3946,no,437,2015b,3946,whole,hg,plastic,2015-10-27T00:00:00Z,2015-10-28T00:00:00Z,D10,10,,51,E,
Back to the Future Farm,G,G_2015b_3946,no,437,2015b,3946,whole,hg,plastic,2015-10-27T00:00:00Z,2015-10-28T00:00:00Z,D14,14,,170,E,
Back to the Future Farm,G,G_2015b_3946,no,437,2015b,3946,whole,hg,plastic,2015-10-27T00:00:00Z,2015-10-28T00:00:00Z,D17,17,,1200,,
Back to the Future Farm,G,G_2015b_3946,no,437,2015b,3946,whole,hg,plastic,2015-10-27T00:00:00Z,2015-10-28T00:00:00Z,D21,21,>,400000,SE,aboveLOD
Back to the Future Farm,G,G_2016a_4110,no,442,2016a,4110,whole,hg,plastic,2016-05-21T00:00:00Z,2016-05-25T00:00:00Z,DI,4,,10,E,
Back to the Future Farm,G,G_2016a_4110,no,442,2016a,4110,whole,hg,plastic,2016-05-21T00:00:00Z,2016-05-25T00:00:00Z,D7,7,<,10,E,belowLOD
Back to the Future Farm,G,G_2016a_4110,no,442,2016a,4110,whole,hg,plastic,2016-05-21T00:00:00Z,2016-05-25T00:00:00Z,D10,10,,10,E,
Back to the Future Farm,G,G_2016a_4110,no,442,2016a,4110,whole,hg,plastic,2016-05-21T00:00:00Z,2016-05-25T00:00:00Z,D14,14,,950,,
Back to the Future Farm,G,G_2016a_4110,no,442,2016a,4110,whole,hg,plastic,2016-05-21T00:00:00Z,2016-05-25T00:00:00Z,D17,17,>,400000,E,aboveLOD
Back to the Future Farm,G,G_2016a_4110,no,442,2016a,4110,whole,hg,plastic,2016-05-21T00:00:00Z,2016-05-25T00:00:00Z,D21,21,,1.4E8,,
Back to the Future Farm,G,G_2016b_4206,no,445,2016b,4206,whole,hg,plastic,2016-08-28T00:00:00Z,2016-08-31T00:00:00Z,DI,3,,200,E,
Back to the Future Farm,G,G_2016b_4206,no,445,2016b,4206,whole,hg,plastic,2016-08-28T00:00:00Z,2016-08-31T00:00:00Z,D10,10,>,400000,E,aboveLOD
Back to the Future Farm,G,G_2016b_4206,no,445,2016b,4206,whole,hg,plastic,2016-08-28T00:00:00Z,2016-08-31T00:00:00Z,D14,14,,2.0E8,,
Back to the Future Farm,G,G_2016b_4206,no,445,2016b,4206,whole,hg,plastic,2016-08-28T00:00:00Z,2016-08-31T00:00:00Z,D17,17,,4.4E10,,
Back to the Future Farm,G,G_2016b_4206,no,445,2016b,4206,whole,hg,plastic,2016-08-28T00:00:00Z,2016-08-31T00:00:00Z,D21,21,,4.2E10,,
Battenkill Valley Creamery,A,A_2015a_3720,yes,430,2015a,3720,whole,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,DI,2,,20,E,
Battenkill Valley Creamery,A,A_2015a_3720,yes,430,2015a,3720,whole,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D7,7,,10,E,
Battenkill Valley Creamery,A,A_2015a_3720,yes,430,2015a,3720,whole,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D10,10,<,10,E,belowLOD
Battenkill Valley Creamery,A,A_2015a_3720,yes,430,2015a,3720,whole,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D14,14,>,400000,E,aboveLOD
Battenkill Valley Creamery,A,A_2015a_3720,yes,430,2015a,3720,whole,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D17,17,,1.0E8,,
Battenkill Valley Creamery,A,A_2015a_3720,yes,430,2015a,3720,whole,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D21,21,,30000,E,
Battenkill Valley Creamery,A,A_2015a_3721,yes,430,2015a,3721,reducedfat,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,DI,2,<,10,E,belowLOD
Battenkill Valley Creamery,A,A_2015a_3721,yes,430,2015a,3721,reducedfat,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D7,7,,4300,,
Battenkill Valley Creamery,A,A_2015a_3721,yes,430,2015a,3721,reducedfat,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D10,10,,8600000,,
Battenkill Valley Creamery,A,A_2015a_3721,yes,430,2015a,3721,reducedfat,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D14,14,,1.3E8,,
Battenkill Valley Creamery,A,A_2015a_3721,yes,430,2015a,3721,reducedfat,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D17,17,,4300000,,
Battenkill Valley Creamery,A,A_2015a_3721,yes,430,2015a,3721,reducedfat,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D21,21,,6.8E8,,
Battenkill Valley Creamery,A,A_2015a_3722,yes,430,2015a,3722,skim,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,DI,2,<,10,E,belowLOD
Battenkill Valley Creamery,A,A_2015a_3722,yes,430,2015a,3722,skim,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D7,7,,810,,
Battenkill Valley Creamery,A,A_2015a_3722,yes,430,2015a,3722,skim,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D10,10,>,400000,E,aboveLOD
Battenkill Valley Creamery,A,A_2015a_3722,yes,430,2015a,3722,skim,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D14,14,,1.6E8,,
Battenkill Valley Creamery,A,A_2015a_3722,yes,430,2015a,3722,skim,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D17,17,,1.6E8,,
Battenkill Valley Creamery,A,A_2015a_3722,yes,430,2015a,3722,skim,hg,plastic,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D21,21,,1.8E10,,
Battenkill Valley Creamery,A,A_2015a_3724,yes,430,2015a,3724,reducedfat,qt,glass,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,DI,2,,10,E,
Battenkill Valley Creamery,A,A_2015a_3724,yes,430,2015a,3724,reducedfat,qt,glass,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D7,7,<,10,E,belowLOD
Battenkill Valley Creamery,A,A_2015a_3724,yes,430,2015a,3724,reducedfat,qt,glass,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D10,10,,20,E,
Battenkill Valley Creamery,A,A_2015a_3724,yes,430,2015a,3724,reducedfat,qt,glass,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D14,14,,51,E,
Battenkill Valley Creamery,A,A_2015a_3724,yes,430,2015a,3724,reducedfat,qt,glass,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D17,17,,68,E,
Battenkill Valley Creamery,A,A_2015a_3724,yes,430,2015a,3724,reducedfat,qt,glass,2015-02-23T00:00:00Z,2015-02-25T00:00:00Z,D21,21,,2500,,
Battenkill Valley Creamery,A,A_2015b_3871,yes,435,2015b,3871,whole,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,DI,2,,30,E,
Battenkill Valley Creamery,A,A_2015b_3871,yes,435,2015b,3871,whole,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D7,7,<,10,E,belowLOD
Battenkill Valley Creamery,A,A_2015b_3871,yes,435,2015b,3871,whole,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D10,10,,31,E,
Battenkill Valley Creamery,A,A_2015b_3871,yes,435,2015b,3871,whole,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D14,14,,82,E,
Battenkill Valley Creamery,A,A_2015b_3871,yes,435,2015b,3871,whole,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D17,17,,20,E,
Battenkill Valley Creamery,A,A_2015b_3871,yes,435,2015b,3871,whole,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D21,21,,6100,,
Battenkill Valley Creamery,A,A_2015b_3872,yes,435,2015b,3872,reducedfat,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,DI,2,,10,E,
Battenkill Valley Creamery,A,A_2015b_3872,yes,435,2015b,3872,reducedfat,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D7,7,,40,E,
Battenkill Valley Creamery,A,A_2015b_3872,yes,435,2015b,3872,reducedfat,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D10,10,,41,E,
Battenkill Valley Creamery,A,A_2015b_3872,yes,435,2015b,3872,reducedfat,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D14,14,,20,E,
Battenkill Valley Creamery,A,A_2015b_3872,yes,435,2015b,3872,reducedfat,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D17,17,,20,E,
Battenkill Valley Creamery,A,A_2015b_3872,yes,435,2015b,3872,reducedfat,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D21,21,,4900,,
Battenkill Valley Creamery,A,A_2015b_3873,yes,435,2015b,3873,skim,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,DI,2,,80,E,
Battenkill Valley Creamery,A,A_2015b_3873,yes,435,2015b,3873,skim,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D7,7,,50,E,
Battenkill Valley Creamery,A,A_2015b_3873,yes,435,2015b,3873,skim,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D10,10,,31,E,
Battenkill Valley Creamery,A,A_2015b_3873,yes,435,2015b,3873,skim,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D14,14,,150,E,
Battenkill Valley Creamery,A,A_2015b_3873,yes,435,2015b,3873,skim,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D17,17,,82,E,
Battenkill Valley Creamery,A,A_2015b_3873,yes,435,2015b,3873,skim,hg,plastic,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D21,21,,16000,,
Battenkill Valley Creamery,A,A_2015b_3875,yes,435,2015b,3875,reducedfat,qt,glass,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,DI,2,,80,E,
Battenkill Valley Creamery,A,A_2015b_3875,yes,435,2015b,3875,reducedfat,qt,glass,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D7,7,,10,E,
Battenkill Valley Creamery,A,A_2015b_3875,yes,435,2015b,3875,reducedfat,qt,glass,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D10,10,,280,E,
Battenkill Valley Creamery,A,A_2015b_3875,yes,435,2015b,3875,reducedfat,qt,glass,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D14,14,>,400000,E,aboveLOD
Battenkill Valley Creamery,A,A_2015b_3875,yes,435,2015b,3875,reducedfat,qt,glass,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D17,17,,8100000,,
Battenkill Valley Creamery,A,A_2015b_3875,yes,435,2015b,3875,reducedfat,qt,glass,2015-09-14T00:00:00Z,2015-09-16T00:00:00Z,D21,21,,5.2E7,,
Battenkill Valley Creamery,A,A_2016a_3998,yes,440,2016a,3998,whole,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,DI,2,,70,E,
Battenkill Valley Creamery,A,A_2016a_3998,yes,440,2016a,3998,whole,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D7,7,,110,E,
Battenkill Valley Creamery,A,A_2016a_3998,yes,440,2016a,3998,whole,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D10,10,,260,E,
Battenkill Valley Creamery,A,A_2016a_3998,yes,440,2016a,3998,whole,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D14,14,,4000,,
Battenkill Valley Creamery,A,A_2016a_3998,yes,440,2016a,3998,whole,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D17,17,,320,E,
Battenkill Valley Creamery,A,A_2016a_3998,yes,440,2016a,3998,whole,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D21,21,,12000,,
Battenkill Valley Creamery,A,A_2016a_3999,yes,440,2016a,3999,reducedfat,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,DI,2,,40,E,
Battenkill Valley Creamery,A,A_2016a_3999,yes,440,2016a,3999,reducedfat,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D7,7,,31,E,
Battenkill Valley Creamery,A,A_2016a_3999,yes,440,2016a,3999,reducedfat,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D10,10,,300,E,
Battenkill Valley Creamery,A,A_2016a_3999,yes,440,2016a,3999,reducedfat,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D14,14,,7200,,
Battenkill Valley Creamery,A,A_2016a_3999,yes,440,2016a,3999,reducedfat,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D17,17,,13000,,
Battenkill Valley Creamery,A,A_2016a_3999,yes,440,2016a,3999,reducedfat,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D21,21,,1300000,,
Battenkill Valley Creamery,A,A_2016a_4000,yes,440,2016a,4000,skim,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,DI,2,,30,E,
Battenkill Valley Creamery,A,A_2016a_4000,yes,440,2016a,4000,skim,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D7,7,,41,E,
Battenkill Valley Creamery,A,A_2016a_4000,yes,440,2016a,4000,skim,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D10,10,,200,E,
Battenkill Valley Creamery,A,A_2016a_4000,yes,440,2016a,4000,skim,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D14,14,,2500,,
Battenkill Valley Creamery,A,A_2016a_4000,yes,440,2016a,4000,skim,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D17,17,,14000,,
Battenkill Valley Creamery,A,A_2016a_4000,yes,440,2016a,4000,skim,hg,plastic,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D21,21,,110000,,
Battenkill Valley Creamery,A,A_2016a_4002,yes,440,2016a,4002,reducedfat,qt,glass,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,DI,2,,51,E,
Battenkill Valley Creamery,A,A_2016a_4002,yes,440,2016a,4002,reducedfat,qt,glass,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D7,7,,61,E,
Battenkill Valley Creamery,A,A_2016a_4002,yes,440,2016a,4002,reducedfat,qt,glass,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D10,10,,130,E,
Battenkill Valley Creamery,A,A_2016a_4002,yes,440,2016a,4002,reducedfat,qt,glass,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D14,14,,1000,,
Battenkill Valley Creamery,A,A_2016a_4002,yes,440,2016a,4002,reducedfat,qt,glass,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D17,17,,17000,,
Battenkill Valley Creamery,A,A_2016a_4002,yes,440,2016a,4002,reducedfat,qt,glass,2016-03-14T00:00:00Z,2016-03-16T00:00:00Z,D21,21,,320000,,
Battenkill Valley Creamery,A,A_2016b_4258,yes,447,2016b,4258,whole,hg,plastic,2016-10-25T00:00:00Z,2016-10-26T00:00:00Z,DI,1,,31,E,
Battenkill Valley Creamery,A,A_2016b_4258,yes,447,2016b,4258,whole,hg,plastic,2016-10-25T00:00:00Z,2016-10-26T00:00:00Z,D7,7,,31,E,
Battenkill Valley Creamery,A,A_2016b_4258,yes,447,2016b,4258,whole,hg,plastic,2016-10-25T00:00:00Z,2016-10-26T00:00:00Z,D10,10,,110,E,
Battenkill Valley Creamery,A,A_2016b_4258,yes,447,2016b,4258,whole,hg,plastic,2016-10-25T00:00:00Z,2016-10-26T00:00:00Z,D14,14,,130,E,
Battenkill Valley Creamery,A,A_2016b_4258,yes,447,2016b,4258,whole,hg,plastic,2016-10-25T00:00:00Z,2016-10-26T00:00:00Z,D17,17,,61,E,
Battenkill Valley Creamery,A,A_2016b_4258,yes,447,2016b,4258,whole,hg,plastic,2016-10-25T00:00:00Z,2016-10-26T00:00:00Z,D21,21,,10,E,
Battenkill Valley Creamery,A,A_2016b_4259,yes,447,2016b,4259,reducedfat,hg,plastic,2016-10-24T00:00:00Z,2016-10-26T00:00:00Z,DI,2,,51,E,
Battenkill Valley Creamery,A,A_2016b_4259,yes,447,2016b,4259,reducedfat,hg,plastic,2016-10-24T00:00:00Z,2016-10-26T00:00:00Z,D7,7,,41,E,
Battenkill Valley Creamery,A,A_2016b_4259,yes,447,2016b,4259,reducedfat,hg,plastic,2016-10-24T00:00:00Z,2016-10-26T00:00:00Z,D10,10,,61,E,
Battenkill Valley Creamery,A,A_2016b_4259,yes,447,2016b,4259,reducedfat,hg,plastic,2016-10-24T00:00:00Z,2016-10-26T00:00:00Z,D14,14,,290,E,
Battenkill Valley Creamery,A,A_2016b_4259,yes,447,2016b,4259,reducedfat,hg,plastic,2016-10-24T00:00:00Z,2016-10-26T00:00:00Z,D17,17,,470,,
Battenkill Valley Creamery,A,A_2016b_4259,yes,447,2016b,4259,reducedfat,hg,plastic,2016-10-24T00:00:00Z,2016-10-26T00:00:00Z,D21,21,,8600,,
Battenkill Valley Creamery,A,A_2016b_4260,yes,447,2016b,4260,skim,hg,plastic,2016-10-25T00:00:00Z,2016-10-26T00:00:00Z,DI,1,,31,E,
Battenkill Valley Creamery,A,A_2016b_4260,yes,447,2016b,4260,skim,hg,plastic,2016-10-25T00:00:00Z,2016-10-26T00:00:00Z,D7,7,<,10,E,belowLOD
Battenkill Valley Creamery,A,A_2016b_4260,yes,447,2016b,4260,skim,hg,plastic,2016-10-25T00:00:00Z,2016-10-26T00:00:00Z,D10,10,,31,E,
Battenkill Valley Creamery,A,A_2016b_4260,yes,447,2016b,4260,skim,hg,plastic,2016-10-25T00:00:00Z,2016-10-26T00:00:00Z,D14,14,<,10,E,belowLOD
Battenkill Valley Creamery,A,A_2016b_4260,yes,447,2016b,4260,skim,hg,plastic,2016-10-25T00:00:00Z,2016-10-26T00:00:00Z,D17,17,,630,,
Battenkill Valley Creamery,A,A_2016b_4260,yes,447,2016b,4260,skim,hg,plastic,2016-10-25T00:00:00Z,2016-10-26T00:00:00Z,D21,21,,70000,,
Battenkill Valley Creamery,A,A_2016b_4263,yes,447,2016b,4263,reducedfat,qt,glass,2016-10-24T00:00:00Z,2016-10-26T00:00:00Z,DI,2,,61,E,
Battenkill Valley Creamery,A,A_2016b_4263,yes,447,2016b,4263,reducedfat,qt,glass,2016-10-24T00:00:00Z,2016-10-26T00:00:00Z,D7,7,,92,E,
Battenkill Valley Creamery,A,A_2016b_4263,yes,447,2016b,4263,reducedfat,qt,glass,2016-10-24T00:00:00Z,2016-10-26T00:00:00Z,D10,10,,31,E,
Battenkill Valley Creamery,A,A_2016b_4263,yes,447,2016b,4263,reducedfat,qt,glass,2016-10-24T00:00:00Z,2016-10-26T00:00:00Z,D14,14,,660,,
Battenkill Valley Creamery,A,A_2016b_4263,yes,447,2016b,4263,reducedfat,qt,glass,2016-10-24T00:00:00Z,2016-10-26T00:00:00Z,D17,17,,16000,,
